request_id,function,size,type,status,latency_ms,ttfb_ms,execution_time_ms,system_overhead_ms,in_flight
1029,resnet,large,warm,200,127.67,127.66,121.23,6.43,1
1030,resnet,large,warm,200,127.17,127.17,120.78,6.38,1
1031,resnet,large,warm,200,147.92,147.91,141.11,6.8,1
1032,resnet,large,warm,200,127.98,127.98,121.53,6.45,1
1033,resnet,medium,warm,200,129.29,129.27,122.54,6.73,1
1034,mobilenet,medium,warm,200,30.68,30.68,23.15,7.53,1
1035,resnet,large,warm,200,152.58,152.57,145.26,7.31,1
1036,mobilenet,medium,warm,200,238.09,238.08,23.44,214.63,1
1037,resnet,large,warm,200,127.71,127.71,121.4,6.31,1
1038,mobilenet,large,warm,200,32.1,32.09,23.03,9.06,1
1039,resnet,medium,warm,200,368.26,368.25,154.57,213.68,1
1040,mobilenet,large,warm,200,29.83,29.81,23.12,6.7,1
1041,mobilenet,large,warm,200,41.99,41.98,35.15,6.83,1
1042,resnet,small,warm,200,154.83,154.82,147.91,6.91,1
1043,resnet,small,warm,200,128.57,128.57,122.57,5.99,1
1044,mobilenet,small,warm,200,30.09,30.08,22.89,7.19,1
1045,mobilenet,small,warm,200,29.88,29.87,22.9,6.97,1
1046,mobilenet,medium,warm,200,30.47,30.46,23.3,7.15,1
1047,resnet,medium,warm,200,145.23,145.23,138.14,7.09,1
1048,mobilenet,medium,warm,200,236.1,236.09,22.75,213.34,1
1049,mobilenet,medium,warm,200,208.99,208.98,23.19,185.79,1
1050,resnet,large,warm,200,567.14,567.14,147.21,419.92,1
1051,mobilenet,large,warm,200,33.65,33.64,26.8,6.84,1
1052,mobilenet,large,warm,200,31.66,31.65,22.77,8.89,1
1053,mobilenet,large,warm,200,30.12,30.11,22.93,7.18,1
1054,resnet,large,warm,200,153.23,153.22,145.43,7.79,1
1055,resnet,large,warm,200,345.5,345.49,120.24,225.25,1
1056,resnet,medium,warm,200,375.71,375.69,122.43,253.27,1
1057,mobilenet,medium,warm,200,40.74,40.73,33.71,7.02,1
1058,resnet,large,warm,200,168.07,168.06,160.65,7.42,1
1059,resnet,large,warm,200,132.29,132.28,125.92,6.35,1
1060,resnet,large,warm,200,130.85,130.85,124.44,6.41,1
1061,resnet,small,warm,200,153.2,153.19,146.74,6.45,1
1062,mobilenet,medium,warm,200,31.99,31.99,22.98,9.01,1
1063,resnet,small,warm,200,127.92,127.92,121.32,6.6,1
1064,resnet,medium,warm,200,365.2,365.18,147.88,217.3,1
1065,mobilenet,large,warm,200,30.69,30.68,23.08,7.6,1
1066,resnet,medium,warm,200,144.27,144.26,138.0,6.26,1
1067,resnet,medium,warm,200,158.65,158.65,152.11,6.54,1
1068,resnet,medium,warm,200,131.88,131.87,123.04,8.84,1
1069,mobilenet,large,warm,200,30.65,30.64,23.31,7.34,1
1070,resnet,medium,warm,200,152.95,152.94,146.48,6.46,1
1071,resnet,small,warm,200,129.09,129.08,120.91,8.17,1
1072,resnet,small,warm,200,127.26,127.26,120.77,6.48,1
1073,resnet,large,warm,200,360.89,360.89,147.69,213.2,1
1074,mobilenet,medium,warm,200,29.34,29.34,22.88,6.46,1
1075,resnet,large,warm,200,130.17,130.16,120.49,9.67,1
1076,resnet,large,warm,200,146.02,146.02,139.86,6.16,1
1077,resnet,small,warm,200,126.67,126.66,120.33,6.33,1
1078,mobilenet,large,warm,200,31.38,31.38,24.27,7.11,1
1079,resnet,large,warm,200,152.7,152.69,145.76,6.92,1
1080,resnet,small,warm,200,126.79,126.78,120.49,6.29,1
1081,mobilenet,large,warm,200,44.18,44.18,36.77,7.41,1
1082,mobilenet,small,warm,200,29.54,29.54,22.99,6.54,1
1083,mobilenet,large,warm,200,31.84,31.83,23.03,8.8,1
1084,mobilenet,large,warm,200,29.83,29.82,22.95,6.87,1
1085,mobilenet,small,warm,200,29.51,29.51,22.98,6.52,1
1086,mobilenet,medium,warm,200,30.98,30.97,23.45,7.52,1
1087,resnet,large,warm,200,156.72,156.71,149.51,7.2,1
1088,resnet,small,warm,200,126.93,126.93,120.63,6.29,1
1089,mobilenet,small,warm,200,29.84,29.83,22.87,6.96,1
1090,mobilenet,medium,warm,200,31.37,31.36,24.42,6.94,1
1091,resnet,medium,warm,200,153.43,153.42,146.96,6.46,1
1092,mobilenet,medium,warm,200,28.59,28.58,22.09,6.5,1
1093,resnet,medium,warm,200,128.68,128.68,121.79,6.88,1
1094,mobilenet,small,warm,200,31.86,31.85,22.96,8.89,1
1095,mobilenet,large,warm,200,29.59,29.58,23.32,6.26,1
1096,mobilenet,small,warm,200,30.9,30.9,23.68,7.22,1
1097,resnet,small,warm,200,151.12,151.11,144.19,6.91,1
1098,mobilenet,medium,warm,200,47.38,47.38,40.56,6.81,1
1099,resnet,small,warm,200,126.97,126.96,121.12,5.84,1
1100,resnet,small,warm,200,145.28,145.27,134.66,10.61,1
1101,mobilenet,medium,warm,200,31.83,31.83,23.22,8.6,1
1102,mobilenet,medium,warm,200,32.07,32.05,22.94,9.11,1
1103,resnet,medium,warm,200,152.12,152.11,145.83,6.28,1
1104,resnet,small,warm,200,128.8,128.79,120.73,8.06,1
1105,resnet,medium,warm,200,135.37,135.36,120.68,14.68,1
1106,mobilenet,small,warm,200,30.28,30.27,23.21,7.06,1
1107,resnet,small,warm,200,156.78,156.77,146.02,10.75,1
1108,resnet,large,warm,200,303.2,303.19,134.63,168.57,1
1109,resnet,large,warm,200,144.52,144.52,121.1,23.42,1
1110,mobilenet,small,warm,200,31.95,31.93,23.0,8.93,1
1111,resnet,medium,warm,200,154.5,154.49,148.33,6.17,1
1112,mobilenet,small,warm,200,40.28,40.27,33.95,6.32,1
1113,resnet,medium,warm,200,129.33,129.33,122.64,6.68,1
1114,resnet,small,warm,200,151.59,151.59,144.78,6.81,1
1115,resnet,large,warm,200,132.3,132.29,122.44,9.85,1
1116,mobilenet,small,warm,200,40.08,40.07,33.03,7.04,1
