delay,n_runs,max_power_W,energy_total_J,J_per_req_mean,J_per_req_std
10ms,10,136.5,14221.0,0.71102,0.043339891811381134
50ms,10,82.8,13074.7,0.6537200000000001,0.0844027092772106
100ms,10,76.8,11157.699999999999,0.55786,0.13215198489281615
200ms,10,76.7,10942.6,0.5471199999999999,0.15344857118917726
1s,10,72.9,6677.1,0.33383,0.12342663182816115
