delay,n_runs,max_power_W,energy_total_J,J_per_req_mean,J_per_req_std
10ms,10,135.8,14680.199999999999,0.73399,0.04281636369426999
50ms,10,84.3,10630.0,0.53147,0.11280227588326595
100ms,10,81.2,9598.0,0.47987,0.07432418553576994
200ms,10,75.1,6840.599999999999,0.34202,0.037685358194161044
1s,10,74.1,7035.7,0.35175,0.15178175303888
