delay,n_runs,max_power_W,energy_total_J,J_per_req_mean,J_per_req_std
10ms,10,134.0,13830.7,0.6915,0.0432957272718683
50ms,10,84.1,10999.4,0.5499499999999999,0.1454727255841757
100ms,10,81.4,8968.6,0.44841,0.02281833814184451
200ms,9,79.9,7015.9,0.3897555555555556,0.03529373567331429
1s,10,74.4,6979.1,0.34893,0.1700909759837691
