delay,n_runs,max_power_W,energy_total_J,J_per_req_mean,J_per_req_std,config
10ms,10,136.5,14221.0,0.71102,0.0433398918113811,local
50ms,10,82.8,13074.7,0.6537200000000001,0.0844027092772106,local
100ms,10,76.8,11157.7,0.55786,0.1321519848928161,local
200ms,10,76.7,10942.6,0.5471199999999999,0.1534485711891772,local
1s,10,72.9,6677.1,0.33383,0.1234266318281611,local
10ms,10,136.2,14088.2,0.70438,0.0290915337054155,1core
50ms,10,88.2,13672.5,0.6836,0.0560107727733394,1core
100ms,10,82.1,10941.2,0.54704,0.1447690743525318,1core
200ms,10,77.9,9562.2,0.47809,0.0599515443226166,1core
1s,10,76.1,7145.0,0.35723,0.1784008473447739,1core
10ms,10,134.0,13830.7,0.6915,0.0432957272718683,apiserver
50ms,10,84.1,10999.4,0.5499499999999999,0.1454727255841757,apiserver
100ms,10,81.4,8968.6,0.44841,0.0228183381418445,apiserver
200ms,9,79.9,7015.9,0.3897555555555556,0.0352937356733142,apiserver
1s,10,74.4,6979.1,0.34893,0.1700909759837691,apiserver
10ms,10,135.8,14680.2,0.73399,0.0428163636942699,adaptive
50ms,10,84.3,10630.0,0.53147,0.1128022758832659,adaptive
100ms,10,81.2,9598.0,0.47987,0.0743241855357699,adaptive
200ms,10,75.1,6840.599999999999,0.34202,0.037685358194161,adaptive
1s,10,74.1,7035.7,0.35175,0.15178175303888,adaptive
