iteration,latency_s,warm_ms,overhead_ms
0,2416.9065952301025,6.618499755859375,2410.288095474243
1,1344.2039489746094,5.857467651367188,1338.3464813232422
2,1834.3000411987305,5.945682525634766,1828.354358673096
3,1817.2423839569087,5.861043930053711,1811.3813400268557
4,1500.6864070892334,5.898952484130859,1494.7874546051023
5,1981.1224937438965,5.473136901855469,1975.649356842041
6,2617.993831634521,5.29789924621582,2612.6959323883057
7,1184.7069263458252,5.173683166503906,1179.5332431793213
8,1284.886121749878,5.830287933349609,1279.0558338165283
9,1453.59206199646,5.388021469116211,1448.2040405273438
10,1779.2823314666748,6.512880325317383,1772.7694511413574
11,1436.2244606018066,5.273580551147461,1430.9508800506592
12,1348.2065200805664,5.831718444824219,1342.3748016357422
13,1077.085018157959,5.722522735595703,1071.3624954223633
14,1719.635248184204,5.250692367553711,1714.3845558166504
15,1288.788080215454,4.921674728393555,1283.8664054870603
16,1177.4961948394775,5.417108535766602,1172.079086303711
17,1519.664287567139,5.811214447021484,1513.8530731201172
18,1083.660364151001,5.815982818603516,1077.8443813323977
19,1006.2713623046876,5.228281021118164,1001.0430812835692
20,1821.3183879852293,5.901813507080078,1815.4165744781492
21,1816.9803619384768,5.502462387084961,1811.477899551392
22,1716.6905403137207,6.42848014831543,1710.2620601654053
23,2599.603176116944,6.016969680786133,2593.586206436157
24,1628.3769607543943,6.997823715209961,1621.3791370391846
25,1831.1891555786133,6.049394607543945,1825.139760971069
26,1524.2900848388672,5.2204132080078125,1519.0696716308594
27,1320.6889629364014,5.599260330200195,1315.0897026062012
28,1641.25394821167,5.504369735717773,1635.749578475952
29,1942.0232772827148,4.597663879394531,1937.4256134033203
30,1716.12811088562,5.280256271362305,1710.8478546142578
31,1493.6296939849854,5.370616912841797,1488.2590770721436
32,1784.137487411499,5.912542343139648,1778.2249450683594
33,1181.8084716796875,6.225824356079102,1175.5826473236084
34,2131.948471069336,5.950450897216797,2125.998020172119
35,1597.198724746704,5.689382553100586,1591.5093421936035
36,1719.4952964782717,5.551576614379883,1713.9437198638916
37,1115.9584522247314,5.472898483276367,1110.485553741455
38,1010.6751918792723,6.232500076293945,1004.4426918029784
39,1332.3798179626465,5.991935729980469,1326.387882232666
40,1075.8495330810547,5.496501922607422,1070.3530311584473
41,1316.2550926208496,6.229400634765625,1310.025691986084
42,1252.2215843200684,5.585670471191406,1246.635913848877
43,1133.3472728729248,6.072044372558594,1127.2752285003662
44,1481.8038940429688,4.854679107666016,1476.9492149353027
45,2156.627655029297,6.174087524414063,2150.453567504883
46,1016.0553455352784,5.39851188659668,1010.6568336486816
47,1109.8670959472656,6.930828094482422,1102.9362678527832
48,2457.2300910949707,5.412101745605469,2451.817989349365
49,1815.2971267700195,5.055427551269531,1810.24169921875
50,1488.4557723999023,4.873752593994141,1483.5820198059082
51,1241.7864799499512,4.646778106689453,1237.1397018432615
52,2341.470956802368,5.514860153198242,2335.95609664917
53,1418.428897857666,4.405736923217773,1414.0231609344482
54,1055.23943901062,5.574464797973633,1049.6649742126465
55,1892.7059173583984,7.843017578125,1884.8628997802732
56,1901.28493309021,5.435943603515625,1895.8489894866943
57,2127.642869949341,5.727291107177734,2121.915578842163
58,2504.106283187866,7.281064987182617,2496.825218200684
59,2686.3129138946533,5.389690399169922,2680.9232234954834
