status,duration_ms,upstream_ms
200,3540,3540
200,2,2
200,1181,1181
200,2,2
200,1716,1715
200,3,2
200,1788,1788
200,2,1
200,1921,1920
200,3,2
200,1409,1409
200,2,2
200,1638,1638
200,3,3
200,1821,1821
200,2,1
200,1711,1711
200,2,2
200,1699,1699
200,3,3
200,2096,2096
200,2,2
200,2018,2018
200,2,1
200,2029,2029
200,3,2
200,1696,1695
200,2,2
200,1978,1978
200,4,4
200,2390,2390
200,2,2
200,1454,1454
200,2,2
200,1492,1492
200,2,2
200,1626,1625
200,2,2
200,1762,1762
200,2,2
200,3528,3527
200,2,2
200,1543,1543
200,2,2
200,1640,1640
200,2,2
200,1895,1895
200,2,2
200,1949,1949
200,2,2
200,1364,1364
200,2,2
200,1484,1483
200,2,1
200,1730,1730
200,3,3
200,1093,1093
200,2,1
200,1500,1500
200,2,2
200,1626,1626
200,3,2
200,1769,1769
200,2,1
200,1835,1835
200,2,2
200,1423,1422
200,3,3
200,1016,1016
200,3,3
200,1575,1575
200,3,2
200,1342,1342
200,2,2
200,1414,1414
200,2,2
200,1209,1208
200,2,2
200,1295,1294
200,2,2
200,1620,1620
200,1,1
200,1375,1375
200,2,1
200,1521,1521
200,3,2
200,1839,1839
200,2,2
200,1500,1500
200,3,3
200,1023,1023
200,2,1
200,1383,1383
200,2,1
200,1100,1100
200,2,2
200,2589,2589
200,2,2
200,1393,1393
200,2,2
200,2281,2281
200,2,2
200,2010,2010
200,2,2
200,1951,1951
200,2,1
200,2279,2278
200,2,2
200,1229,1229
200,2,2
200,1247,1247
200,2,2
200,2135,2135
200,2,2
200,1924,1924
200,1,1
200,1618,1618
200,2,2
200,1742,1742
200,2,2
200,1801,1800
200,2,1
200,2516,2516
200,2,2
200,1832,1832
200,2,2
200,2372,2372
200,2,2
200,1678,1678
200,2,2
200,1960,1960
200,2,2
200,1630,1630
200,2,1
200,1649,1648
200,2,2
200,2439,2439
200,2,2
200,1208,1208
200,2,2
200,1625,1624
200,2,2
200,1013,1012
200,2,2
200,1535,1535
200,2,2
200,1572,1572
200,2,2
200,1618,1618
200,2,2
200,1731,1731
200,3,2
200,1150,1150
200,2,2
200,2165,2165
200,2,2
200,1676,1676
200,3,2
200,1937,1937
200,2,2
200,1763,1763
200,3,3
200,1023,1023
200,3,3
200,2083,2083
200,2,2
200,1684,1684
200,2,1
200,1017,1017
200,2,1
200,1828,1828
200,2,2
200,1708,1707
200,2,1
200,1014,1014
200,2,2
200,1622,1622
200,2,2
200,1156,1156
200,2,2
200,1408,1408
200,2,2
200,1939,1939
200,2,2
200,1513,1512
200,2,2
200,1107,1107
200,2,2
200,1534,1534
200,3,2
200,1302,1302
200,2,2
200,1435,1435
200,2,2
200,1146,1146
200,2,2
200,1702,1701
200,2,1
200,1714,1714
200,3,3
200,1484,1484
200,2,2
200,1786,1786
200,1,1
200,1238,1238
200,2,1
200,1255,1254
200,2,2
200,1118,1118
200,2,2
200,1991,1990
200,2,2
200,1218,1218
200,2,2
200,1099,1099
200,2,2
200,1358,1358
200,2,2
200,1368,1368
200,2,2
200,1442,1442
200,2,2
200,1711,1711
200,2,1
200,1059,1059
200,3,3
200,1398,1398
200,2,2
200,1652,1652
200,2,2
200,1518,1518
200,2,1
200,2018,2017
200,2,2
200,1338,1337
200,2,2
200,1610,1609
200,2,2
200,1560,1559
200,2,2
200,1967,1966
200,2,1
200,1058,1058
200,2,2
200,1649,1648
200,2,1
200,2139,2138
200,2,2
200,1040,1039
200,2,2
200,2623,2622
200,1,1
200,1497,1497
200,2,2
200,1816,1815
200,2,2
200,1842,1842
200,2,2
200,1712,1712
200,2,2
200,1133,1133
200,2,2
200,2153,2153
200,2,1
200,1114,1114
200,2,2
200,1251,1251
200,2,2
200,2350,2350
200,2,2
200,1472,1472
200,2,2
200,997,997
200,2,2
200,1639,1639
200,2,1
200,1477,1477
200,2,2
200,1875,1875
200,2,2
200,974,974
200,2,2
200,1778,1778
200,3,2
200,2009,2008
200,2,2
200,2089,2089
200,2,2
200,1942,1942
200,2,2
200,2285,2284
200,3,2
200,1304,1304
200,3,3
200,1321,1320
200,2,2
200,1447,1447
200,2,2
200,1949,1949
200,3,2
200,1138,1138
200,2,2
200,1249,1249
200,2,2
200,1879,1879
200,2,2
200,1640,1640
200,3,3
200,2010,2010
200,2,2
200,1353,1353
200,2,2
200,1846,1846
200,2,2
200,1186,1185
200,2,2
200,1626,1626
200,2,1
200,1648,1648
200,2,2
200,1184,1184
200,3,2
200,1060,1059
200,2,2
200,1364,1363
200,2,2
200,1927,1927
200,2,1
200,1170,1169
200,2,1
200,1250,1250
200,2,2
200,1059,1059
200,1,1
200,2044,2044
200,1,1
200,1383,1382
200,2,2
200,1508,1508
200,2,1
200,1768,1767
200,1,1
200,1141,1141
200,2,2
200,1307,1307
200,2,2
200,1374,1374
200,2,2
200,1728,1728
200,2,2
200,1648,1647
200,2,2
200,987,987
200,3,3
200,1800,1799
200,2,2
200,1818,1818
200,2,2
200,1773,1773
200,2,2
200,1682,1682
200,2,1
200,1687,1687
200,2,1
200,1135,1135
200,2,2
200,1874,1873
200,2,1
200,1670,1670
200,3,2
200,1407,1407
200,2,2
200,1200,1200
200,2,1
200,1715,1714
200,2,2
200,1811,1811
200,2,2
200,2142,2142
200,2,2
200,2568,2568
200,2,2
200,1719,1718
200,2,1
200,1728,1728
200,3,2
200,1208,1207
200,3,3
200,888,888
200,2,1
200,1626,1626
200,2,2
200,2190,2190
200,2,2
200,1895,1894
200,1,1
200,1655,1655
200,2,1
200,1471,1470
200,2,2
200,2155,2155
200,2,1
200,1720,1720
200,2,2
200,2242,2242
200,2,2
200,1747,1747
200,2,2
200,1810,1810
200,3,3
200,1646,1646
200,2,2
