status,duration_ms,upstream_ms
200,3191,3191
200,3143,3143
200,3095,3094
200,3046,3046
200,2998,2997
200,2950,2950
200,2900,2900
200,2852,2851
200,2803,2803
200,2754,2754
200,2703,2703
200,2656,2656
200,2607,2607
200,2559,2559
200,2510,2510
200,2460,2460
200,2413,2412
200,2364,2363
200,2315,2315
200,2266,2266
200,2218,2217
200,2169,2169
200,2121,2121
200,2073,2072
200,2024,2024
200,1976,1976
200,1928,1927
200,1879,1879
200,1828,1827
200,1782,1781
200,1733,1733
200,1664,1664
200,1635,1635
200,1587,1586
200,1539,1538
200,1490,1489
200,1442,1441
200,1396,1396
200,1348,1347
200,1300,1300
200,1253,1253
200,1204,1204
200,1155,1155
200,1107,1106
200,1059,1059
200,1011,1011
200,963,963
200,917,916
200,869,869
200,821,821
200,774,774
200,727,726
200,678,678
200,630,630
200,582,581
200,533,533
200,485,484
200,436,436
200,389,388
200,340,340
200,291,290
200,239,239
200,196,196
200,146,145
200,99,99
200,52,52
200,2,2
200,3,2
200,2,2
200,2,1
200,2,2
200,3,3
200,3,2
200,3,3
200,5,5
200,3,2
200,2,2
200,2,2
200,2,2
200,2,2
200,2,1
200,4,2
200,3,2
200,5,5
200,2,2
200,3,3
200,2,2
200,12,12
200,2,2
200,3,3
200,3,3
200,2,2
200,3,2
200,3,3
200,2,2
200,4,3
200,3,2
200,4,3
200,3,2
200,4,4
200,2,2
200,5,5
200,4,3
200,3,3
200,3,3
200,3,3
200,4,4
200,2,2
200,3,3
200,2,2
200,2,2
200,4,3
200,5,4
200,2,2
200,3,2
200,4,2
200,2,2
200,6,4
200,3,2
200,2,2
200,2,2
200,3,2
200,3,3
200,4,3
200,2,2
200,2,2
200,3,3
200,3,2
200,2,2
200,2,2
200,2,2
200,4,4
200,2,2
200,2,2
200,2,2
200,3,3
200,2,2
200,6,6
200,6,6
200,3,2
200,3,2
200,3,2
200,3,3
200,5,4
200,4,4
200,3,3
200,4,4
200,4,3
200,4,4
200,2,2
200,4,4
200,2,2
200,2,2
200,2,2
200,2,2
200,2,2
200,3,2
200,6,6
200,3,3
200,2,2
200,4,4
200,2,2
200,3,3
200,3,3
200,2,2
200,5,5
200,2,2
200,3,2
200,3,3
200,4,4
200,3,3
200,4,3
200,2,2
200,2,2
200,3,2
200,3,3
200,4,4
200,3,3
200,2,1
200,2,1
200,5,4
200,4,4
200,3,3
200,4,4
200,2,2
200,5,5
200,2,1
200,1,1
200,3,2
200,2,2
200,1,1
200,2,2
200,3,3
200,2,2
200,2,2
200,2,2
200,2,2
200,4,4
200,3,3
200,3,3
200,2,2
200,2,2
200,2,2
200,2,2
200,2,2
200,1,1
200,6,6
200,2,2
200,1,1
200,2,2
200,2,2
200,2,2
200,2,2
200,2,2
200,2,2
200,2,2
200,2,2
200,2,2
200,2,2
200,4,4
200,2,2
200,2,2
200,2,1
200,3,3
200,7,7
200,3,3
200,2,2
200,3,2
200,2,1
200,2,1
200,2,2
200,3,2
200,3,2
200,2,2
200,2,2
200,2,2
200,2,2
200,2,2
200,2,1
200,2,2
200,2,2
200,2,2
200,2,2
200,2,2
200,3,2
200,2,2
200,2,2
200,3,3
200,2,2
200,3,3
200,2,2
200,2,1
200,2,1
200,2,2
200,3,3
200,2,2
200,1,1
200,2,1
200,2,1
200,2,2
200,2,2
200,2,2
200,2,2
200,2,2
200,2,2
200,2,1
200,1,1
200,2,1
200,2,2
200,2,2
200,2,1
200,2,2
200,2,1
200,2,1
200,2,2
200,2,2
200,2,2
200,2,1
200,2,2
200,2,2
200,2,2
200,2,2
200,2,2
200,2,1
200,2,1
200,2,1
200,2,2
200,2,1
200,2,2
200,3,2
200,2,2
200,2,2
200,2,1
200,2,2
