iteration,latency_s,warm_ms,overhead_ms
0,2216.4437770843506,5.629539489746094,2210.8142375946045
1,2549.613237380981,4.782438278198242,2544.830799102783
2,1214.4591808319092,5.427122116088867,1209.0320587158203
3,1832.3025703430176,5.329370498657227,1826.9731998443604
4,1020.0493335723876,5.571126937866211,1014.4782066345216
5,1836.4856243133545,5.409955978393555,1831.075668334961
6,1108.1430912017822,5.988359451293945,1102.1547317504885
7,1639.6830081939695,6.1397552490234375,1633.5432529449463
8,1570.418119430542,5.4836273193359375,1564.934492111206
9,1373.7664222717283,4.352807998657227,1369.4136142730713
10,2113.3151054382324,4.425048828125,2108.8900566101074
11,2034.9442958831787,5.319833755493164,2029.624462127685
12,1512.4614238739014,4.836797714233398,1507.624626159668
13,1604.7203540802002,6.421804428100586,1598.2985496520996
14,2235.348463058472,5.344867706298828,2230.003595352173
15,1224.7271537780762,5.219936370849609,1219.5072174072266
16,1794.0881252288818,5.634307861328125,1788.4538173675537
17,2155.4548740386963,4.717111587524414,2150.737762451172
18,2083.9900970458984,5.357027053833008,2078.633069992065
19,1711.092233657837,5.191326141357422,1705.9009075164795
20,1776.950120925903,5.145072937011719,1771.8050479888916
21,1193.47882270813,5.388736724853516,1188.0900859832764
22,1619.6274757385254,5.844354629516602,1613.7831211090088
23,1471.1456298828125,5.155801773071289,1465.9898281097412
24,1668.776035308838,4.493236541748047,1664.2827987670898
25,1655.850172042847,4.730939865112305,1651.1192321777344
26,1815.361738204956,4.387378692626953,1810.974359512329
27,1166.9151782989502,5.174875259399414,1161.7403030395508
28,1595.1848030090332,4.780054092407227,1590.404748916626
29,1019.6809768676758,5.04612922668457,1014.6348476409912
30,1774.942398071289,4.605531692504883,1770.3368663787842
31,1852.2725105285645,5.795478820800781,1846.477031707764
32,1452.838659286499,5.38945198059082,1447.4492073059082
33,2115.918636322021,4.964590072631836,2110.9540462493896
34,1129.5318603515625,5.079030990600586,1124.452829360962
35,1446.8743801116943,5.039453506469727,1441.8349266052246
36,1073.2474327087402,5.6705474853515625,1067.576885223389
37,1808.3088397979736,5.237579345703125,1803.0712604522705
38,1800.3320693969729,4.963397979736328,1795.3686714172363
39,1423.5072135925293,5.468130111694336,1418.039083480835
40,1423.1791496276855,6.14166259765625,1417.0374870300293
41,1474.9817848205566,4.312276840209961,1470.669507980347
42,1381.3555240631104,5.386829376220703,1375.9686946868896
43,1451.066017150879,5.798816680908203,1445.2672004699707
44,1732.6948642730713,5.019426345825195,1727.675437927246
45,1266.226053237915,5.513668060302734,1260.7123851776123
46,1530.0493240356443,4.745006561279297,1525.3043174743652
47,1486.4351749420166,5.353450775146484,1481.08172416687
48,1292.250394821167,5.212545394897461,1287.0378494262695
49,1725.2929210662842,5.218982696533203,1720.073938369751
50,1090.4710292816162,5.530834197998047,1084.9401950836182
51,1186.2661838531494,5.491971969604492,1180.774211883545
52,1462.2704982757568,5.080223083496094,1457.1902751922607
53,1534.9316596984863,4.697561264038086,1530.2340984344482
54,2030.2667617797847,4.766225814819336,2025.5005359649656
