timestamp,pod,scheduling_time_ms,podautoscaler,reconcile_time_ms
I0602 15:01:15.973377,default/fetchdata-00001-deployment-759f5b8c55-ctwl7,5.194311,,
I0602 15:01:17.979271,default/linpack-00001-deployment-6d74694468-kkshc,5.714273,,
I0602 15:01:17.980104,default/fetchdata-00001-deployment-759f5b8c55-kb2b5,7.207605,,
I0602 15:01:25.976650,default/matrixmul-00001-deployment-78f7668cf4-nmgq8,5.786088,,
I0602 15:01:27.980102,default/matrixmul-00001-deployment-78f7668cf4-qjxpm,5.657273,,
I0602 15:01:44.186078,default/fastfouriertransform-00001-deployment-78d877fd9c-hrfh8,6.726773,,
I0602 15:09:26.525542,default/fastfouriertransform-00001-deployment-78d877fd9c-tjrj6,7.704143,,
I0602 15:09:26.550752,default/genmatrix-00001-deployment-5444456b78-j4f8g,4.123423,,
I0602 15:09:26.603325,default/fetchdata-00001-deployment-759f5b8c55-bmzx9,5.730718,,
I0602 15:09:26.701766,default/linpack-00001-deployment-6d74694468-llhq8,6.249236,,
I0602 15:09:27.256056,default/matrixmul-00001-deployment-78f7668cf4-r7z79,6.678217,,
I0602 15:09:29.970140,default/fastfouriertransform-00001-deployment-78d877fd9c-bfzjl,6.883217,,
I0602 15:09:29.984710,default/linpack-00001-deployment-6d74694468-8mcgg,11.057343,,
I0602 15:09:33.975399,default/linpack-00001-deployment-6d74694468-mmd9r,5.33244,,
I0602 15:09:35.982335,default/matrixmul-00001-deployment-78f7668cf4-4dsmv,6.791587,,
I0602 15:10:36.014460,default/linpack-00001-deployment-6d74694468-hwpkc,9.608011,,
I0602 15:10:45.978909,default/matrixmul-00001-deployment-78f7668cf4-pzcrz,5.723385,,
I0602 15:10:47.979906,default/matrixmul-00001-deployment-78f7668cf4-zmjds,7.41692,,
I0602 15:10:49.981719,default/matrixmul-00001-deployment-78f7668cf4-cgpg7,5.632773,,
I0602 15:11:03.974574,default/fastfouriertransform-00001-deployment-78d877fd9c-rjj44,6.102107,,
2026-06-02T15:30:22.495322882Z,,,default/linpack-00001,229.854913
2026-06-02T15:30:22.499213591Z,,,default/genmatrix-00001,234.744419
2026-06-02T15:30:22.524729567Z,,,default/matrixmul-00001,29.347388
2026-06-02T15:30:22.529647721Z,,,default/fastfouriertransform-00001,30.386611
2026-06-02T15:30:22.555052456Z,,,default/fetchdata-00001,30.269982
2026-06-02T15:30:24.206277956Z,,,default/matrixmul-00001,7.943084
2026-06-02T15:30:24.218102989Z,,,default/matrixmul-00001,9.720327
2026-06-02T15:30:24.222268494Z,,,default/genmatrix-00001,8.202547
2026-06-02T15:30:24.236860994Z,,,default/genmatrix-00001,9.764716
2026-06-02T15:30:24.28697576Z,,,default/genmatrix-00001,22.526361
2026-06-02T15:30:24.299233793Z,,,default/fastfouriertransform-00001,32.15741
2026-06-02T15:30:24.315131479Z,,,default/fetchdata-00001,28.099849
2026-06-02T15:30:24.328998737Z,,,default/linpack-00001,29.719888
2026-06-02T15:30:24.370260807Z,,,default/fetchdata-00001,8.879492
2026-06-02T15:30:24.404281034Z,,,default/fetchdata-00001,30.05976
2026-06-02T15:30:24.46832278Z,,,default/linpack-00001,9.272049
2026-06-02T15:30:24.488449397Z,,,default/linpack-00001,9.33979
2026-06-02T15:30:24.624064527Z,,,default/fastfouriertransform-00001,10.37105
2026-06-02T15:30:24.63858249Z,,,default/fastfouriertransform-00001,10.622161
2026-06-02T15:30:25.67906433Z,,,default/genmatrix-00001,10.043142
2026-06-02T15:30:25.997932928Z,,,default/fetchdata-00001,10.671846
2026-06-02T15:30:26.093220064Z,,,default/linpack-00001,9.254308
2026-06-02T15:30:26.110878271Z,,,default/fastfouriertransform-00001,8.90553
2026-06-02T15:30:26.292978496Z,,,default/matrixmul-00001,26.435088
2026-06-02T15:30:26.314872153Z,,,default/fastfouriertransform-00001,45.81152
2026-06-02T15:30:26.324427831Z,,,default/fetchdata-00001,31.402632
2026-06-02T15:30:26.351915384Z,,,default/fetchdata-00001,26.984496
2026-06-02T15:30:26.360996339Z,,,default/linpack-00001,46.074871
2026-06-02T15:30:27.474917808Z,,,default/fastfouriertransform-00001,1.039742
2026-06-02T15:30:27.58969608Z,,,default/fastfouriertransform-00001,9.080734
2026-06-02T15:30:27.982568306Z,,,default/fetchdata-00001,1.046298
2026-06-02T15:30:28.003650629Z,,,default/fetchdata-00001,10.421013
2026-06-02T15:30:28.058439437Z,,,default/matrixmul-00001,11.178569
2026-06-02T15:30:28.092241812Z,,,default/fastfouriertransform-00001,8.750659
2026-06-02T15:30:28.182902517Z,,,default/linpack-00001,8.885381
2026-06-02T15:30:28.311508769Z,,,default/linpack-00001,46.012168
2026-06-02T15:30:28.332040812Z,,,default/linpack-00001,20.036858
2026-06-02T15:30:29.35365452Z,,,default/linpack-00001,1.048816
2026-06-02T15:30:29.623900873Z,,,default/linpack-00001,1.242743
2026-06-02T15:30:29.760824635Z,,,default/linpack-00001,9.821679
2026-06-02T15:30:29.984596727Z,,,default/linpack-00001,10.333179
2026-06-02T15:31:24.28959434Z,,,default/genmatrix-00001,23.639845
2026-06-02T15:31:24.308503734Z,,,default/genmatrix-00001,15.888612
2026-06-02T15:31:24.327715573Z,,,default/fetchdata-00001,58.101129
2026-06-02T15:31:26.298366459Z,,,default/linpack-00001,33.579153
2026-06-02T15:31:26.304320022Z,,,default/matrixmul-00001,31.502151
2026-06-02T15:31:26.320734228Z,,,default/linpack-00001,16.365799
2026-06-02T15:31:26.326197309Z,,,default/fastfouriertransform-00001,27.766424
2026-06-02T15:31:26.336961045Z,,,default/matrixmul-00001,16.175484
2026-06-02T15:31:26.348292448Z,,,default/fastfouriertransform-00001,12.52722
2026-06-02T15:31:26.418213962Z,,,default/fastfouriertransform-00001,69.872033
2026-06-02T15:31:28.314035903Z,,,default/linpack-00001,48.22395
2026-06-02T15:31:28.316410517Z,,,default/fastfouriertransform-00001,45.48065
2026-06-02T15:31:28.345816907Z,,,default/linpack-00001,31.724021
2026-06-02T15:31:28.348035854Z,,,default/fastfouriertransform-00001,31.578984
2026-06-02T15:31:28.368176398Z,,,default/linpack-00001,22.308399
2026-06-02T15:31:32.31857095Z,,,default/matrixmul-00001,51.38801
2026-06-02T15:31:32.346755726Z,,,default/matrixmul-00001,1.051187
2026-06-02T15:31:33.764543787Z,,,default/matrixmul-00001,8.980623
2026-06-02T15:31:48.293175048Z,,,default/fetchdata-00001,26.712978
2026-06-02T15:31:49.896656265Z,,,default/fetchdata-00001,9.691216
2026-06-02T15:31:50.260620045Z,,,default/fetchdata-00001,12.29559
2026-06-02T15:31:50.294257107Z,,,default/fastfouriertransform-00001,26.568219
2026-06-02T15:31:50.31492804Z,,,default/fetchdata-00001,43.441
2026-06-02T15:31:50.343620281Z,,,default/fetchdata-00001,28.53487
2026-06-02T15:31:51.664405415Z,,,default/fetchdata-00001,9.597401
2026-06-02T15:31:51.793414321Z,,,default/fastfouriertransform-00001,13.134091
2026-06-02T15:31:51.880694785Z,,,default/fetchdata-00001,10.279384
2026-06-02T15:31:55.132364542Z,,,default/fetchdata-00001,1.66065
2026-06-02T15:31:56.829284291Z,,,default/matrixmul-00001,1.560557
2026-06-02T15:32:34.289132429Z,,,default/matrixmul-00001,23.476067
2026-06-02T15:32:34.333858542Z,,,default/matrixmul-00001,44.67941
2026-06-02T15:32:50.292925114Z,,,default/fetchdata-00001,25.302292
2026-06-02T15:32:50.308294134Z,,,default/fetchdata-00001,14.581556
2026-06-02T15:32:50.322658745Z,,,default/fetchdata-00001,14.306926
2026-06-02T15:32:50.34656285Z,,,default/fetchdata-00001,23.842772
2026-06-02T15:32:52.298449808Z,,,default/fastfouriertransform-00001,28.252685
2026-06-02T15:32:52.300337274Z,,,default/fetchdata-00001,33.911434
2026-06-02T15:32:52.317576778Z,,,default/fastfouriertransform-00001,11.890312
2026-06-02T15:32:52.317919426Z,,,default/fetchdata-00001,13.587184
2026-06-02T15:32:52.340484308Z,,,default/fetchdata-00001,22.137214
2026-06-02T15:33:00.283841779Z,,,default/matrixmul-00001,18.403654
2026-06-02T15:33:00.286472264Z,,,default/genmatrix-00001,22.118307
2026-06-02T15:33:00.405918069Z,,,default/matrixmul-00001,121.23677
2026-06-02T15:33:00.411050298Z,,,default/genmatrix-00001,123.860385
2026-06-02T15:33:00.453007945Z,,,default/matrixmul-00001,32.461247
2026-06-02T15:33:00.460664918Z,,,default/genmatrix-00001,31.464171
2026-06-02T15:33:00.47317662Z,,,default/matrixmul-00001,20.124341
2026-06-02T15:33:00.476964717Z,,,default/genmatrix-00001,16.254725
2026-06-02T15:33:02.279598581Z,,,default/fastfouriertransform-00001,13.65874
2026-06-02T15:33:02.282080991Z,,,default/linpack-00001,17.286616
2026-06-02T15:33:02.289549353Z,,,default/fetchdata-00001,9.910846
2026-06-02T15:33:02.426348921Z,,,default/linpack-00001,136.757791
2026-06-02T15:33:02.429667685Z,,,default/fastfouriertransform-00001,147.506008
2026-06-02T15:33:02.475371078Z,,,default/linpack-00001,38.801403
2026-06-02T15:33:02.517340707Z,,,default/fastfouriertransform-00001,41.91561
2026-06-02T15:33:02.533836396Z,,,default/linpack-00001,16.453392
2026-06-02T15:33:02.552511679Z,,,default/fastfouriertransform-00001,18.651432
2026-06-02T15:33:02.557493242Z,,,default/fetchdata-00001,131.117135
2026-06-02T15:33:02.598184036Z,,,default/fetchdata-00001,30.6698
2026-06-02T15:33:02.636076437Z,,,default/fetchdata-00001,37.845068
2026-06-02T15:33:02.654270906Z,,,default/fetchdata-00001,18.14795
2026-06-02T15:33:03.281713395Z,,,default/genmatrix-00001,16.517688
2026-06-02T15:33:03.282127062Z,,,default/matrixmul-00001,16.075706
2026-06-02T15:33:03.57617017Z,,,default/matrixmul-00001,15.779076
2026-06-02T15:33:04.788534224Z,,,default/matrixmul-00001,23.282753
2026-06-02T15:33:05.280329962Z,,,default/linpack-00001,14.735279
2026-06-02T15:33:05.281389186Z,,,default/fastfouriertransform-00001,14.992075
2026-06-02T15:33:05.298316097Z,,,default/fetchdata-00001,17.935283
2026-06-02T15:33:05.750147783Z,,,default/matrixmul-00001,19.845674
2026-06-02T15:33:05.770221272Z,,,default/matrixmul-00001,20.0376
2026-06-02T15:33:11.223473141Z,,,default/fetchdata-00001,18.259228
2026-06-02T15:33:11.881915063Z,,,default/fetchdata-00001,17.879468
2026-06-02T15:33:19.891904167Z,,,default/fetchdata-00001,16.75004
2026-06-02T15:33:20.254012978Z,,,default/fetchdata-00001,17.278282
2026-06-02T15:33:20.77161892Z,,,default/fetchdata-00001,23.50442
2026-06-02T15:33:20.826135196Z,,,default/fetchdata-00001,16.863263
2026-06-02T15:33:20.848261614Z,,,default/fetchdata-00001,22.092362
2026-06-02T15:33:21.044227928Z,,,default/fetchdata-00001,15.473187
2026-06-02T15:33:21.061127839Z,,,default/fetchdata-00001,16.869226
2026-06-02T15:33:21.079330548Z,,,default/fetchdata-00001,18.168227
2026-06-02T15:33:21.38707838Z,,,default/fetchdata-00001,15.636373
2026-06-02T15:33:21.406158887Z,,,default/fetchdata-00001,19.047174
2026-06-02T15:33:21.481411634Z,,,default/fastfouriertransform-00001,14.814704
2026-06-02T15:33:22.790709066Z,,,default/fastfouriertransform-00001,19.250489
2026-06-02T15:33:22.87176308Z,,,default/fetchdata-00001,17.746894
2026-06-02T15:33:23.4114802Z,,,default/fetchdata-00001,15.229649
2026-06-02T15:33:23.445364282Z,,,default/fetchdata-00001,17.830301
2026-06-02T15:33:23.660920548Z,,,default/fastfouriertransform-00001,17.398523
2026-06-02T15:33:23.680409814Z,,,default/fastfouriertransform-00001,19.462988
2026-06-02T15:33:23.7343962Z,,,default/genmatrix-00001,19.422878
2026-06-02T15:33:24.164575194Z,,,default/matrixmul-00001,15.233817
2026-06-02T15:33:26.089842515Z,,,default/linpack-00001,18.130265
2026-06-02T15:33:27.496128095Z,,,default/fastfouriertransform-00001,17.412819
2026-06-02T15:33:28.000132261Z,,,default/fetchdata-00001,16.209243
2026-06-02T15:33:30.912535353Z,,,default/matrixmul-00001,40.57459
2026-06-02T15:33:30.920549512Z,,,default/genmatrix-00001,32.642951
2026-06-02T15:33:31.07645633Z,,,default/genmatrix-00001,15.748447
2026-06-02T15:33:31.094790632Z,,,default/genmatrix-00001,18.304839
2026-06-02T15:33:31.51827184Z,,,default/matrixmul-00001,17.640838
2026-06-02T15:33:31.541259982Z,,,default/matrixmul-00001,22.950475
2026-06-02T15:33:32.922957662Z,,,default/fastfouriertransform-00001,43.325409
2026-06-02T15:33:32.98752597Z,,,default/linpack-00001,31.742171
2026-06-02T15:33:33.153327615Z,,,default/fetchdata-00001,36.132919
2026-06-02T15:33:33.341920087Z,,,default/fetchdata-00001,17.176745
2026-06-02T15:33:33.362728355Z,,,default/fetchdata-00001,20.778935
2026-06-02T15:33:33.405138949Z,,,default/linpack-00001,15.98117
