index,function,size,latency_ms,execution_time_sec,type,status
886,fastfouriertransform,medium,617.2,0.603199,warm,200
887,pagerank,medium,75.3,0.051845,warm,200
888,linpack,small,12.3,0.005118,warm,200
889,pagerank,small,78.8,0.010996,warm,200
890,matrixmul,large,16.3,0.005017,warm,200
891,linpack,small,16.3,0.005096,warm,200
892,linpack,medium,733.1,0.703247,warm,200
893,fetchdata,small,81.3,0.07721,warm,200
894,linpack,medium,1175.6,0.66306,warm,200
895,genmatrix,small,5.4,0.000105,warm,200
896,fetchdata,small,82.6,0.07843,warm,200
897,fastfouriertransform,medium,617.3,0.603983,warm,200
898,fastfouriertransform,large,524.1,0.004854,warm,200
899,pagerank,large,382.5,0.291942,warm,200
900,pagerank,small,297.2,0.010625,warm,200
901,linpack,large,482.7,0.005288,warm,200
902,fetchdata,large,80.1,0.076195,warm,200
903,matrixmul,small,17.3,0.004997,warm,200
904,fetchdata,small,81.4,0.0774,warm,200
905,resnet,small,133.8,0.128123,warm,200
906,mobilenet,small,30.0,0.02433,warm,200
907,matrixmul,medium,586.4,0.574626,warm,200
908,genmatrix,medium,9.6,0.000205,warm,200
909,resnet,medium,147.5,0.143466,warm,200
910,mobilenet,small,21.8,0.017814,warm,200
911,pagerank,small,18.1,0.010403,warm,200
912,grayscale,medium,2187.7,0.058958,cold,200
913,genmatrix,medium,9.6,0.000199,warm,200
914,resnet,medium,126.5,0.122275,warm,200
915,mobilenet,medium,28.4,0.020066,warm,200
916,matrixmul,large,17.8,0.005048,warm,200
917,pagerank,medium,119.1,0.09451,warm,200
918,fetchdata,small,85.1,0.080858,warm,200
919,resnet,small,134.7,0.129341,warm,200
920,grayscale,small,1327.9,0.006888,warm,200
921,mobilenet,medium,23.5,0.017378,warm,200
922,pagerank,small,26.6,0.016037,warm,200
923,pagerank,small,24.1,0.014467,warm,200
924,grayscale,small,920.5,0.007466,warm,200
925,fetchdata,medium,81.1,0.076799,warm,200
926,mobilenet,large,24.8,0.018142,warm,200
927,fetchdata,medium,119.1,0.114649,warm,200
928,fastfouriertransform,small,22.7,0.004941,warm,200
929,mobilenet,medium,21.8,0.017388,warm,200
930,graphgen,medium,138.9,0.020145,warm,200
931,graphgen,medium,135.2,0.013319,warm,200
932,pagerank,medium,93.3,0.064884,warm,200
933,genmatrix,medium,13.6,0.000206,warm,200
934,fastfouriertransform,medium,626.3,0.604942,warm,200
935,genmatrix,small,5.4,0.000101,warm,200
936,linpack,small,13.5,0.005102,warm,200
937,linpack,small,13.6,0.005077,warm,200
938,fetchdata,small,90.9,0.085712,warm,200
939,grayscale,medium,73.7,0.057939,warm,200
940,fetchdata,large,90.2,0.085329,warm,200
941,mobilenet,medium,22.9,0.017399,warm,200
942,resnet,small,162.0,0.156828,warm,200
943,fastfouriertransform,small,71.1,0.004927,warm,200
944,grayscale,small,12.1,0.006828,warm,200
945,fetchdata,large,90.0,0.084815,warm,200
946,resnet,large,126.1,0.121276,warm,200
947,matrixmul,small,19.0,0.005009,warm,200
948,grayscale,small,11.6,0.006787,warm,200
949,grayscale,small,11.9,0.006779,warm,200
950,graphgen,small,27.3,0.003135,warm,200
951,matrixmul,large,18.0,0.005002,warm,200
952,resnet,medium,135.4,0.130674,warm,200
953,fastfouriertransform,small,21.8,0.004907,warm,200
954,mobilenet,large,22.4,0.017859,warm,200
955,pagerank,small,25.9,0.016002,warm,200
956,pagerank,large,407.8,0.307512,warm,200
957,genmatrix,large,55.3,0.00122,warm,200
958,fetchdata,medium,90.0,0.08515,warm,200
959,matrixmul,small,21.7,0.00741,warm,200
960,resnet,medium,126.0,0.121654,warm,200
961,genmatrix,large,53.0,0.001177,warm,200
962,matrixmul,small,23.0,0.008078,warm,200
963,fastfouriertransform,large,18.3,0.0049,warm,200
964,linpack,small,12.8,0.005088,warm,200
965,pagerank,large,416.5,0.277443,warm,200
966,pagerank,large,651.1,0.283566,warm,200
967,pagerank,small,231.9,0.01034,warm,200
968,matrixmul,medium,576.5,0.558373,warm,200
969,graphgen,large,592.8,0.06384,warm,200
970,matrixmul,medium,885.2,0.508571,warm,200
971,grayscale,large,2886.8,2.706637,cold,200
972,graphgen,medium,279.0,0.013604,warm,200
973,fastfouriertransform,medium,665.6,0.632238,warm,200
974,genmatrix,large,66.8,0.001175,warm,200
975,fastfouriertransform,large,436.4,0.005287,warm,200
976,linpack,small,21.9,0.005098,warm,200
977,graphgen,medium,114.0,0.013403,warm,200
978,pagerank,medium,83.9,0.050045,warm,200
979,fetchdata,large,129.6,0.125926,warm,200
980,mobilenet,large,29.2,0.024677,warm,200
981,mobilenet,large,25.3,0.020716,warm,200
982,fetchdata,small,81.3,0.076943,warm,200
983,fastfouriertransform,large,18.3,0.00492,warm,200
984,mobilenet,small,27.6,0.023311,warm,200
985,grayscale,small,1389.8,0.007109,warm,200
986,graphgen,small,38.9,0.004714,warm,200
987,graphgen,medium,155.3,0.052823,warm,200
988,grayscale,large,4006.2,2.683974,cold,200
989,matrixmul,large,17.1,0.005013,warm,200
990,mobilenet,medium,29.1,0.022928,warm,200
991,graphgen,large,493.6,0.063855,warm,200
992,genmatrix,medium,9.4,0.000201,warm,200
993,linpack,small,12.1,0.00511,warm,200
994,linpack,medium,706.2,0.687634,warm,200
995,fastfouriertransform,medium,636.5,0.604647,warm,200
996,matrixmul,medium,520.3,0.50868,warm,200
