index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,in_flight
794,794,mobilenet,large,warm,200,28.5,28.5,0.0,20.41,8.09,1
795,795,mobilenet,large,warm,200,29.86,29.86,0.0,20.54,9.32,1
796,796,resnet,large,warm,200,132.51,132.51,0.0,123.19,9.32,1
797,797,mobilenet,large,warm,200,33.08,33.07,0.0,23.06,10.01,2
798,798,resnet,small,warm,200,152.22,152.21,0.0,142.01,10.2,1
799,799,mobilenet,small,warm,200,31.79,31.78,0.0,22.64,9.14,2
800,800,mobilenet,large,warm,200,29.92,29.91,0.0,21.61,8.31,1
801,801,resnet,small,warm,200,131.63,131.63,0.0,123.32,8.3,1
802,802,resnet,medium,warm,200,165.39,165.39,0.0,127.64,37.75,2
803,803,mobilenet,medium,warm,200,31.64,31.63,0.0,23.33,8.31,2
804,804,resnet,large,warm,200,136.24,136.24,0.0,129.0,7.24,1
805,805,resnet,small,warm,200,162.67,162.66,0.0,123.17,39.5,2
806,806,mobilenet,medium,warm,200,34.61,34.6,0.01,24.21,10.39,2
807,807,resnet,small,warm,200,145.2,145.2,0.0,130.94,14.26,1
808,808,resnet,large,warm,200,270.77,270.76,0.0,231.92,38.84,2
809,809,resnet,medium,warm,200,300.26,300.26,0.0,128.54,171.72,2
810,810,resnet,medium,warm,200,324.82,324.81,0.0,123.15,201.67,3
811,811,resnet,small,warm,200,352.36,352.35,0.0,122.32,230.03,3
812,812,mobilenet,large,warm,200,35.06,35.05,0.0,25.64,9.41,4
813,813,mobilenet,medium,warm,200,33.12,33.12,0.01,22.15,10.97,3
814,814,mobilenet,large,warm,200,42.64,42.64,0.01,32.19,10.45,2
815,815,resnet,medium,warm,200,134.16,134.16,0.0,124.04,10.12,1
816,816,mobilenet,large,warm,200,28.54,28.53,0.0,20.39,8.15,2
817,817,mobilenet,medium,warm,200,30.11,30.1,0.0,21.85,8.25,1
818,818,mobilenet,small,warm,200,29.08,29.08,0.0,20.62,8.46,1
819,819,resnet,medium,warm,200,150.17,150.16,0.0,140.06,10.11,1
820,820,mobilenet,medium,warm,200,33.9,33.9,0.0,22.17,11.73,2
821,821,mobilenet,small,warm,200,28.73,28.72,0.0,20.91,7.82,1
822,822,resnet,medium,warm,200,345.19,345.19,0.0,242.58,102.61,1
823,823,mobilenet,medium,warm,200,31.6,31.59,0.0,22.11,9.48,2
824,824,mobilenet,medium,warm,200,36.18,36.18,0.0,27.4,8.77,2
