entity_id,state,last_changed
sensor.bandeau_d_alimentation_antela_puissance,64.6,2026-07-23T15:00:00.000Z
sensor.bandeau_d_alimentation_antela_puissance,76.0,2026-07-23T15:00:23.195Z
sensor.bandeau_d_alimentation_antela_puissance,73.1,2026-07-23T15:00:26.355Z
sensor.bandeau_d_alimentation_antela_puissance,75.1,2026-07-23T15:00:29.074Z
sensor.bandeau_d_alimentation_antela_puissance,74.7,2026-07-23T15:00:33.508Z
sensor.bandeau_d_alimentation_antela_puissance,76.6,2026-07-23T15:00:38.350Z
sensor.bandeau_d_alimentation_antela_puissance,73.8,2026-07-23T15:00:43.298Z
sensor.bandeau_d_alimentation_antela_puissance,78.7,2026-07-23T15:00:48.386Z
sensor.bandeau_d_alimentation_antela_puissance,79.0,2026-07-23T15:00:53.409Z
sensor.bandeau_d_alimentation_antela_puissance,79.2,2026-07-23T15:00:58.428Z
sensor.bandeau_d_alimentation_antela_puissance,76.3,2026-07-23T15:01:03.374Z
sensor.bandeau_d_alimentation_antela_puissance,76.5,2026-07-23T15:01:08.513Z
sensor.bandeau_d_alimentation_antela_puissance,65.2,2026-07-23T15:04:02.038Z
sensor.bandeau_d_alimentation_antela_puissance,64.5,2026-07-23T15:04:06.353Z
sensor.bandeau_d_alimentation_antela_puissance,64.0,2026-07-23T15:04:16.305Z
sensor.bandeau_d_alimentation_antela_puissance,65.0,2026-07-23T15:04:21.326Z
sensor.bandeau_d_alimentation_antela_puissance,65.7,2026-07-23T15:04:26.274Z
sensor.bandeau_d_alimentation_antela_puissance,64.0,2026-07-23T15:04:31.363Z
sensor.bandeau_d_alimentation_antela_puissance,77.6,2026-07-23T15:10:29.203Z
sensor.bandeau_d_alimentation_antela_puissance,64.4,2026-07-23T15:15:15.688Z
sensor.bandeau_d_alimentation_antela_puissance,64.1,2026-07-23T15:15:19.888Z
sensor.bandeau_d_alimentation_antela_puissance,64.2,2026-07-23T15:15:24.818Z
sensor.bandeau_d_alimentation_antela_puissance,65.7,2026-07-23T15:15:29.726Z
sensor.bandeau_d_alimentation_antela_puissance,65.1,2026-07-23T15:15:34.830Z
sensor.bandeau_d_alimentation_antela_puissance,63.7,2026-07-23T15:15:39.801Z
sensor.bandeau_d_alimentation_antela_puissance,65.0,2026-07-23T15:15:44.872Z
sensor.bandeau_d_alimentation_antela_puissance,66.0,2026-07-23T15:19:23.490Z
sensor.bandeau_d_alimentation_antela_puissance,73.5,2026-07-23T15:21:41.215Z
sensor.bandeau_d_alimentation_antela_puissance,77.1,2026-07-23T15:21:51.075Z
sensor.bandeau_d_alimentation_antela_puissance,74.3,2026-07-23T15:21:56.226Z
sensor.bandeau_d_alimentation_antela_puissance,74.1,2026-07-23T15:22:01.160Z
sensor.bandeau_d_alimentation_antela_puissance,78.1,2026-07-23T15:22:04.742Z
sensor.bandeau_d_alimentation_antela_puissance,75.8,2026-07-23T15:22:06.111Z
sensor.bandeau_d_alimentation_antela_puissance,74.8,2026-07-23T15:22:11.039Z
sensor.bandeau_d_alimentation_antela_puissance,80.8,2026-07-23T15:22:16.830Z
sensor.bandeau_d_alimentation_antela_puissance,76.8,2026-07-23T15:22:21.922Z
sensor.bandeau_d_alimentation_antela_puissance,74.0,2026-07-23T15:22:26.976Z
sensor.bandeau_d_alimentation_antela_puissance,77.6,2026-07-23T15:22:31.955Z
sensor.bandeau_d_alimentation_antela_puissance,76.7,2026-07-23T15:22:36.906Z
sensor.bandeau_d_alimentation_antela_puissance,75.5,2026-07-23T15:22:41.821Z
