index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
0,0,fastfouriertransform,small,cold,200,1572.04,1572.03,0.01,6.07,1565.96,True,,0.0,3.89,0.0,2.17,6.07,1
1,1,genmatrix,small,cold,200,1646.88,1646.88,0.0,7.87,1639.01,True,,0.0,0.03,,7.84,7.87,2
2,2,fetchdata,small,cold,200,1696.75,1696.74,0.0,124.56,1572.18,True,124.53,0.0,0.02,0.0,,124.56,3
3,3,fastfouriertransform,large,cold,200,1297.01,1297.0,0.0,4.59,1292.41,False,,0.0,3.88,0.0,0.71,4.59,4
4,4,linpack,small,cold,200,1481.03,1481.02,0.0,5.86,1475.17,True,,0.0,0.61,4.39,0.84,5.85,5
5,5,linpack,medium,cold,200,2686.74,2686.73,0.0,652.77,2033.96,False,,0.0,0.44,3.98,648.35,652.77,6
6,6,fastfouriertransform,small,warm,200,1002.33,1002.33,0.01,4.54,997.79,False,,0.0,3.81,0.0,0.72,4.54,7
7,7,fastfouriertransform,small,warm,200,885.77,885.77,0.01,4.63,881.13,False,,0.0,3.84,0.0,0.79,4.63,8
8,8,fetchdata,large,cold,200,1241.17,1241.16,0.01,73.78,1167.38,False,73.75,0.0,0.02,0.0,,73.78,9
9,9,linpack,small,cold,200,2296.78,2296.78,0.0,5.11,2291.66,False,,0.0,0.41,3.98,0.72,5.11,10
10,10,linpack,small,cold,200,2209.89,2209.88,0.01,5.1,2204.78,False,,0.0,0.4,3.98,0.72,5.1,11
11,11,linpack,medium,cold,200,2747.71,2747.7,0.0,644.26,2103.44,False,,0.0,0.34,3.95,639.97,644.26,12
12,12,fetchdata,medium,warm,200,920.98,920.98,0.0,74.19,846.79,False,74.16,0.0,0.02,0.0,,74.19,13
13,13,linpack,medium,warm,200,1238.54,1238.54,0.0,648.15,590.39,False,,0.0,0.39,3.98,643.77,648.14,14
14,14,fastfouriertransform,small,warm,200,187.84,187.83,0.01,4.58,183.25,False,,0.0,3.85,0.0,0.72,4.58,15
15,15,matrixmul,medium,cold,200,2038.88,2033.01,5.87,508.53,1524.49,True,,0.0,0.35,4.2,503.97,508.52,16
16,16,genmatrix,small,warm,200,151.38,151.37,0.0,0.11,151.27,False,,0.0,0.02,,0.08,0.1,13
17,17,fetchdata,medium,warm,200,272.74,272.73,0.0,74.33,198.4,False,74.3,0.0,0.02,0.0,,74.33,13
18,18,fastfouriertransform,small,warm,200,24.85,24.85,0.0,4.54,20.31,False,,0.0,3.79,0.0,0.73,4.53,12
19,19,matrixmul,small,cold,200,1665.89,1660.7,5.19,5.14,1655.56,False,,0.0,0.57,4.01,0.56,5.14,10
20,20,genmatrix,medium,warm,200,23.76,19.14,4.62,0.23,18.91,False,,0.0,0.03,,0.2,0.23,10
21,21,linpack,medium,cold,200,2394.66,2394.65,0.01,645.01,1749.64,False,,0.0,0.34,3.99,640.67,645.01,9
22,22,fastfouriertransform,large,warm,200,24.5,24.49,0.0,4.54,19.96,False,,0.0,3.81,0.0,0.72,4.53,9
23,23,matrixmul,large,cold,200,1253.3,1253.29,0.01,4.9,1248.4,False,,0.0,0.37,3.95,0.56,4.89,9
24,24,fastfouriertransform,medium,warm,200,625.35,625.34,0.0,606.22,19.12,False,,0.0,3.81,0.0,602.41,606.22,10
25,25,fastfouriertransform,large,warm,200,532.03,532.02,0.01,4.6,527.42,False,,0.0,3.82,0.0,0.77,4.6,11
26,26,genmatrix,large,warm,200,64.25,42.03,22.22,0.87,41.16,False,,0.0,0.02,,0.84,0.87,11
27,27,linpack,medium,cold,200,2437.57,2437.57,0.0,649.91,1787.66,False,,0.0,0.34,3.95,645.61,649.91,11
28,28,linpack,small,cold,200,2357.21,2357.21,0.0,5.0,2352.2,False,,0.0,0.32,3.96,0.72,5.0,12
29,29,fastfouriertransform,small,warm,200,135.78,135.77,0.01,4.59,131.18,False,,0.0,3.81,0.0,0.78,4.59,13
30,30,fetchdata,medium,warm,200,85.5,85.49,0.01,73.58,11.91,False,73.55,0.0,0.02,0.0,,73.58,14
31,31,fastfouriertransform,small,warm,200,28.2,28.19,0.01,4.51,23.68,False,,0.0,3.79,0.0,0.71,4.51,11
32,32,fastfouriertransform,medium,warm,200,631.59,631.58,0.01,605.41,26.18,False,,0.0,3.82,0.0,601.58,605.41,9
33,33,genmatrix,medium,warm,200,24.2,15.97,8.23,0.22,15.75,False,,0.0,0.03,,0.19,0.22,9
34,34,genmatrix,small,warm,200,11.97,11.97,0.0,0.12,11.85,False,,0.0,0.03,,0.09,0.12,9
35,35,genmatrix,medium,warm,200,21.2,16.66,4.55,0.22,16.44,False,,0.0,0.03,,0.19,0.22,9
36,36,fetchdata,large,warm,200,86.5,86.49,0.0,74.02,12.47,False,73.99,0.0,0.02,0.0,,74.02,6
37,37,genmatrix,large,warm,200,111.67,51.7,59.97,1.22,50.48,False,,0.0,0.04,,1.17,1.22,6
38,38,fastfouriertransform,large,warm,200,29.63,29.63,0.0,4.51,25.12,False,,0.0,3.8,0.0,0.71,4.51,7
39,39,fetchdata,large,warm,200,83.66,83.66,0.0,73.64,10.02,False,73.61,0.0,0.02,0.0,,73.64,4
40,40,fetchdata,small,warm,200,82.34,82.33,0.0,73.55,8.79,False,73.52,0.0,0.02,0.0,,73.55,4
41,41,matrixmul,medium,warm,200,534.44,529.29,5.15,507.56,21.73,False,,0.0,0.34,3.96,503.25,507.56,4
42,42,genmatrix,large,warm,200,82.26,42.4,39.86,0.94,41.45,False,,0.0,0.02,,0.92,0.94,5
43,43,linpack,small,warm,200,853.79,853.78,0.01,5.16,848.62,False,,0.0,0.35,4.07,0.73,5.16,5
44,44,genmatrix,small,warm,200,13.0,12.99,0.0,0.14,12.85,False,,0.0,0.03,,0.12,0.14,6
45,45,fetchdata,small,warm,200,83.98,83.97,0.01,73.92,10.05,False,73.9,0.0,0.02,0.0,,73.92,5
46,46,genmatrix,medium,warm,200,20.89,20.88,0.0,0.29,20.59,False,,0.0,0.03,,0.26,0.29,5
47,47,genmatrix,small,warm,200,12.61,12.61,0.0,0.14,12.47,False,,0.0,0.03,,0.11,0.14,4
48,48,fetchdata,large,warm,200,92.2,92.2,0.0,81.38,10.82,False,81.35,0.0,0.02,0.0,,81.38,4
49,49,genmatrix,small,warm,200,13.3,13.29,0.0,0.16,13.13,False,,0.0,0.03,,0.13,0.16,4
50,50,matrixmul,medium,warm,200,531.06,526.37,4.69,507.64,18.74,False,,0.0,0.34,3.96,503.33,507.64,4
51,51,matrixmul,small,warm,200,457.65,445.01,12.64,4.87,440.14,False,,0.0,0.34,3.97,0.56,4.87,5
52,52,genmatrix,small,warm,200,13.69,13.69,0.0,0.11,13.58,False,,0.0,0.02,,0.09,0.11,3
53,53,fetchdata,large,warm,200,84.77,84.76,0.0,73.76,11.01,False,73.73,0.0,0.02,0.0,,73.75,3
54,54,linpack,large,warm,200,20.41,20.41,0.0,5.06,15.35,False,,0.0,0.34,3.97,0.75,5.06,3
55,55,genmatrix,large,warm,200,73.0,47.36,25.64,0.79,46.57,False,,0.0,0.02,,0.77,0.79,3
56,56,linpack,medium,warm,200,663.94,663.94,0.0,650.52,13.41,False,,0.0,0.33,3.96,646.23,650.52,1
57,57,linpack,medium,warm,200,1225.37,1225.36,0.01,644.4,580.96,False,,0.0,0.33,3.99,640.07,644.4,2
58,58,genmatrix,small,warm,200,11.59,11.59,0.0,0.13,11.46,False,,0.0,0.02,,0.1,0.13,3
59,59,fetchdata,large,warm,200,87.08,87.07,0.0,74.07,13.01,False,74.04,0.0,0.02,0.0,,74.07,3
60,60,matrixmul,small,warm,200,27.46,27.45,0.0,4.96,22.5,False,,0.0,0.39,4.01,0.56,4.95,3
61,61,fastfouriertransform,small,warm,200,25.14,25.14,0.0,5.97,19.17,False,,0.0,5.03,0.0,0.93,5.96,3
62,62,fetchdata,large,warm,200,96.22,96.21,0.01,82.92,13.3,False,82.89,0.0,0.02,0.0,,82.92,3
63,63,fetchdata,large,warm,200,90.45,90.45,0.0,78.94,11.5,False,78.91,0.0,0.02,0.0,,78.94,2
64,64,matrixmul,large,warm,200,48.3,48.3,0.0,4.87,43.42,False,,0.0,0.34,3.96,0.56,4.87,2
65,65,fastfouriertransform,medium,warm,200,661.68,661.67,0.0,642.82,18.85,False,,0.0,6.09,0.0,636.72,642.82,2
66,66,matrixmul,large,warm,200,24.37,24.36,0.0,4.89,19.47,False,,0.0,0.34,3.98,0.56,4.89,3
67,67,matrixmul,large,warm,200,123.33,119.06,4.27,4.92,114.14,False,,0.0,0.37,3.98,0.57,4.92,3
68,68,genmatrix,large,warm,200,92.06,38.93,53.14,0.82,38.11,False,,0.0,0.02,,0.79,0.82,4
69,69,fastfouriertransform,large,warm,200,256.34,256.33,0.01,4.54,251.79,False,,0.0,3.82,0.0,0.71,4.54,3
70,70,fastfouriertransform,large,warm,200,173.14,173.13,0.01,4.65,168.48,False,,0.0,3.9,0.0,0.75,4.65,3
71,71,linpack,medium,warm,200,708.61,708.6,0.0,641.43,67.17,True,,0.0,0.39,4.0,637.03,641.43,4
72,72,genmatrix,small,warm,200,12.72,12.71,0.01,0.11,12.6,False,,0.0,0.02,,0.09,0.11,2
73,73,genmatrix,medium,warm,200,15.72,15.71,0.0,0.21,15.51,False,,0.0,0.02,,0.18,0.21,2
74,74,fetchdata,medium,warm,200,90.41,90.4,0.01,81.07,9.33,False,81.04,0.0,0.02,0.0,,81.07,2
75,75,fastfouriertransform,large,warm,200,24.25,24.24,0.0,4.54,19.71,False,,0.0,3.8,0.0,0.73,4.54,2
