function,payload,cpu_limit,memory_mb,payload_size_mb,output_size_mb,build_time_msec,total_cold_msec,cold_start_msec,execution_time_cold_msec,total_warm_avg_msec,warm_start_avg_msec,execution_time_warm_avg_msec,warm_iterations
aggregator,small,0.5,128,0.000088,.000082,659,550,549.969000,.031000,126.600000,126.564400,.035600,10
aggregator,medium,0.5,128,0.000088,.000082,659,550,549.969000,.031000,115.400000,115.380900,.019100,10
aggregator,large,0.5,128,0.000093,.000085,659,550,549.969000,.031000,114.600000,114.579800,.020200,10
alexnet,small,0.5,128,0.015935,.000090,515,5310,1222.254000,4087.746000,3644.500000,621.056100,3023.443900,10
alexnet,medium,0.5,128,0.018445,.000090,515,5310,1222.254000,4087.746000,3810.000000,604.684300,3205.315700,10
alexnet,large,0.5,128,0.020459,.000090,515,5310,1222.254000,4087.746000,3402.700000,592.485000,2810.215000,10
fetch_data,small,0.5,128,0.000040,.000118,707,858,726.125000,131.875000,319.900000,233.271600,86.628400,10
fetch_data,medium,0.5,128,0.000040,.000118,707,858,726.125000,131.875000,320.900000,233.099700,87.800300,10
fetch_data,large,0.5,128,0.000040,.000118,707,858,726.125000,131.875000,334.500000,237.957500,96.542500,10
flip,small,0.5,128,0.033555,.033459,716,600,536.062000,63.938000,223.900000,190.891500,33.008500,10
flip,medium,0.5,128,0.228467,.228063,716,600,536.062000,63.938000,283.200000,178.459800,104.740200,10
flip,large,0.5,128,6.569470,6.569401,716,600,536.062000,63.938000,3642.100000,294.303400,3347.796600,10
grayscale,small,0.5,128,0.038598,.033578,826,590,548.05000,41.95000,173.000000,158.693000,14.307000,10
grayscale,medium,0.5,128,0.239808,.228490,826,590,548.05000,41.95000,280.900000,161.861900,119.038100,10
grayscale,large,0.5,128,1.137418,6.569493,826,590,548.05000,41.95000,3780.400000,267.375800,3513.024200,10
mobilenet,small,0.5,128,0.015935,.000086,854,3015,1021.369000,1993.631000,2482.900000,582.687600,1900.212400,10
mobilenet,medium,0.5,128,0.018445,.000086,854,3015,1021.369000,1993.631000,2728.200000,548.876700,2179.323300,10
mobilenet,large,0.5,128,0.020459,.000089,854,3015,1021.369000,1993.631000,2475.100000,539.763900,1935.336100,10
resize,small,0.5,128,0.033998,.015957,519,1042,1039.055000,2.945000,603.200000,600.185400,3.014600,10
resize,medium,0.5,128,0.231961,.018468,519,1042,1039.055000,2.945000,668.200000,632.833600,35.366400,10
resize,large,0.5,128,6.558732,.020482,519,1042,1039.055000,2.945000,1092.100000,628.284300,463.815700,10
resnet,small,0.5,128,0.015935,.000001,707,4303,4303,0,4002.400000,4002.400000,0,10
resnet,medium,0.5,128,0.018445,.000001,707,4303,4303,0,3699.700000,3699.700000,0,10
resnet,large,0.5,128,0.020459,.000001,707,4303,4303,0,4103.600000,4103.600000,0,10
rotate,small,0.5,128,0.033437,.034031,599,678,669.936206817626953000,8.063793182373047000,187.400000,173.542302,13.857698,10
rotate,medium,0.5,128,0.228040,.231994,599,678,669.936206817626953000,8.063793182373047000,307.000000,187.429459,119.570541,10
rotate,large,0.5,128,6.569379,6.558764,599,678,669.936206817626953000,8.063793182373047000,3775.100000,248.611410,3526.488590,10
