request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
1223,fetchdata,large,warm,200,91.96,91.94,0.02,84.81,7.12,False,84.78,0.0,0.02,0.0,,84.81,2
1224,genmatrix,large,warm,200,53.72,47.26,6.46,1.22,46.04,False,,0.0,0.03,,1.19,1.22,2
1225,genmatrix,small,warm,200,9.51,8.0,1.51,0.14,7.85,False,,0.0,0.03,,0.11,0.14,1
1226,fastfouriertransform,large,warm,200,24.39,24.39,0.01,4.62,19.77,False,,0.0,3.87,0.0,0.75,4.62,1
1227,linpack,small,warm,200,17.23,17.21,0.02,5.09,12.13,False,,0.0,0.34,3.99,0.75,5.09,1
1228,fetchdata,small,warm,200,147.38,147.37,0.02,139.51,7.86,False,139.47,0.0,0.03,0.0,,139.5,1
1229,linpack,small,warm,200,16.32,16.29,0.02,5.08,11.21,False,,0.0,0.34,4.0,0.74,5.08,1
1230,fetchdata,small,warm,200,138.55,138.49,0.07,131.56,6.93,False,131.53,0.0,0.02,0.0,,131.56,1
1231,fastfouriertransform,medium,warm,200,620.28,620.26,0.02,599.82,20.44,False,,0.0,3.84,0.0,595.97,599.82,1
1232,genmatrix,large,warm,200,51.37,44.47,6.9,1.11,43.36,False,,0.0,0.03,,1.08,1.11,2
1233,matrixmul,small,warm,200,25.85,21.05,4.8,4.9,16.15,False,,0.0,0.34,3.99,0.56,4.9,2
1234,fetchdata,small,warm,200,94.12,94.1,0.02,84.66,9.44,False,84.63,0.0,0.02,0.0,,84.66,2
1235,linpack,small,warm,200,16.39,16.37,0.02,5.08,11.29,False,,0.0,0.34,3.99,0.75,5.08,1
1236,matrixmul,large,warm,200,28.67,24.16,4.51,6.47,17.69,False,,0.0,0.45,5.27,0.74,6.47,1
1237,matrixmul,medium,warm,200,570.35,565.85,4.5,549.86,15.99,False,,0.0,0.53,6.32,543.0,549.86,1
1238,fetchdata,medium,warm,200,82.85,82.83,0.02,76.31,6.53,False,76.28,0.0,0.02,0.0,,76.31,2
1239,genmatrix,medium,warm,200,19.55,14.44,5.11,0.3,14.14,False,,0.0,0.04,,0.26,0.3,2
1240,fastfouriertransform,small,warm,200,38.81,38.8,0.02,4.59,34.2,False,,0.0,3.85,0.0,0.74,4.59,1
1241,linpack,small,warm,200,16.61,16.59,0.02,5.11,11.48,False,,0.0,0.34,4.02,0.74,5.11,1
1242,linpack,large,warm,200,16.86,16.84,0.02,5.09,11.76,False,,0.0,0.34,4.0,0.74,5.09,1
1243,fastfouriertransform,small,warm,200,19.22,19.22,0.01,4.61,14.61,False,,0.0,3.84,0.0,0.75,4.6,1
1244,matrixmul,small,warm,200,25.51,20.37,5.15,5.04,15.33,False,,0.0,0.34,4.12,0.57,5.04,1
1245,fastfouriertransform,medium,warm,200,660.67,660.6,0.07,623.21,37.4,False,,0.0,6.11,0.0,617.08,623.21,1
1246,matrixmul,small,warm,200,20.8,17.46,3.35,4.92,12.54,False,,0.0,0.34,4.0,0.57,4.92,2
1247,genmatrix,small,warm,200,9.31,8.0,1.31,0.11,7.9,False,,0.0,0.02,,0.08,0.11,2
1248,fastfouriertransform,medium,warm,200,662.93,662.92,0.01,601.14,61.79,False,,0.0,3.82,0.0,597.31,601.14,2
1249,linpack,large,warm,200,17.19,17.17,0.02,5.12,12.05,False,,0.0,0.34,4.01,0.77,5.12,2
1250,fastfouriertransform,medium,warm,200,865.16,865.14,0.02,600.26,264.89,False,,0.0,3.83,0.0,596.42,600.25,2
1251,genmatrix,medium,warm,200,15.84,11.23,4.61,0.21,11.02,False,,0.0,0.02,,0.18,0.21,3
1252,linpack,large,warm,200,21.82,21.8,0.02,8.18,13.62,False,,0.0,0.52,6.51,1.14,8.18,2
1253,matrixmul,small,warm,200,25.89,22.01,3.89,4.9,17.11,False,,0.0,0.34,3.99,0.57,4.9,2
1254,linpack,medium,warm,200,691.76,691.75,0.01,681.31,10.44,False,,0.0,0.52,6.41,674.38,681.31,2
1255,genmatrix,small,warm,200,9.57,8.19,1.39,0.11,8.08,False,,0.0,0.02,,0.08,0.11,2
1256,fastfouriertransform,medium,warm,200,623.42,623.4,0.02,602.3,21.1,False,,0.0,3.86,0.0,598.43,602.3,2
1257,fetchdata,large,warm,200,83.66,83.64,0.02,77.08,6.56,False,77.06,0.0,0.02,0.0,,77.08,3
1258,matrixmul,large,warm,200,25.17,20.72,4.45,5.03,15.69,False,,0.0,0.34,4.09,0.6,5.03,2
1259,genmatrix,large,warm,200,41.19,34.51,6.68,0.79,33.72,False,,0.0,0.02,,0.76,0.79,2
1260,fetchdata,small,warm,200,90.62,90.59,0.02,83.64,6.95,False,83.62,0.0,0.02,0.0,,83.64,1
1261,genmatrix,medium,warm,200,15.22,10.93,4.29,0.2,10.73,False,,0.0,0.02,,0.18,0.2,1
1262,linpack,large,warm,200,17.1,17.08,0.02,5.08,12.0,False,,0.0,0.34,3.99,0.74,5.08,1
1263,fetchdata,small,warm,200,91.65,91.63,0.02,84.02,7.61,False,83.99,0.0,0.02,0.0,,84.02,1
1264,linpack,large,warm,200,18.01,18.0,0.02,5.09,12.9,False,,0.0,0.34,4.0,0.75,5.09,1
1265,matrixmul,medium,warm,200,553.93,550.89,3.05,534.49,16.4,False,,0.0,0.51,6.38,527.59,534.49,1
1266,linpack,medium,warm,200,656.48,656.46,0.02,644.34,12.12,False,,0.0,0.34,4.0,640.0,644.34,2
1267,fastfouriertransform,medium,warm,200,636.67,636.61,0.06,601.33,35.28,False,,0.0,3.86,0.0,597.47,601.33,3
1268,fastfouriertransform,small,warm,200,442.41,442.39,0.02,4.56,437.83,False,,0.0,3.83,0.0,0.73,4.56,3
1269,fetchdata,medium,warm,200,91.45,91.43,0.02,84.27,7.16,False,84.24,0.0,0.02,0.0,,84.27,4
1270,genmatrix,small,warm,200,10.36,8.68,1.68,0.14,8.54,False,,0.0,0.02,,0.11,0.14,3
1271,fastfouriertransform,medium,warm,200,640.31,640.3,0.01,604.29,36.01,False,,0.0,3.86,0.0,600.42,604.29,1
1272,matrixmul,small,warm,200,27.42,22.04,5.38,4.91,17.13,False,,0.0,0.34,4.0,0.57,4.91,2
1273,matrixmul,medium,warm,200,533.7,528.62,5.07,512.47,16.15,False,,0.0,0.36,3.97,508.14,512.47,2
1274,genmatrix,medium,warm,200,19.91,14.37,5.54,0.3,14.07,False,,0.0,0.02,,0.27,0.3,3
1275,linpack,large,warm,200,16.81,16.78,0.02,5.07,11.72,False,,0.0,0.34,3.98,0.74,5.06,2
1276,linpack,small,warm,200,18.14,18.12,0.02,5.06,13.06,False,,0.0,0.34,3.98,0.74,5.06,1
1277,genmatrix,large,warm,200,54.08,47.31,6.77,1.18,46.12,False,,0.0,0.03,,1.15,1.18,1
1278,genmatrix,large,warm,200,50.98,45.74,5.24,0.96,44.79,False,,0.0,0.04,,0.92,0.95,1
1279,fetchdata,small,warm,200,92.21,92.2,0.01,85.48,6.72,False,85.44,0.0,0.02,0.0,,85.47,1
1280,fastfouriertransform,medium,warm,200,643.13,643.11,0.02,621.86,21.25,False,,0.0,3.89,0.0,617.96,621.86,1
1281,genmatrix,small,warm,200,10.59,8.68,1.91,0.14,8.54,False,,0.0,0.02,,0.11,0.14,2
1282,matrixmul,large,warm,200,26.22,21.49,4.73,4.92,16.57,False,,0.0,0.35,3.98,0.59,4.92,2
1283,linpack,large,warm,200,21.38,21.36,0.02,8.0,13.36,False,,0.0,0.52,6.34,1.13,8.0,2
1284,genmatrix,large,warm,200,52.3,45.87,6.43,1.19,44.68,False,,0.0,0.02,,1.16,1.18,1
1285,fastfouriertransform,large,warm,200,40.94,40.92,0.02,4.65,36.27,False,,0.0,3.87,0.0,0.78,4.65,1
1286,genmatrix,medium,warm,200,19.54,13.08,6.46,0.31,12.77,False,,0.0,0.02,,0.28,0.31,1
1287,linpack,small,warm,200,21.35,21.33,0.02,8.02,13.31,False,,0.0,0.52,6.36,1.13,8.02,1
1288,fetchdata,small,warm,200,94.14,94.12,0.02,85.69,8.42,False,85.66,0.0,0.02,0.0,,85.69,1
1289,matrixmul,small,warm,200,26.46,21.52,4.95,4.93,16.59,False,,0.0,0.34,4.0,0.58,4.93,1
1290,matrixmul,large,warm,200,26.61,21.34,5.27,4.87,16.47,False,,0.0,0.34,3.97,0.56,4.87,1
1291,linpack,medium,warm,200,657.38,657.36,0.02,644.18,13.18,False,,0.0,0.35,4.05,639.77,644.18,1
1292,matrixmul,large,warm,200,31.79,26.76,5.03,7.74,19.02,False,,0.0,0.51,6.34,0.88,7.74,2
1293,linpack,medium,warm,200,903.8,903.78,0.02,644.08,259.69,False,,0.0,0.34,4.01,639.73,644.08,2
1294,linpack,large,warm,200,708.98,708.97,0.02,5.04,703.93,False,,0.0,0.34,3.98,0.71,5.04,3
1295,fetchdata,small,warm,200,91.41,91.39,0.02,84.86,6.53,False,84.83,0.0,0.02,0.0,,84.86,3
1296,linpack,small,warm,200,316.49,316.48,0.02,5.0,311.47,False,,0.0,0.32,3.96,0.71,5.0,3
1297,linpack,medium,warm,200,760.78,760.76,0.02,643.69,117.07,False,,0.0,0.32,3.97,639.39,643.68,4
1298,linpack,large,warm,200,567.43,567.43,0.01,5.04,562.39,False,,0.0,0.33,3.98,0.72,5.04,2
1299,genmatrix,small,warm,200,9.85,8.84,1.01,0.14,8.7,False,,0.0,0.03,,0.11,0.14,3
1300,linpack,small,warm,200,173.17,173.16,0.01,5.06,168.1,False,,0.0,0.35,3.97,0.73,5.06,3
1301,fastfouriertransform,large,warm,200,25.91,25.9,0.01,7.21,18.68,False,,0.0,6.11,0.0,1.1,7.21,1
1302,linpack,small,warm,200,16.88,16.86,0.02,5.07,11.79,False,,0.0,0.34,4.0,0.73,5.07,1
1303,linpack,large,warm,200,16.19,16.17,0.02,5.08,11.09,False,,0.0,0.34,4.01,0.73,5.08,1
1304,fetchdata,small,warm,200,83.94,83.92,0.02,76.81,7.11,False,76.79,0.0,0.02,0.0,,76.81,1
1305,genmatrix,large,warm,200,38.39,32.18,6.21,0.83,31.35,False,,0.0,0.02,,0.8,0.83,1
1306,matrixmul,small,warm,200,28.16,23.73,4.42,5.35,18.39,False,,0.0,0.37,4.27,0.71,5.35,1
1307,fetchdata,large,warm,200,84.18,84.16,0.02,77.5,6.66,False,77.47,0.0,0.02,0.0,,77.5,1
1308,linpack,medium,warm,200,654.07,654.05,0.02,642.84,11.21,False,,0.0,0.35,3.97,638.52,642.84,1
1309,fastfouriertransform,large,warm,200,24.91,24.9,0.01,7.25,17.65,False,,0.0,6.14,0.0,1.1,7.25,2
1310,matrixmul,small,warm,200,27.2,22.03,5.17,4.92,17.12,False,,0.0,0.34,4.0,0.57,4.92,2
1311,matrixmul,small,warm,200,26.32,20.75,5.57,4.89,15.86,False,,0.0,0.36,3.97,0.57,4.89,2
1312,linpack,medium,warm,200,653.85,653.84,0.02,642.54,11.29,False,,0.0,0.34,3.96,638.24,642.54,1
1313,matrixmul,large,warm,200,24.56,20.74,3.82,4.91,15.82,False,,0.0,0.36,3.98,0.58,4.91,2
1314,fastfouriertransform,large,warm,200,46.65,46.63,0.02,7.22,39.41,False,,0.0,6.12,0.0,1.1,7.22,2
1315,matrixmul,large,warm,200,25.19,21.71,3.48,4.91,16.8,False,,0.0,0.34,3.99,0.57,4.91,2
1316,genmatrix,large,warm,200,38.8,32.16,6.64,0.78,31.38,False,,0.0,0.02,,0.76,0.78,1
1317,fastfouriertransform,medium,warm,200,674.34,674.32,0.02,638.36,35.97,False,,0.0,6.11,0.0,632.23,638.35,1
1318,genmatrix,small,warm,200,9.18,7.3,1.89,0.11,7.19,False,,0.0,0.02,,0.08,0.11,2
1319,fetchdata,large,warm,200,82.78,82.75,0.02,76.35,6.4,False,76.33,0.0,0.02,0.0,,76.35,2
1320,fastfouriertransform,small,warm,200,80.27,80.26,0.01,4.65,75.61,False,,0.0,3.91,0.0,0.73,4.65,2
1321,matrixmul,medium,warm,200,606.4,527.79,78.62,512.83,14.96,False,,0.0,0.34,3.99,508.49,512.83,1
1322,fastfouriertransform,large,warm,200,39.3,39.28,0.02,4.6,34.69,False,,0.0,3.85,0.0,0.74,4.6,2
1323,fastfouriertransform,small,warm,200,39.84,39.82,0.02,4.64,35.18,False,,0.0,3.88,0.0,0.75,4.64,2
1324,matrixmul,small,warm,200,26.82,22.32,4.5,4.96,17.36,False,,0.0,0.34,4.02,0.59,4.96,2
1325,genmatrix,medium,warm,200,15.92,11.23,4.69,0.21,11.03,False,,0.0,0.02,,0.18,0.21,1
1326,fetchdata,small,warm,200,92.86,92.84,0.02,85.35,7.49,False,85.32,0.0,0.02,0.0,,85.35,1
1327,matrixmul,medium,warm,200,537.6,532.64,4.96,516.38,16.26,False,,0.0,0.34,3.99,512.05,516.38,1
1328,matrixmul,medium,warm,200,887.66,883.49,4.18,544.12,339.37,False,,0.0,0.35,3.97,539.79,544.12,2
1329,matrixmul,medium,warm,200,1209.18,1203.82,5.36,513.93,689.89,False,,0.0,0.35,3.94,509.64,513.93,3
1330,fastfouriertransform,large,warm,200,23.1,23.09,0.01,4.64,18.45,False,,0.0,3.88,0.0,0.75,4.64,3
1331,linpack,small,warm,200,16.8,16.78,0.02,5.06,11.72,False,,0.0,0.34,3.99,0.73,5.06,3
1332,genmatrix,small,warm,200,10.23,8.83,1.4,0.14,8.69,False,,0.0,0.03,,0.11,0.14,3
1333,fetchdata,large,warm,200,93.94,93.92,0.02,85.6,8.32,False,85.56,0.0,0.02,0.0,,85.59,2
1334,matrixmul,large,warm,200,219.09,219.07,0.02,4.91,214.16,False,,0.0,0.34,4.0,0.57,4.91,2
1335,fetchdata,large,warm,200,91.61,91.6,0.01,84.59,7.01,False,84.56,0.0,0.02,0.0,,84.59,3
1336,fetchdata,small,warm,200,92.72,92.71,0.01,86.43,6.28,False,86.4,0.0,0.02,0.0,,86.43,1
1337,fastfouriertransform,medium,warm,200,641.31,641.29,0.02,604.43,36.87,False,,0.0,3.86,0.0,600.56,604.42,1
1338,matrixmul,large,warm,200,26.11,22.07,4.05,4.9,17.16,False,,0.0,0.33,3.99,0.57,4.9,2
1339,linpack,medium,warm,200,702.02,702.0,0.02,689.69,12.31,False,,0.0,0.34,3.99,685.36,689.69,2
1340,linpack,medium,warm,200,1146.82,1146.8,0.02,643.09,503.71,False,,0.0,0.33,3.98,638.78,643.09,3
1341,fetchdata,small,warm,200,93.45,93.43,0.02,86.46,6.98,False,86.42,0.0,0.02,0.0,,86.45,3
1342,matrixmul,medium,warm,200,532.7,528.54,4.16,513.05,15.49,False,,0.0,0.34,3.98,508.73,513.05,3
1343,fetchdata,medium,warm,200,91.86,91.84,0.02,84.75,7.09,False,84.72,0.0,0.02,0.0,,84.75,3
1344,fetchdata,large,warm,200,91.94,91.92,0.02,85.4,6.52,False,85.37,0.0,0.02,0.0,,85.4,3
1345,fastfouriertransform,small,warm,200,45.06,45.04,0.02,7.21,37.83,False,,0.0,6.09,0.0,1.11,7.21,2
1346,matrixmul,large,warm,200,24.79,20.7,4.09,4.92,15.78,False,,0.0,0.34,3.99,0.59,4.92,1
