index,function,size,latency_ms,execution_time_sec,type,status
856,resnet,large,130.2,0.12179,warm,200
857,graphgen,medium,140.8,0.019555,warm,200
858,resnet,large,140.1,0.135028,warm,200
859,genmatrix,medium,13.2,0.00029,warm,200
860,resnet,medium,123.4,0.119344,warm,200
861,pagerank,small,25.9,0.016098,warm,200
862,graphgen,medium,106.9,0.01365,warm,200
863,fastfouriertransform,medium,620.4,0.603051,warm,200
864,fastfouriertransform,large,18.3,0.005073,warm,200
865,fetchdata,small,133.7,0.128891,warm,200
866,genmatrix,large,54.9,0.001256,warm,200
867,mobilenet,medium,29.1,0.02298,warm,200
868,pagerank,large,365.1,0.284208,warm,200
869,resnet,small,151.8,0.146353,warm,200
870,linpack,medium,654.4,0.64707,warm,200
871,grayscale,medium,96.7,0.08554,warm,200
872,matrixmul,medium,524.0,0.510478,warm,200
873,resnet,small,124.7,0.120438,warm,200
874,linpack,small,15.5,0.008109,warm,200
875,linpack,small,15.7,0.008169,warm,200
876,pagerank,large,451.7,0.302105,warm,200
877,matrixmul,medium,527.0,0.513731,warm,200
878,grayscale,large,2827.0,2.71435,cold,200
879,resnet,small,150.7,0.146061,warm,200
880,linpack,small,12.8,0.005255,warm,200
881,resnet,large,124.9,0.120587,warm,200
882,fetchdata,medium,80.4,0.075788,warm,200
883,grayscale,large,2821.5,2.704684,cold,200
884,matrixmul,small,24.8,0.008078,warm,200
885,resnet,large,147.5,0.142438,warm,200
886,fastfouriertransform,medium,648.3,0.634784,warm,200
887,pagerank,medium,67.9,0.046831,warm,200
888,linpack,small,12.8,0.00513,warm,200
889,pagerank,small,18.0,0.010101,warm,200
890,matrixmul,large,18.2,0.00502,warm,200
891,linpack,small,15.3,0.008054,warm,200
892,linpack,medium,682.9,0.675248,warm,200
893,fetchdata,small,82.3,0.077295,warm,200
894,linpack,medium,663.4,0.655843,warm,200
895,genmatrix,small,6.6,0.000143,warm,200
896,fetchdata,small,132.7,0.128156,warm,200
897,fastfouriertransform,medium,679.8,0.666068,warm,200
898,fastfouriertransform,large,18.4,0.005057,warm,200
899,pagerank,large,387.4,0.291143,warm,200
900,pagerank,small,24.4,0.015158,warm,200
901,linpack,large,15.9,0.008044,warm,200
902,fetchdata,large,80.5,0.07521,warm,200
903,matrixmul,small,24.2,0.0081,warm,200
904,fetchdata,small,88.5,0.083333,warm,200
905,resnet,small,154.2,0.148889,warm,200
906,mobilenet,small,30.2,0.024868,warm,200
907,matrixmul,medium,531.9,0.518862,warm,200
908,genmatrix,medium,10.0,0.000212,warm,200
909,resnet,medium,124.2,0.119986,warm,200
910,mobilenet,small,22.2,0.017771,warm,200
911,pagerank,small,27.8,0.016916,warm,200
912,grayscale,medium,93.7,0.082435,warm,200
913,genmatrix,medium,13.1,0.000297,warm,200
914,resnet,medium,149.6,0.144673,warm,200
915,mobilenet,medium,29.6,0.023434,warm,200
916,matrixmul,large,17.9,0.005026,warm,200
917,pagerank,medium,121.2,0.096907,warm,200
918,fetchdata,small,79.2,0.074844,warm,200
919,resnet,small,125.0,0.120581,warm,200
920,grayscale,small,16.4,0.010812,warm,200
921,mobilenet,medium,23.5,0.018261,warm,200
922,pagerank,small,25.0,0.015931,warm,200
923,pagerank,small,19.5,0.010454,warm,200
924,grayscale,small,11.5,0.006849,warm,200
925,fetchdata,medium,89.1,0.084319,warm,200
926,mobilenet,large,26.0,0.021181,warm,200
927,fetchdata,medium,130.4,0.126315,warm,200
928,fastfouriertransform,small,22.6,0.004971,warm,200
929,mobilenet,medium,26.0,0.017646,warm,200
930,graphgen,medium,1866.7,0.016868,warm,200
931,graphgen,medium,963.5,0.01614,warm,200
932,pagerank,medium,86.3,0.063101,warm,200
933,genmatrix,medium,13.8,0.000288,warm,200
934,fastfouriertransform,medium,621.3,0.607976,warm,200
935,genmatrix,small,5.1,0.000107,warm,200
936,linpack,small,12.0,0.005132,warm,200
937,linpack,small,15.3,0.008241,warm,200
938,fetchdata,small,80.5,0.076262,warm,200
939,grayscale,medium,95.0,0.082939,warm,200
940,fetchdata,large,79.5,0.074848,warm,200
941,mobilenet,medium,30.0,0.024229,warm,200
942,resnet,small,142.0,0.137038,warm,200
943,fastfouriertransform,small,21.6,0.007732,warm,200
944,grayscale,small,11.5,0.00685,warm,200
945,fetchdata,large,87.7,0.083331,warm,200
946,resnet,large,125.9,0.121286,warm,200
947,matrixmul,small,18.4,0.005032,warm,200
948,grayscale,small,16.5,0.010484,warm,200
949,grayscale,small,16.5,0.010674,warm,200
950,graphgen,small,40.2,0.00426,warm,200
951,matrixmul,large,24.5,0.007946,warm,200
