index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
259,259,genmatrix,large,warm,200,51.35,35.02,16.33,0.77,34.25,False,,0.0,0.02,,0.75,0.77,3
260,260,fetchdata,small,warm,200,102.92,102.92,0.0,92.23,10.69,False,92.2,0.0,0.02,0.0,,92.23,3
261,261,matrixmul,large,warm,200,156.52,156.52,0.0,4.94,151.58,False,,0.0,0.37,3.97,0.59,4.94,3
262,262,matrixmul,large,warm,200,66.55,66.55,0.01,4.96,61.59,False,,0.0,0.38,4.01,0.57,4.96,4
263,263,fetchdata,large,warm,200,103.7,103.69,0.0,90.66,13.03,False,90.63,0.0,0.02,0.0,,90.66,1
264,264,linpack,medium,warm,200,658.74,658.74,0.0,642.57,16.17,False,,0.0,0.34,3.98,638.24,642.56,2
265,265,matrixmul,large,warm,200,27.08,27.08,0.0,4.91,22.17,False,,0.0,0.35,3.99,0.57,4.91,2
266,266,fastfouriertransform,medium,warm,200,623.63,623.62,0.0,602.37,21.25,False,,0.0,3.86,0.0,598.51,602.37,2
267,267,genmatrix,small,warm,200,14.25,14.24,0.01,0.1,14.14,False,,0.0,0.02,,0.08,0.1,3
268,268,matrixmul,large,warm,200,27.31,23.17,4.14,4.92,18.25,False,,0.0,0.34,4.0,0.57,4.92,3
269,269,linpack,large,warm,200,20.94,20.93,0.01,5.09,15.85,False,,0.0,0.34,4.0,0.74,5.09,3
270,270,genmatrix,medium,warm,200,14.14,14.13,0.0,0.2,13.94,False,,0.0,0.02,,0.18,0.2,3
271,271,matrixmul,medium,warm,200,536.73,536.73,0.0,515.21,21.52,False,,0.0,0.34,3.96,510.89,515.21,2
272,272,fetchdata,large,warm,200,106.01,106.01,0.0,93.92,12.09,False,93.88,0.0,0.02,0.0,,93.92,3
273,273,matrixmul,large,warm,200,346.63,346.62,0.01,5.05,341.57,False,,0.0,0.35,3.99,0.71,5.05,3
274,274,fetchdata,large,warm,200,101.6,101.59,0.0,88.67,12.92,False,88.64,0.0,0.02,0.0,,88.67,3
275,275,fastfouriertransform,medium,warm,200,625.21,625.2,0.0,604.39,20.81,False,,0.0,3.82,0.0,600.57,604.39,3
276,276,linpack,large,warm,200,18.58,18.57,0.0,5.09,13.48,False,,0.0,0.33,4.0,0.75,5.09,4
277,277,linpack,medium,warm,200,671.49,671.49,0.01,654.87,16.61,False,,0.0,0.34,3.99,650.53,654.87,2
278,278,fastfouriertransform,small,warm,200,329.6,329.6,0.0,4.72,324.88,False,,0.0,3.96,0.0,0.75,4.72,3
279,279,genmatrix,small,warm,200,12.53,12.52,0.01,0.11,12.41,False,,0.0,0.03,,0.08,0.11,4
280,280,fetchdata,small,warm,200,109.26,109.25,0.0,91.58,17.67,False,91.55,0.0,0.02,0.0,,91.58,4
281,281,fastfouriertransform,small,warm,200,38.68,38.67,0.0,4.62,34.05,False,,0.0,3.89,0.0,0.72,4.62,5
