delay,n_runs,max_power_W,energy_total_J,J_per_req_mean,J_per_req_std,config
10ms,10,172.0,25770.0,1.28848,0.2299545066118755,local
50ms,10,99.0,18482.3,0.92408,0.082974330702667,local
100ms,10,79.6,15373.7,0.76867,0.0770527532134821,local
200ms,10,71.8,13804.0,0.69017,0.1279690852424044,local
1s,6,74.8,6770.700000000001,0.5641999999999999,0.2269460640769079,local
10ms,10,174.5,25269.2,1.26349,0.0775962119636719,1core
50ms,10,100.5,19479.3,0.97398,0.0826033467172419,1core
100ms,10,87.3,15139.7,0.75702,0.1381212977382159,1core
200ms,10,78.5,16398.7,0.81997,0.1762604200229497,1core
1s,6,73.7,7615.7,0.6346666666666666,0.2355436831389597,1core
10ms,10,168.3,26263.8,1.31319,0.047284774387628,apiserver
50ms,10,100.4,18934.1,0.94673,0.0501816267837808,apiserver
100ms,10,84.1,12039.8,0.60202,0.0755747135841965,apiserver
200ms,10,78.6,12402.7,0.62016,0.1661282115315357,apiserver
1s,6,74.0,5645.6,0.4704833333333333,0.1591790113886459,apiserver
10ms,8,173.1,23288.3,1.4554875,0.083441073090963,adaptive
50ms,10,95.5,20149.5,1.0075,0.0481,adaptive
100ms,10,79.3,16225.6,0.8113,0.0982,adaptive
200ms,10,73.1,13334.4,0.6667,0.11002693609597,adaptive
1s,6,69.7,4342.9,0.3618833333333333,0.1621513911955943,adaptive
2s,6,71.8,4427.1,2.2135,,local
2s,6,70.8,4319.8,2.1599,,1core
2s,6,70.6,3710.5,1.8553,,apiserver
2s,6,71.2,4336.4,2.1682,,adaptive
10s,6,74.4,19468.6,9.7343,,local
10s,6,69.1,19848.6,9.9243,,1core
10s,6,71.7,17507.9,8.754,,apiserver
10s,6,74.2,20268.3,10.1342,,adaptive
