function,payload,cpu_limit,memory_mb,payload_size_mb,output_size_mb,build_time_msec,total_cold_msec,cold_start_msec,execution_time_cold_msec,total_warm_avg_msec,warm_start_avg_msec,execution_time_warm_avg_msec,warm_iterations
aggregate,small,0.5,128,0.002581,.002557,688,745,744.995000,.005000,145.300000,145.298700,.001300,10
aggregate,medium,0.5,128,0.005499,.005475,688,745,744.995000,.005000,123.400000,123.398300,.001700,10
aggregate,large,0.5,128,0.012381,.012357,688,745,744.995000,.005000,126.500000,126.498000,.002000,10
graph_bft,small,0.5,128,0.046490,.000585,2771,964,960.5925216674804688000,3.4074783325195312000,312.500000,307.749701,4.750299,10
graph_bft,medium,0.5,128,0.215405,.001167,2771,964,960.5925216674804688000,3.4074783325195312000,441.300000,391.939487,49.360513,10
graph_bft,large,0.5,128,1.085003,.002574,2771,964,960.5925216674804688000,3.4074783325195312000,745.900000,489.193143,256.706857,10
graph_gen,small,0.5,128,0.000036,.180165,1572,858,851.51000,6.49000,427.400000,424.548100,2.851900,10
graph_gen,medium,0.5,128,0.000037,.816823,1572,858,851.51000,6.49000,494.400000,468.670100,25.729900,10
graph_gen,large,0.5,128,0.000037,4.006810,1572,858,851.51000,6.49000,1033.800000,897.431500,136.368500,10
graph_mst,small,0.5,128,0.046493,.001928,689,970,897.929000,72.071000,394.800000,386.822200,7.977800,10
graph_mst,medium,0.5,128,0.215407,.004091,689,970,897.929000,72.071000,417.400000,346.340200,71.059800,10
graph_mst,large,0.5,128,1.085006,.009096,689,970,897.929000,72.071000,903.200000,512.038400,391.161600,10
pagerank,small,0.5,128,0.046493,.002017,2718,2244,1350.137000,893.863000,1226.800000,491.533700,735.266300,10
pagerank,medium,0.5,128,0.215407,.004249,2718,2244,1350.137000,893.863000,1370.900000,518.947200,851.952800,10
pagerank,large,0.5,128,1.085006,.009411,2718,2244,1350.137000,893.863000,1804.800000,649.676400,1155.123600,10
aggregate,small,0.5,256,0.002581,.002557,647,794,793.996000,.004000,161.900000,161.898400,.001600,10
aggregate,medium,0.5,256,0.005499,.005475,647,794,793.996000,.004000,150.700000,150.697900,.002100,10
aggregate,large,0.5,256,0.012381,.012357,647,794,793.996000,.004000,118.000000,117.997800,.002200,10
graph_bft,small,0.5,256,0.046490,.000585,586,900,893.939399719238281000,6.060600280761719000,390.200000,383.573347,6.626653,10
graph_bft,medium,0.5,256,0.215405,.001167,586,900,893.939399719238281000,6.060600280761719000,435.700000,380.056180,55.643820,10
graph_bft,large,0.5,256,1.085003,.002574,586,900,893.939399719238281000,6.060600280761719000,759.100000,516.519658,242.580342,10
graph_gen,small,0.5,256,0.000036,.180165,563,853,849.884000,3.116000,365.100000,362.208200,2.891800,10
graph_gen,medium,0.5,256,0.000037,.816823,563,853,849.884000,3.116000,558.000000,524.691400,33.308600,10
graph_gen,large,0.5,256,0.000037,4.006811,563,853,849.884000,3.116000,1000.400000,869.645400,130.754600,10
graph_mst,small,0.5,256,0.046493,.001928,621,964,954.441000,9.559000,451.900000,431.786400,20.113600,10
graph_mst,medium,0.5,256,0.215407,.004090,621,964,954.441000,9.559000,494.200000,404.142800,90.057200,10
graph_mst,large,0.5,256,1.085006,.009096,621,964,954.441000,9.559000,1010.400000,576.179200,434.220800,10
pagerank,small,0.5,256,0.046493,.002017,607,1793,998.973000,794.027000,1345.700000,576.875400,768.824600,10
pagerank,medium,0.5,256,0.215407,.004249,607,1793,998.973000,794.027000,1341.300000,535.932800,805.367200,10
pagerank,large,0.5,256,1.085006,.009411,607,1793,998.973000,794.027000,1819.600000,655.064600,1164.535400,10
aggregate,small,0.5,512,0.002581,.002557,615,794,793.999000,.001000,137.900000,137.898800,.001200,10
aggregate,medium,0.5,512,0.005499,.005475,615,794,793.999000,.001000,131.300000,131.298500,.001500,10
aggregate,large,0.5,512,0.012381,.012357,615,794,793.999000,.001000,121.400000,121.398800,.001200,10
graph_bft,small,0.5,512,0.046490,.000585,577,869,860.604804992675781000,8.395195007324219000,384.000000,372.313652,11.686348,10
graph_bft,medium,0.5,512,0.215405,.001167,577,869,860.604804992675781000,8.395195007324219000,404.600000,358.147574,46.452426,10
graph_bft,large,0.5,512,1.085003,.002574,577,869,860.604804992675781000,8.395195007324219000,690.100000,474.915383,215.184617,10
graph_gen,small,0.5,512,0.000036,.180166,603,803,800.847000,2.153000,349.200000,346.509400,2.690600,10
graph_gen,medium,0.5,512,0.000037,.816823,603,803,800.847000,2.153000,482.600000,461.903800,20.696200,10
graph_gen,large,0.5,512,0.000037,4.006811,603,803,800.847000,2.153000,1069.500000,910.198200,159.301800,10
graph_mst,small,0.5,512,0.046493,.001927,670,810,803.98000,6.02000,374.100000,364.806800,9.293200,10
graph_mst,medium,0.5,512,0.215407,.004091,670,810,803.98000,6.02000,414.000000,335.055500,78.944500,10
graph_mst,large,0.5,512,1.085006,.009095,670,810,803.98000,6.02000,833.400000,465.380000,368.020000,10
pagerank,small,0.5,512,0.046493,.002018,654,1950,1071.132000,878.868000,1126.500000,430.875900,695.624100,10
pagerank,medium,0.5,512,0.215407,.004249,654,1950,1071.132000,878.868000,1302.600000,483.311200,819.288800,10
pagerank,large,0.5,512,1.085006,.009410,654,1950,1071.132000,878.868000,1814.400000,645.062100,1169.337900,10
aggregate,small,1.0,128,0.002581,.002557,697,701,700.999000,.001000,131.100000,131.098800,.001200,10
aggregate,medium,1.0,128,0.005499,.005475,697,701,700.999000,.001000,106.800000,106.798300,.001700,10
aggregate,large,1.0,128,0.012381,.012356,697,701,700.999000,.001000,116.200000,116.198400,.001600,10
graph_bft,small,1.0,128,0.046490,.000585,587,666,662.496915817260742000,3.503084182739258000,211.300000,207.409939,3.890061,10
graph_bft,medium,1.0,128,0.215405,.001167,587,666,662.496915817260742000,3.503084182739258000,254.000000,230.183534,23.816466,10
graph_bft,large,1.0,128,1.085003,.002574,587,666,662.496915817260742000,3.503084182739258000,364.400000,269.294352,95.105648,10
graph_gen,small,1.0,128,0.000036,.180166,600,717,714.715000,2.285000,242.800000,240.149300,2.650700,10
graph_gen,medium,1.0,128,0.000037,.816823,600,717,714.715000,2.285000,290.800000,279.634300,11.165700,10
graph_gen,large,1.0,128,0.000037,4.006811,600,717,714.715000,2.285000,510.700000,452.571000,58.129000,10
graph_mst,small,1.0,128,0.046493,.001927,779,687,681.215000,5.785000,222.000000,214.723900,7.276100,10
graph_mst,medium,1.0,128,0.215407,.004090,779,687,681.215000,5.785000,277.300000,244.874200,32.425800,10
graph_mst,large,1.0,128,1.085006,.009095,779,687,681.215000,5.785000,474.400000,288.108300,186.291700,10
pagerank,small,1.0,128,0.046493,.002017,678,1179,737.079000,441.921000,773.500000,314.133700,459.366300,10
pagerank,medium,1.0,128,0.215407,.004250,678,1179,737.079000,441.921000,789.000000,301.788900,487.211100,10
pagerank,large,1.0,128,1.085006,.009410,678,1179,737.079000,441.921000,983.300000,379.082200,604.217800,10
aggregate,small,1.0,256,0.002581,.002557,598,627,626.998000,.002000,113.500000,113.498800,.001200,10
aggregate,medium,1.0,256,0.005499,.005475,598,627,626.998000,.002000,109.100000,109.098800,.001200,10
aggregate,large,1.0,256,0.012381,.012357,598,627,626.998000,.002000,102.800000,102.798100,.001900,10
graph_bft,small,1.0,256,0.046490,.000585,520,663,656.988990783691406000,6.011009216308594000,230.900000,225.507807,5.392193,10
graph_bft,medium,1.0,256,0.215405,.001167,520,663,656.988990783691406000,6.011009216308594000,267.100000,245.112848,21.987152,10
graph_bft,large,1.0,256,1.085003,.002574,520,663,656.988990783691406000,6.011009216308594000,363.800000,271.333670,92.466330,10
graph_gen,small,1.0,256,0.000036,.180166,657,865,860.17000,4.83000,244.200000,241.414000,2.786000,10
graph_gen,medium,1.0,256,0.000037,.816824,657,865,860.17000,4.83000,273.200000,262.971800,10.228200,10
graph_gen,large,1.0,256,0.000037,4.006810,657,865,860.17000,4.83000,517.400000,456.215400,61.184600,10
graph_mst,small,1.0,256,0.046493,.001927,574,636,626.071000,9.929000,208.200000,200.716000,7.484000,10
graph_mst,medium,1.0,256,0.215407,.004090,574,636,626.071000,9.929000,244.400000,214.963700,29.436300,10
graph_mst,large,1.0,256,1.085006,.009095,574,636,626.071000,9.929000,401.500000,254.213200,147.286800,10
pagerank,small,1.0,256,0.046493,.002017,608,1246,813.37000,432.63000,748.900000,295.965300,452.934700,10
pagerank,medium,1.0,256,0.215407,.004249,608,1246,813.37000,432.63000,760.600000,300.492300,460.107700,10
pagerank,large,1.0,256,1.085006,.009410,608,1246,813.37000,432.63000,950.800000,339.375200,611.424800,10
aggregate,small,1.0,512,0.002581,.002557,761,606,605.999000,.001000,133.700000,133.698800,.001200,10
aggregate,medium,1.0,512,0.005499,.005475,761,606,605.999000,.001000,124.600000,124.598100,.001900,10
aggregate,large,1.0,512,0.012381,.012356,761,606,605.999000,.001000,128.700000,128.698900,.001100,10
graph_bft,small,1.0,512,0.046490,.000585,544,598,594.077775955200195000,3.922224044799805000,205.700000,201.831707,3.868293,10
graph_bft,medium,1.0,512,0.215405,.001167,544,598,594.077775955200195000,3.922224044799805000,243.500000,222.182685,21.317315,10
graph_bft,large,1.0,512,1.085003,.002575,544,598,594.077775955200195000,3.922224044799805000,360.400000,269.969884,90.430116,10
graph_gen,small,1.0,512,0.000036,.180165,588,763,760.392000,2.608000,235.200000,232.971900,2.228100,10
graph_gen,medium,1.0,512,0.000037,.816824,588,763,760.392000,2.608000,284.300000,273.498000,10.802000,10
graph_gen,large,1.0,512,0.000037,4.006811,588,763,760.392000,2.608000,553.300000,482.300500,70.999500,10
graph_mst,small,1.0,512,0.046493,.001927,659,668,658.145000,9.855000,211.500000,205.426400,6.073600,10
graph_mst,medium,1.0,512,0.215407,.004090,659,668,658.145000,9.855000,275.700000,240.930700,34.769300,10
graph_mst,large,1.0,512,1.085006,.009095,659,668,658.145000,9.855000,443.500000,278.053600,165.446400,10
pagerank,small,1.0,512,0.046493,.002017,821,1370,899.443000,470.557000,769.700000,328.791400,440.908600,10
pagerank,medium,1.0,512,0.215407,.004250,821,1370,899.443000,470.557000,778.200000,307.940600,470.259400,10
pagerank,large,1.0,512,1.085006,.009410,821,1370,899.443000,470.557000,964.500000,356.787300,607.712700,10
aggregate,small,1.5,128,0.002581,.002557,597,691,690.999000,.001000,124.000000,123.998600,.001400,10
aggregate,medium,1.5,128,0.005499,.005475,597,691,690.999000,.001000,116.500000,116.498300,.001700,10
aggregate,large,1.5,128,0.012381,.012356,597,691,690.999000,.001000,109.100000,109.098900,.001100,10
graph_bft,small,1.5,128,0.046490,.000584,696,677,672.310306549072266000,4.689693450927734000,219.900000,215.607965,4.292035,10
graph_bft,medium,1.5,128,0.215405,.001167,696,677,672.310306549072266000,4.689693450927734000,258.500000,235.846349,22.653651,10
graph_bft,large,1.5,128,1.085003,.002574,696,677,672.310306549072266000,4.689693450927734000,348.800000,250.810251,97.989749,10
graph_gen,small,1.5,128,0.000036,.180166,720,833,830.782000,2.218000,244.100000,241.931200,2.168800,10
graph_gen,medium,1.5,128,0.000037,.816823,720,833,830.782000,2.218000,289.600000,277.905100,11.694900,10
graph_gen,large,1.5,128,0.000037,4.006810,720,833,830.782000,2.218000,566.600000,488.887200,77.712800,10
graph_mst,small,1.5,128,0.046493,.001928,665,763,753.098000,9.902000,244.800000,237.923100,6.876900,10
graph_mst,medium,1.5,128,0.215407,.004090,665,763,753.098000,9.902000,303.700000,269.120000,34.580000,10
graph_mst,large,1.5,128,1.085006,.009095,665,763,753.098000,9.902000,481.000000,294.784100,186.215900,10
pagerank,small,1.5,128,0.046493,.002017,598,1445,917.228000,527.772000,720.600000,313.051500,407.548500,10
pagerank,medium,1.5,128,0.215407,.004249,598,1445,917.228000,527.772000,710.800000,278.488400,432.311600,10
pagerank,large,1.5,128,1.085006,.009410,598,1445,917.228000,527.772000,937.900000,365.187100,572.712900,10
aggregate,small,1.5,256,0.002581,.002557,591,597,596.999000,.001000,133.500000,133.498900,.001100,10
aggregate,medium,1.5,256,0.005499,.005475,591,597,596.999000,.001000,110.200000,110.198600,.001400,10
aggregate,large,1.5,256,0.012381,.012356,591,597,596.999000,.001000,119.600000,119.599000,.001000,10
graph_bft,small,1.5,256,0.046490,.000585,675,648,642.074821472167969000,5.925178527832031000,227.700000,221.999555,5.700445,10
graph_bft,medium,1.5,256,0.215405,.001167,675,648,642.074821472167969000,5.925178527832031000,261.900000,238.428311,23.471689,10
graph_bft,large,1.5,256,1.085003,.002575,675,648,642.074821472167969000,5.925178527832031000,364.400000,282.665582,81.734418,10
graph_gen,small,1.5,256,0.000036,.180165,544,719,716.755000,2.245000,237.000000,233.905000,3.095000,10
graph_gen,medium,1.5,256,0.000037,.816823,544,719,716.755000,2.245000,261.200000,252.107400,9.092600,10
graph_gen,large,1.5,256,0.000037,4.006810,544,719,716.755000,2.245000,500.600000,439.762400,60.837600,10
graph_mst,small,1.5,256,0.046493,.001927,640,648,641.982000,6.018000,203.800000,196.949100,6.850900,10
graph_mst,medium,1.5,256,0.215407,.004090,640,648,641.982000,6.018000,261.700000,228.864300,32.835700,10
graph_mst,large,1.5,256,1.085006,.009095,640,648,641.982000,6.018000,421.700000,273.027100,148.672900,10
pagerank,small,1.5,256,0.046493,.002017,701,1253,794.763000,458.237000,752.400000,325.555400,426.844600,10
pagerank,medium,1.5,256,0.215407,.004249,701,1253,794.763000,458.237000,758.400000,307.116700,451.283300,10
pagerank,large,1.5,256,1.085006,.009410,701,1253,794.763000,458.237000,917.100000,346.241000,570.859000,10
aggregate,small,1.5,512,0.002581,.002556,622,681,680.998000,.002000,124.800000,124.798600,.001400,10
aggregate,medium,1.5,512,0.005499,.005475,622,681,680.998000,.002000,125.400000,125.397800,.002200,10
aggregate,large,1.5,512,0.012381,.012357,622,681,680.998000,.002000,99.700000,99.698500,.001500,10
graph_bft,small,1.5,512,0.046490,.000585,508,719,712.1640625000,6.8359375000,249.100000,243.366844,5.733156,10
graph_bft,medium,1.5,512,0.215405,.001167,508,719,712.1640625000,6.8359375000,257.400000,231.696427,25.703573,10
graph_bft,large,1.5,512,1.085003,.002574,508,719,712.1640625000,6.8359375000,408.900000,293.471934,115.428066,10
graph_gen,small,1.5,512,0.000036,.180166,532,697,694.787000,2.213000,243.300000,240.831000,2.469000,10
graph_gen,medium,1.5,512,0.000037,.816823,532,697,694.787000,2.213000,279.600000,268.221000,11.379000,10
