index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,in_flight
526,526,resnet,large,warm,200,138.99,138.98,0.0,126.24,12.75,1
527,527,mobilenet,small,warm,200,38.35,38.35,0.0,23.87,14.48,2
528,528,mobilenet,small,warm,200,31.27,31.27,0.01,21.74,9.53,1
529,529,resnet,large,warm,200,131.25,131.24,0.0,119.5,11.74,1
530,530,mobilenet,medium,warm,200,36.63,36.63,0.0,23.9,12.72,2
531,531,mobilenet,small,warm,200,32.58,32.57,0.0,20.44,12.13,1
532,532,resnet,large,warm,200,134.08,134.07,0.0,121.82,12.26,1
533,533,resnet,medium,warm,200,135.17,135.17,0.0,121.97,13.19,2
534,534,resnet,large,warm,200,145.69,145.69,0.01,133.82,11.86,2
535,535,mobilenet,medium,warm,200,305.29,305.29,0.01,30.73,274.56,2
536,536,resnet,large,warm,200,135.92,135.92,0.0,123.38,12.54,2
537,537,mobilenet,small,warm,200,28.04,28.04,0.0,17.4,10.64,3
538,538,resnet,medium,warm,200,135.76,135.75,0.0,123.88,11.88,1
539,539,resnet,large,warm,200,134.9,134.9,0.0,124.63,10.26,2
540,540,resnet,large,warm,200,139.27,139.26,0.01,124.57,14.7,2
541,541,resnet,medium,warm,200,160.53,160.52,0.01,148.84,11.68,2
542,542,resnet,small,warm,200,140.08,140.07,0.01,125.5,14.57,2
543,543,resnet,medium,warm,200,155.57,155.56,0.01,143.28,12.28,2
544,544,mobilenet,small,warm,200,41.65,41.65,0.0,29.7,11.95,2
545,545,resnet,large,warm,200,160.3,160.29,0.0,147.39,12.91,1
546,546,resnet,large,warm,200,150.25,150.25,0.0,139.33,10.92,2
547,547,resnet,large,warm,200,153.21,153.2,0.0,139.12,14.08,2
548,548,resnet,small,warm,200,148.03,148.02,0.0,134.84,13.18,2
549,549,resnet,medium,warm,200,138.62,138.61,0.0,125.41,13.2,2
550,550,mobilenet,large,warm,200,41.11,41.11,0.01,26.66,14.45,2
551,551,mobilenet,large,warm,200,39.43,39.42,0.01,23.2,16.22,1
552,552,resnet,medium,warm,200,329.47,329.46,0.0,316.45,13.02,1
553,553,mobilenet,large,warm,200,44.91,44.9,0.01,24.56,20.34,2
554,554,resnet,small,warm,200,167.49,167.48,0.01,152.65,14.83,2
555,555,mobilenet,large,warm,200,50.61,50.6,0.01,33.68,16.92,3
556,556,resnet,large,warm,200,130.71,130.71,0.01,120.55,10.16,1
