entity_id,state,last_changed
sensor.bandeau_d_alimentation_antela_puissance,66.9,2026-07-24T08:07:50.243Z
sensor.bandeau_d_alimentation_antela_puissance,64.9,2026-07-24T08:07:55.326Z
sensor.bandeau_d_alimentation_antela_puissance,65.9,2026-07-24T08:08:00.295Z
sensor.bandeau_d_alimentation_antela_puissance,65.1,2026-07-24T08:08:05.297Z
sensor.bandeau_d_alimentation_antela_puissance,66.2,2026-07-24T08:08:20.398Z
sensor.bandeau_d_alimentation_antela_puissance,67.2,2026-07-24T08:08:25.172Z
sensor.bandeau_d_alimentation_antela_puissance,66.9,2026-07-24T08:08:30.238Z
sensor.bandeau_d_alimentation_antela_puissance,67.1,2026-07-24T08:08:35.233Z
sensor.bandeau_d_alimentation_antela_puissance,66.4,2026-07-24T08:08:40.307Z
sensor.bandeau_d_alimentation_antela_puissance,67.7,2026-07-24T08:08:45.388Z
sensor.bandeau_d_alimentation_antela_puissance,66.2,2026-07-24T08:08:50.393Z
sensor.bandeau_d_alimentation_antela_puissance,67.7,2026-07-24T08:09:05.490Z
sensor.bandeau_d_alimentation_antela_puissance,68.4,2026-07-24T08:09:10.280Z
sensor.bandeau_d_alimentation_antela_puissance,64.7,2026-07-24T08:09:15.188Z
sensor.bandeau_d_alimentation_antela_puissance,69.3,2026-07-24T08:09:20.309Z
sensor.bandeau_d_alimentation_antela_puissance,68.0,2026-07-24T08:09:25.436Z
sensor.bandeau_d_alimentation_antela_puissance,66.6,2026-07-24T08:09:30.372Z
sensor.bandeau_d_alimentation_antela_puissance,65.8,2026-07-24T08:09:35.517Z
sensor.bandeau_d_alimentation_antela_puissance,67.0,2026-07-24T08:09:40.495Z
sensor.bandeau_d_alimentation_antela_puissance,67.6,2026-07-24T08:09:45.580Z
sensor.bandeau_d_alimentation_antela_puissance,65.2,2026-07-24T08:09:50.506Z
sensor.bandeau_d_alimentation_antela_puissance,65.1,2026-07-24T08:09:55.333Z
sensor.bandeau_d_alimentation_antela_puissance,66.5,2026-07-24T08:10:00.471Z
sensor.bandeau_d_alimentation_antela_puissance,68.9,2026-07-24T08:10:05.347Z
sensor.bandeau_d_alimentation_antela_puissance,67.8,2026-07-24T08:10:10.354Z
sensor.bandeau_d_alimentation_antela_puissance,67.5,2026-07-24T08:10:15.414Z
