request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
1769,linpack,large,warm,200,19.94,19.92,0.02,7.96,11.96,False,,0.0,0.51,6.31,1.14,7.96,1
1770,fastfouriertransform,large,warm,200,38.69,38.67,0.02,4.58,34.09,False,,0.0,3.84,0.0,0.74,4.58,1
1771,fetchdata,medium,warm,200,87.21,87.19,0.02,81.33,5.86,False,81.3,0.0,0.02,0.0,,81.33,1
1772,genmatrix,large,warm,200,71.84,45.65,26.19,1.22,44.43,False,,0.0,0.03,,1.18,1.22,1
1773,fetchdata,large,warm,200,85.75,85.73,0.02,79.7,6.03,False,79.67,0.0,0.02,0.0,,79.7,1
1774,fetchdata,medium,warm,200,86.87,86.86,0.01,81.0,5.86,False,80.96,0.0,0.02,0.0,,80.99,1
1775,linpack,large,warm,200,20.65,20.63,0.02,7.98,12.65,False,,0.0,0.51,6.32,1.14,7.98,1
1776,matrixmul,small,warm,200,29.06,26.21,2.86,7.33,18.88,False,,0.0,0.5,5.99,0.83,7.33,1
1777,fastfouriertransform,small,warm,200,41.26,41.25,0.02,7.29,33.96,False,,0.0,6.18,0.0,1.1,7.29,1
1778,fetchdata,small,warm,200,89.15,89.13,0.02,82.84,6.29,False,82.8,0.0,0.02,0.0,,82.84,1
1779,linpack,large,warm,200,196.3,196.28,0.02,7.99,188.29,False,,0.0,0.51,6.33,1.14,7.99,1
1780,matrixmul,medium,warm,200,558.29,555.92,2.36,539.6,16.32,False,,0.0,0.52,6.35,532.72,539.6,1
1781,matrixmul,medium,warm,200,879.31,877.07,2.25,515.44,361.63,False,,0.0,0.33,3.99,511.11,515.44,2
1782,fetchdata,small,warm,200,86.14,86.12,0.02,80.17,5.95,False,80.14,0.0,0.02,0.0,,80.17,3
1783,genmatrix,large,warm,200,49.17,31.83,17.34,0.84,30.99,False,,0.0,0.02,,0.81,0.84,2
1784,fastfouriertransform,small,warm,200,196.37,196.35,0.02,7.26,189.09,False,,0.0,6.14,0.0,1.11,7.26,2
1785,linpack,large,warm,200,19.46,19.44,0.02,8.0,11.44,False,,0.0,0.51,6.34,1.15,8.0,2
1786,linpack,large,warm,200,20.85,20.82,0.02,7.95,12.87,False,,0.0,0.5,6.32,1.12,7.95,1
1787,linpack,medium,warm,200,859.0,858.98,0.02,665.11,193.86,False,,0.0,0.51,6.36,658.23,665.11,1
1788,fastfouriertransform,large,warm,200,24.57,24.56,0.01,7.23,17.34,False,,0.0,6.1,0.0,1.12,7.23,2
1789,genmatrix,small,warm,200,7.23,6.77,0.46,0.11,6.66,False,,0.0,0.02,,0.08,0.11,2
1790,linpack,large,warm,200,265.56,265.55,0.01,5.03,260.53,False,,0.0,0.32,3.98,0.72,5.03,2
1791,linpack,small,warm,200,71.0,71.0,0.01,5.02,65.98,False,,0.0,0.33,3.97,0.72,5.02,3
1792,matrixmul,medium,warm,200,533.37,531.3,2.07,514.48,16.82,False,,0.0,0.35,4.02,510.11,514.48,1
1793,fastfouriertransform,small,warm,200,27.58,27.57,0.01,7.26,20.31,False,,0.0,6.14,0.0,1.11,7.26,2
1794,matrixmul,medium,warm,200,651.97,649.52,2.45,513.66,135.86,False,,0.0,0.34,3.99,509.33,513.66,2
1795,fastfouriertransform,small,warm,200,41.46,41.44,0.02,7.19,34.25,False,,0.0,6.11,0.0,1.07,7.19,2
1796,matrixmul,large,warm,200,262.57,260.35,2.22,4.89,255.46,False,,0.0,0.33,3.99,0.56,4.89,2
1797,linpack,small,warm,200,15.98,15.97,0.01,5.03,10.95,False,,0.0,0.34,3.96,0.73,5.03,3
1798,linpack,small,warm,200,16.82,16.8,0.02,5.05,11.75,False,,0.0,0.34,3.98,0.73,5.05,1
1799,genmatrix,medium,warm,200,12.92,10.25,2.67,0.21,10.04,False,,0.0,0.02,,0.19,0.21,1
1800,fetchdata,medium,warm,200,85.91,85.89,0.02,80.04,5.85,False,80.0,0.0,0.02,0.0,,80.03,1
1801,linpack,medium,warm,200,849.48,849.46,0.02,643.56,205.9,False,,0.0,0.34,3.97,639.24,643.56,1
1802,genmatrix,large,warm,200,63.24,43.53,19.71,1.16,42.37,False,,0.0,0.03,,1.13,1.16,2
