request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
226,linpack,small,warm,200,20.99,20.98,0.01,8.08,12.9,False,,0.0,0.52,6.41,1.15,8.08,1
227,fetchdata,large,warm,200,136.03,136.02,0.01,129.73,6.3,False,129.7,0.0,0.02,0.0,,129.73,1
228,fetchdata,large,warm,200,87.87,87.86,0.01,80.72,7.14,False,80.69,0.0,0.02,0.0,,80.72,1
229,fastfouriertransform,large,warm,200,26.2,26.2,0.01,7.5,18.69,False,,0.0,6.28,0.0,1.22,7.5,1
230,fetchdata,large,warm,200,86.04,86.03,0.01,80.3,5.73,False,80.27,0.0,0.02,0.0,,80.3,1
231,fetchdata,large,warm,200,86.13,86.12,0.01,79.95,6.17,False,79.92,0.0,0.02,0.0,,79.95,1
232,linpack,medium,warm,200,694.32,694.31,0.01,681.48,12.83,False,,0.0,0.52,6.39,674.57,681.48,1
233,linpack,large,warm,200,17.33,17.32,0.01,5.1,12.22,False,,0.0,0.34,3.97,0.78,5.1,1
234,fetchdata,large,warm,200,87.92,87.91,0.01,81.14,6.77,False,81.11,0.0,0.02,0.0,,81.14,1
235,genmatrix,small,warm,200,9.7,7.89,1.81,0.14,7.75,False,,0.0,0.03,,0.11,0.14,1
236,linpack,large,warm,200,20.27,20.26,0.01,8.0,12.26,False,,0.0,0.52,6.35,1.13,8.0,1
237,linpack,large,warm,200,21.46,21.45,0.01,8.09,13.36,False,,0.0,0.52,6.42,1.14,8.09,1
238,genmatrix,large,warm,200,60.73,46.92,13.82,1.18,45.73,False,,0.0,0.03,,1.15,1.18,1
239,fetchdata,medium,warm,200,88.02,88.01,0.01,81.14,6.87,False,81.11,0.0,0.02,0.0,,81.14,1
240,fastfouriertransform,medium,warm,200,639.91,639.9,0.01,621.8,18.1,False,,0.0,6.3,0.01,615.49,621.8,1
241,fetchdata,small,warm,200,86.08,86.07,0.01,80.21,5.86,False,80.18,0.0,0.02,0.0,,80.21,1
242,linpack,large,warm,200,20.04,20.04,0.01,8.03,12.01,False,,0.0,0.52,6.34,1.17,8.03,1
243,fetchdata,medium,warm,200,148.3,148.29,0.01,141.87,6.43,False,141.83,0.0,0.02,0.0,,141.86,1
244,linpack,medium,warm,200,695.25,695.24,0.01,682.89,12.36,False,,0.0,0.52,6.44,675.93,682.88,1
245,genmatrix,large,warm,200,60.03,46.2,13.82,1.25,44.95,False,,0.0,0.08,,1.16,1.25,1
246,linpack,large,warm,200,18.1,18.1,0.01,5.12,12.97,False,,0.0,0.34,4.03,0.74,5.12,1
247,genmatrix,large,warm,200,60.39,45.58,14.81,1.19,44.39,False,,0.0,0.03,,1.16,1.19,1
248,fastfouriertransform,medium,warm,200,655.15,655.14,0.01,637.97,17.18,False,,0.0,6.28,0.0,631.68,637.97,1
249,fetchdata,small,warm,200,88.8,88.79,0.01,81.67,7.13,False,81.63,0.0,0.02,0.0,,81.66,1
250,genmatrix,large,warm,200,59.8,45.73,14.07,1.18,44.55,False,,0.0,0.03,,1.15,1.18,1
251,fetchdata,small,warm,200,86.54,86.53,0.01,80.03,6.5,False,80.0,0.0,0.02,0.0,,80.03,1
252,genmatrix,small,warm,200,8.97,7.46,1.5,0.14,7.32,False,,0.0,0.03,,0.11,0.14,1
253,fastfouriertransform,small,warm,200,26.02,26.01,0.01,7.41,18.6,False,,0.0,6.2,0.0,1.2,7.41,1
254,genmatrix,medium,warm,200,16.28,12.86,3.41,0.29,12.58,False,,0.0,0.03,,0.26,0.29,1
255,fastfouriertransform,medium,warm,200,655.58,655.57,0.01,636.7,18.88,False,,0.0,6.19,0.0,630.5,636.69,1
256,linpack,large,warm,200,21.17,21.16,0.01,8.17,12.99,False,,0.0,0.54,6.43,1.2,8.17,1
257,genmatrix,large,warm,200,59.6,46.46,13.14,1.23,45.23,False,,0.0,0.03,,1.2,1.23,1
258,linpack,medium,warm,200,697.56,697.56,0.01,685.07,12.49,False,,0.0,0.53,6.32,678.21,685.07,1
259,linpack,small,warm,200,17.34,17.33,0.01,5.09,12.24,False,,0.0,0.35,3.99,0.74,5.09,1
260,genmatrix,large,warm,200,58.61,45.33,13.27,1.18,44.15,False,,0.0,0.03,,1.15,1.18,1
261,fastfouriertransform,small,warm,200,24.39,24.38,0.01,7.43,16.95,False,,0.0,6.19,0.0,1.22,7.43,1
262,linpack,small,warm,200,21.66,21.66,0.01,8.08,13.57,False,,0.0,0.53,6.42,1.13,8.08,1
263,genmatrix,large,warm,200,61.21,46.26,14.96,1.18,45.08,False,,0.0,0.03,,1.15,1.18,1
264,linpack,small,warm,200,20.42,20.41,0.01,7.91,12.5,False,,0.0,0.52,6.32,1.07,7.91,1
265,genmatrix,small,warm,200,8.81,7.21,1.59,0.14,7.07,False,,0.0,0.02,,0.11,0.14,1
266,linpack,small,warm,200,20.71,20.7,0.01,7.97,12.73,False,,0.0,0.53,6.31,1.13,7.97,1
267,linpack,large,warm,200,21.34,21.33,0.01,8.04,13.29,False,,0.0,0.52,6.38,1.14,8.04,1
268,fetchdata,medium,warm,200,137.36,137.35,0.01,130.62,6.73,False,130.59,0.0,0.02,0.0,,130.62,1
269,linpack,large,warm,200,20.07,20.06,0.01,7.99,12.07,False,,0.0,0.52,6.34,1.13,7.99,1
270,linpack,small,warm,200,21.42,21.41,0.01,8.11,13.31,False,,0.0,0.52,6.37,1.21,8.11,1
271,linpack,medium,warm,200,686.65,686.65,0.01,673.42,13.23,False,,0.0,0.52,6.33,666.57,673.42,1
272,fetchdata,small,warm,200,89.7,89.69,0.01,83.47,6.22,False,83.44,0.0,0.02,0.0,,83.47,1
273,fetchdata,large,warm,200,87.86,87.85,0.01,81.5,6.35,False,81.47,0.0,0.02,0.0,,81.5,1
274,linpack,large,warm,200,20.18,20.17,0.01,7.97,12.21,False,,0.0,0.52,6.31,1.13,7.97,1
275,genmatrix,medium,warm,200,15.96,13.39,2.57,0.29,13.1,False,,0.0,0.03,,0.26,0.29,1
276,linpack,small,warm,200,21.79,21.78,0.01,7.98,13.8,False,,0.0,0.54,6.31,1.13,7.98,1
277,fetchdata,small,warm,200,87.63,87.63,0.01,80.68,6.95,False,80.65,0.0,0.02,0.0,,80.68,1
278,fetchdata,medium,warm,200,86.31,86.3,0.01,80.24,6.06,False,80.21,0.0,0.02,0.0,,80.24,1
279,fetchdata,large,warm,200,86.39,86.38,0.01,80.14,6.24,False,80.11,0.0,0.02,0.0,,80.14,1
280,fastfouriertransform,small,warm,200,25.17,25.16,0.01,6.99,18.17,False,,0.0,5.89,0.0,1.09,6.98,1
281,genmatrix,small,warm,200,9.65,7.85,1.81,0.14,7.7,False,,0.0,0.03,,0.11,0.14,1
282,linpack,large,warm,200,21.73,21.73,0.01,8.11,13.62,False,,0.0,0.52,6.4,1.18,8.11,1
283,genmatrix,large,warm,200,59.33,46.57,12.77,1.85,44.72,False,,0.0,0.03,,1.82,1.85,1
284,genmatrix,small,warm,200,8.8,7.43,1.37,0.14,7.29,False,,0.0,0.02,,0.11,0.14,1
285,linpack,medium,warm,200,698.92,698.91,0.01,686.07,12.84,False,,0.0,0.52,6.38,679.16,686.07,1
286,fetchdata,large,warm,200,136.58,136.57,0.01,129.83,6.74,False,129.8,0.0,0.02,0.0,,129.83,1
287,linpack,medium,warm,200,656.51,656.5,0.01,644.91,11.59,False,,0.0,0.35,3.95,640.61,644.91,1
288,fastfouriertransform,small,warm,200,25.97,25.96,0.01,7.43,18.53,False,,0.0,6.26,0.0,1.17,7.43,1
289,linpack,medium,warm,200,679.06,679.06,0.01,665.86,13.2,False,,0.0,0.52,6.32,659.01,665.86,1
290,fastfouriertransform,large,warm,200,31.5,31.49,0.01,7.44,24.05,False,,0.0,6.27,0.0,1.16,7.44,1
291,linpack,medium,warm,200,657.41,657.4,0.01,643.42,13.98,False,,0.0,0.35,4.02,639.05,643.42,1
292,fastfouriertransform,medium,warm,200,657.0,656.99,0.01,638.54,18.45,False,,0.0,6.18,0.0,632.35,638.54,1
293,fetchdata,medium,warm,200,87.98,87.97,0.01,81.5,6.47,False,81.47,0.0,0.02,0.0,,81.5,1
294,linpack,large,warm,200,21.39,21.38,0.01,8.1,13.29,False,,0.0,0.52,6.4,1.17,8.09,1
295,genmatrix,medium,warm,200,16.98,12.91,4.07,0.3,12.62,False,,0.0,0.03,,0.27,0.3,1
296,genmatrix,medium,warm,200,15.95,12.55,3.4,0.29,12.25,False,,0.0,0.02,,0.26,0.29,1
297,linpack,medium,warm,200,904.85,904.84,0.01,686.03,218.81,False,,0.0,0.52,6.32,679.18,686.03,1
298,fastfouriertransform,medium,warm,200,661.97,661.96,0.01,642.82,19.14,False,,0.0,6.24,0.0,636.57,642.82,1
299,fetchdata,large,warm,200,87.31,87.3,0.01,80.77,6.53,False,80.74,0.0,0.02,0.0,,80.77,1
300,linpack,large,warm,200,21.29,21.28,0.01,8.35,12.94,False,,0.0,0.53,6.3,1.51,8.35,1
301,genmatrix,medium,warm,200,17.25,12.8,4.45,0.29,12.51,False,,0.0,0.03,,0.26,0.29,1
302,genmatrix,large,warm,200,60.56,45.93,14.63,1.22,44.71,False,,0.0,0.03,,1.18,1.22,1
303,fastfouriertransform,medium,warm,200,640.63,640.62,0.01,622.65,17.97,False,,0.0,6.18,0.0,616.46,622.65,1
304,fastfouriertransform,small,warm,200,23.32,23.31,0.01,4.74,18.57,False,,0.0,3.97,0.0,0.77,4.74,1
305,linpack,small,warm,200,21.14,21.14,0.01,8.03,13.11,False,,0.0,0.53,6.36,1.13,8.03,1
306,linpack,small,warm,200,21.81,21.8,0.01,8.03,13.78,False,,0.0,0.52,6.34,1.17,8.02,1
307,fastfouriertransform,medium,warm,200,655.84,655.83,0.01,636.45,19.38,False,,0.0,6.25,0.0,630.19,636.45,1
308,linpack,medium,warm,200,696.06,696.05,0.01,682.33,13.72,False,,0.0,0.53,6.33,675.46,682.33,1
309,genmatrix,medium,warm,200,16.58,13.28,3.3,0.29,12.99,False,,0.0,0.03,,0.26,0.29,1
310,fetchdata,medium,warm,200,135.26,135.25,0.01,127.83,7.42,False,127.79,0.0,0.03,0.0,,127.83,1
311,linpack,medium,warm,200,687.33,687.32,0.01,675.66,11.66,False,,0.0,0.52,6.4,668.74,675.66,1
312,linpack,medium,warm,200,863.46,863.46,0.01,644.64,218.81,False,,0.0,0.35,4.04,640.24,644.64,1
