index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
1425,1425,genmatrix,medium,warm,200,21.91,15.84,6.06,0.32,15.52,False,,0.0,0.02,,0.29,0.32,4
1426,1426,matrixmul,large,cold,200,1632.64,1629.5,3.14,4.87,1624.63,False,,0.0,0.33,3.97,0.56,4.87,4
1427,1427,matrixmul,medium,warm,200,1038.43,1035.47,2.96,512.91,522.57,False,,0.0,0.34,3.99,508.58,512.91,4
1428,1428,fetchdata,large,warm,200,92.23,92.22,0.0,83.51,8.71,False,83.48,0.0,0.02,0.0,,83.51,5
1429,1429,genmatrix,small,warm,200,12.36,9.47,2.89,0.14,9.33,False,,0.0,0.02,,0.11,0.14,6
1430,1430,fetchdata,large,warm,200,88.62,88.62,0.0,81.32,7.3,False,81.29,0.0,0.02,0.0,,81.31,5
1431,1431,linpack,medium,warm,200,669.45,669.44,0.0,655.76,13.68,False,,0.0,0.35,3.99,651.42,655.76,6
1432,1432,fetchdata,large,warm,200,88.56,88.55,0.01,79.67,8.88,False,79.64,0.0,0.02,0.0,,79.67,6
1433,1433,fastfouriertransform,large,warm,200,25.09,25.09,0.0,6.76,18.33,False,,0.0,5.73,0.0,1.03,6.76,7
1434,1434,fastfouriertransform,small,warm,200,23.78,23.78,0.01,6.75,17.03,False,,0.0,5.72,0.0,1.02,6.74,6
1435,1435,fastfouriertransform,small,warm,200,24.17,24.16,0.0,6.38,17.78,False,,0.0,5.39,0.0,0.98,6.38,6
1436,1436,matrixmul,small,cold,200,1154.01,1149.1,4.91,4.91,1144.19,False,,0.0,0.37,3.98,0.56,4.91,6
1437,1437,fetchdata,small,warm,200,95.01,95.0,0.01,84.85,10.16,False,84.81,0.0,0.02,0.0,,84.84,7
1438,1438,fetchdata,small,warm,200,127.51,127.5,0.0,83.05,44.45,False,83.02,0.0,0.02,0.0,,83.05,6
1439,1439,fetchdata,large,warm,200,158.25,158.25,0.01,80.28,77.97,False,80.25,0.0,0.02,0.0,,80.28,6
1440,1440,matrixmul,medium,warm,200,910.41,910.4,0.0,512.73,397.67,False,,0.0,0.33,4.0,508.4,512.73,7
1441,1441,fastfouriertransform,large,warm,200,25.01,25.0,0.0,7.23,17.78,False,,0.0,6.13,0.0,1.09,7.23,7
1442,1442,linpack,medium,warm,200,655.88,655.87,0.0,645.1,10.77,False,,0.0,0.34,3.96,640.8,645.1,7
1443,1443,matrixmul,small,warm,200,768.21,766.85,1.36,4.93,761.92,False,,0.0,0.36,3.97,0.58,4.92,7
1444,1444,fastfouriertransform,large,warm,200,22.46,22.46,0.0,6.85,15.61,False,,0.0,5.8,0.0,1.03,6.84,8
1445,1445,linpack,medium,warm,200,662.52,662.51,0.0,644.06,18.45,False,,0.0,0.34,3.99,639.73,644.06,7
1446,1446,fastfouriertransform,small,warm,200,25.99,25.98,0.0,7.22,18.77,False,,0.0,6.04,0.0,1.17,7.21,8
1447,1447,linpack,large,warm,200,563.7,563.7,0.0,5.06,558.64,False,,0.0,0.33,3.99,0.73,5.06,8
1448,1448,genmatrix,large,warm,200,75.67,48.52,27.15,1.19,47.33,False,,0.0,0.02,,1.16,1.19,8
1449,1449,genmatrix,small,warm,200,8.83,8.83,0.0,0.14,8.69,False,,0.0,0.03,,0.11,0.14,9
1450,1450,linpack,large,warm,200,263.43,263.42,0.0,5.02,258.41,False,,0.0,0.33,3.96,0.72,5.02,8
1451,1451,matrixmul,small,warm,200,390.57,387.17,3.4,4.9,382.27,False,,0.0,0.33,4.0,0.57,4.9,9
1452,1452,fastfouriertransform,small,warm,200,23.65,23.65,0.01,7.21,16.44,False,,0.0,6.1,0.0,1.1,7.21,10
1453,1453,linpack,small,warm,200,122.8,122.8,0.01,5.07,117.73,False,,0.0,0.34,3.98,0.74,5.06,10
1454,1454,fetchdata,small,warm,200,92.2,92.2,0.0,83.73,8.47,False,83.7,0.0,0.02,0.0,,83.73,11
1455,1455,linpack,large,warm,200,170.52,170.51,0.01,5.04,165.47,False,,0.0,0.34,3.97,0.73,5.04,12
1456,1456,genmatrix,medium,warm,200,22.05,16.17,5.87,0.29,15.88,False,,0.0,0.02,,0.27,0.29,9
1457,1457,genmatrix,medium,warm,200,23.27,14.84,8.42,0.28,14.56,False,,0.0,0.02,,0.26,0.28,9
