index,function,size,latency_ms,execution_time_sec,type,status
1107,genmatrix,medium,9.2,0.000201,warm,200
1108,resnet,small,123.2,0.11899,warm,200
1109,linpack,large,14.7,0.008033,warm,200
1110,linpack,large,11.4,0.005084,warm,200
1111,linpack,medium,690.4,0.683935,warm,200
1112,fetchdata,medium,88.4,0.083098,warm,200
1113,pagerank,large,363.4,0.281486,warm,200
1114,fastfouriertransform,medium,619.0,0.606975,warm,200
1115,genmatrix,medium,8.8,0.000202,warm,200
1116,fastfouriertransform,medium,713.3,0.697751,warm,200
1117,mobilenet,small,22.7,0.018335,warm,200
1118,fetchdata,small,86.5,0.082547,warm,200
1119,graphgen,medium,106.7,0.013263,warm,200
1120,matrixmul,large,17.5,0.005309,warm,200
1121,matrixmul,small,20.6,0.005053,warm,200
1122,fetchdata,medium,88.0,0.083374,warm,200
1123,resnet,large,378.0,0.370669,warm,200
1124,linpack,small,14.9,0.008177,warm,200
1125,fetchdata,medium,86.7,0.082714,warm,200
1126,pagerank,medium,66.4,0.044519,warm,200
1127,mobilenet,medium,22.8,0.018415,warm,200
1128,mobilenet,small,26.3,0.018086,warm,200
1129,fastfouriertransform,medium,620.1,0.606772,warm,200
1130,pagerank,medium,116.9,0.045935,warm,200
1131,genmatrix,small,4.9,0.000104,warm,200
1132,resnet,medium,124.8,0.119834,warm,200
1133,graphgen,small,26.0,0.002823,warm,200
1134,grayscale,medium,67.0,0.057315,warm,200
1135,resnet,large,122.4,0.118275,warm,200
1136,mobilenet,medium,26.4,0.018768,warm,200
1137,pagerank,small,22.1,0.010667,warm,200
1138,fastfouriertransform,medium,721.3,0.706849,warm,200
1139,fetchdata,medium,89.6,0.083945,warm,200
1140,linpack,medium,660.7,0.646652,warm,200
1141,linpack,small,12.3,0.005106,warm,200
1142,matrixmul,small,16.9,0.005028,warm,200
1143,resnet,large,390.0,0.385485,warm,200
1144,genmatrix,medium,8.8,0.000205,warm,200
1145,pagerank,medium,70.8,0.045979,warm,200
1146,fastfouriertransform,medium,618.5,0.602052,warm,200
1147,pagerank,medium,114.1,0.090627,warm,200
1148,pagerank,medium,119.2,0.045329,warm,200
1149,resnet,large,269.6,0.178271,warm,200
1150,resnet,small,337.8,0.11862,warm,200
1151,fetchdata,small,87.2,0.082941,warm,200
1152,matrixmul,medium,524.2,0.511456,warm,200
1153,linpack,large,15.1,0.008107,warm,200
1154,linpack,small,14.4,0.005362,warm,200
1155,genmatrix,large,35.0,0.000792,warm,200
1156,pagerank,medium,71.8,0.046473,warm,200
1157,pagerank,small,50.1,0.010705,warm,200
1158,graphgen,small,26.4,0.00287,warm,200
1159,fetchdata,large,87.7,0.083209,warm,200
1160,linpack,medium,658.6,0.652017,warm,200
1161,pagerank,medium,70.7,0.04451,warm,200
1162,fetchdata,large,84.4,0.080208,warm,200
1163,pagerank,small,34.1,0.010449,warm,200
1164,linpack,large,14.8,0.008029,warm,200
1165,linpack,small,14.9,0.008032,warm,200
1166,matrixmul,large,17.9,0.005058,warm,200
1167,grayscale,large,2793.7,2.682111,cold,200
1168,linpack,large,12.6,0.005232,warm,200
1169,pagerank,large,409.9,0.309622,warm,200
1170,mobilenet,large,27.2,0.018378,warm,200
1171,resnet,medium,122.8,0.118762,warm,200
1172,mobilenet,small,22.3,0.018256,warm,200
1173,linpack,medium,695.5,0.648333,warm,200
1174,fastfouriertransform,medium,644.7,0.605405,warm,200
1175,resnet,medium,123.3,0.119279,warm,200
1176,graphgen,large,486.5,0.063928,warm,200
1177,mobilenet,medium,22.7,0.0184,warm,200
1178,resnet,large,123.1,0.119102,warm,200
1179,genmatrix,large,35.3,0.00078,warm,200
1180,graphgen,large,743.3,0.081876,warm,200
1181,mobilenet,small,26.7,0.022404,warm,200
1182,pagerank,large,415.1,0.271015,warm,200
1183,resnet,medium,127.6,0.119416,warm,200
1184,fetchdata,large,144.7,0.087373,warm,200
1185,genmatrix,small,6.4,0.000104,warm,200
1186,resnet,large,123.8,0.119527,warm,200
1187,fastfouriertransform,small,19.7,0.004938,warm,200
1188,graphgen,medium,426.2,0.023172,warm,200
1189,linpack,medium,658.5,0.648357,warm,200
1190,fetchdata,medium,88.0,0.083598,warm,200
1191,genmatrix,medium,9.0,0.000202,warm,200
1192,pagerank,large,364.5,0.27861,warm,200
1193,mobilenet,large,22.5,0.018116,warm,200
1194,graphgen,large,611.6,0.067716,warm,200
1195,fetchdata,large,88.0,0.083392,warm,200
1196,genmatrix,large,51.1,0.001177,warm,200
1197,linpack,large,13.9,0.005088,warm,200
1198,mobilenet,large,22.9,0.018234,warm,200
1199,matrixmul,medium,684.1,0.515003,warm,200
1200,fetchdata,medium,87.4,0.082757,warm,200
1201,pagerank,medium,69.5,0.047199,warm,200
1202,pagerank,medium,75.0,0.045858,warm,200
1203,grayscale,large,2905.5,2.711128,cold,200
1204,mobilenet,small,25.8,0.018373,warm,200
1205,genmatrix,medium,13.4,0.000286,warm,200
1206,pagerank,medium,121.2,0.097678,warm,200
1207,genmatrix,medium,12.1,0.000272,warm,200
1208,grayscale,large,2822.4,2.710602,cold,200
1209,genmatrix,large,46.6,0.001223,warm,200
1210,mobilenet,medium,28.8,0.023237,warm,200
1211,mobilenet,medium,26.2,0.021741,warm,200
1212,pagerank,large,360.7,0.276776,warm,200
1213,grayscale,medium,2353.4,0.059565,cold,200
1214,fastfouriertransform,large,17.6,0.004928,warm,200
1215,pagerank,medium,269.9,0.046305,warm,200
1216,matrixmul,medium,530.8,0.519073,warm,200
1217,fetchdata,medium,86.7,0.081842,warm,200
1218,graphgen,medium,107.4,0.012778,warm,200
1219,fastfouriertransform,medium,616.4,0.602958,warm,200
1220,mobilenet,large,28.9,0.023627,warm,200
1221,grayscale,large,2852.1,2.728968,cold,200
1222,mobilenet,small,40.3,0.028927,warm,200
1223,genmatrix,large,35.7,0.000802,warm,200
1224,grayscale,large,4766.6,2.677104,cold,200
1225,grayscale,small,2587.2,0.007748,cold,200
1226,fastfouriertransform,large,18.6,0.005048,warm,200
1227,resnet,small,122.3,0.118451,warm,200
1228,genmatrix,small,5.1,0.000103,warm,200
1229,pagerank,small,18.2,0.010009,warm,200
1230,genmatrix,small,4.9,0.000103,warm,200
1231,fastfouriertransform,medium,655.0,0.642117,warm,200
1232,linpack,large,11.9,0.00508,warm,200
1233,mobilenet,small,23.4,0.019025,warm,200
1234,fetchdata,small,87.4,0.082953,warm,200
1235,pagerank,small,17.3,0.009795,warm,200
1236,matrixmul,large,17.0,0.005035,warm,200
1237,mobilenet,medium,22.8,0.01816,warm,200
1238,genmatrix,medium,9.2,0.000208,warm,200
1239,linpack,medium,684.6,0.653859,warm,200
1240,graphgen,small,27.1,0.002885,warm,200
1241,resnet,small,246.8,0.241697,warm,200
1242,pagerank,large,359.4,0.279233,warm,200
1243,graphgen,small,26.8,0.003108,warm,200
1244,matrixmul,small,17.1,0.005066,warm,200
1245,graphgen,medium,106.7,0.013538,warm,200
1246,mobilenet,small,26.5,0.018225,warm,200
1247,grayscale,small,16.3,0.006917,warm,200
1248,graphgen,medium,113.3,0.013271,warm,200
1249,resnet,large,291.2,0.283973,warm,200
1250,fastfouriertransform,medium,733.9,0.706557,warm,200
1251,grayscale,medium,84.5,0.061506,warm,200
1252,pagerank,large,408.7,0.272938,warm,200
1253,mobilenet,small,22.8,0.01842,warm,200
1254,pagerank,medium,366.8,0.045739,warm,200
1255,grayscale,small,11.8,0.006926,warm,200
1256,fastfouriertransform,medium,618.9,0.603832,warm,200
1257,fetchdata,large,89.7,0.082979,warm,200
1258,mobilenet,large,28.7,0.018041,warm,200
1259,grayscale,large,2952.5,2.689339,cold,200
1260,fetchdata,small,95.8,0.086636,warm,200
1261,linpack,medium,1062.5,1.05519,warm,200
1262,resnet,large,208.0,0.203261,warm,200
1263,genmatrix,small,10.0,0.00024,warm,200
1264,resnet,large,396.9,0.287197,warm,200
1265,matrixmul,medium,541.6,0.529991,warm,200
1266,pagerank,medium,68.1,0.045809,warm,200
1267,fastfouriertransform,medium,833.2,0.80117,warm,200
1268,fastfouriertransform,small,22.7,0.004836,warm,200
1269,fetchdata,medium,86.9,0.082327,warm,200
1270,linpack,small,12.1,0.005134,warm,200
1271,graphgen,medium,138.2,0.021035,warm,200
1272,matrixmul,small,23.6,0.008036,warm,200
1273,mobilenet,medium,24.7,0.018104,warm,200
1274,linpack,medium,685.8,0.67901,warm,200
1275,resnet,large,433.1,0.399618,warm,200
1276,resnet,small,570.8,0.215574,warm,200
1277,grayscale,large,2821.4,2.696919,cold,200
1278,linpack,large,208.6,0.008041,warm,200
1279,genmatrix,small,5.4,0.000104,warm,200
1280,fastfouriertransform,medium,636.7,0.623883,warm,200
1281,grayscale,small,1723.6,0.007042,warm,200
1282,matrixmul,large,17.3,0.005038,warm,200
1283,pagerank,large,403.6,0.272067,warm,200
1284,grayscale,large,5201.7,2.690777,cold,200
1285,fastfouriertransform,large,23.0,0.009047,warm,200
1286,grayscale,medium,67.9,0.057509,warm,200
1287,resnet,small,194.6,0.17183,warm,200
1288,genmatrix,small,5.0,0.000104,warm,200
1289,mobilenet,small,29.3,0.0217,warm,200
1290,mobilenet,large,22.7,0.018231,warm,200
1291,resnet,medium,125.2,0.120586,warm,200
1292,matrixmul,large,17.2,0.005048,warm,200
1293,pagerank,medium,97.6,0.045835,warm,200
1294,pagerank,large,379.7,0.283067,warm,200
1295,genmatrix,small,8.5,0.000104,warm,200
1296,resnet,small,133.4,0.118425,warm,200
1297,pagerank,medium,284.5,0.045314,warm,200
1298,pagerank,large,610.9,0.274682,warm,200
1299,linpack,small,11.3,0.005075,warm,200
1300,resnet,small,126.3,0.122208,warm,200
1301,graphgen,large,487.6,0.06587,warm,200
1302,pagerank,small,48.1,0.010004,warm,200
1303,resnet,large,126.4,0.1199,warm,200
1304,fetchdata,small,134.8,0.128896,warm,200
1305,linpack,large,11.7,0.00508,warm,200
1306,mobilenet,small,23.9,0.019005,warm,200
1307,genmatrix,large,35.4,0.000801,warm,200
1308,resnet,medium,126.6,0.118396,warm,200
1309,fastfouriertransform,large,17.6,0.004958,warm,200
1310,mobilenet,small,24.4,0.018095,warm,200
1311,mobilenet,small,30.0,0.018053,warm,200
1312,pagerank,medium,66.6,0.045608,warm,200
1313,mobilenet,large,22.1,0.018219,warm,200
1314,graphgen,large,488.3,0.065921,warm,200
1315,mobilenet,large,26.9,0.018427,warm,200
1316,grayscale,large,2847.8,2.674525,cold,200
1317,graphgen,medium,420.5,0.0227,warm,200
1318,grayscale,small,22.7,0.006949,warm,200
1319,genmatrix,large,38.1,0.000825,warm,200
1320,fastfouriertransform,small,17.5,0.004882,warm,200
1321,matrixmul,medium,519.9,0.507427,warm,200
1322,fastfouriertransform,large,17.3,0.004874,warm,200
1323,graphgen,small,140.6,0.004834,warm,200
1324,mobilenet,small,22.3,0.017847,warm,200
1325,grayscale,medium,97.9,0.086753,warm,200
1326,fetchdata,small,79.0,0.075227,warm,200
1327,matrixmul,medium,522.5,0.510193,warm,200
1328,matrixmul,medium,685.3,0.508869,warm,200
1329,matrixmul,medium,937.6,0.5081,warm,200
1330,fastfouriertransform,large,17.0,0.004901,warm,200
1331,pagerank,small,19.1,0.010453,warm,200
1332,linpack,small,24.0,0.005086,warm,200
1333,fetchdata,large,80.3,0.075534,warm,200
1334,matrixmul,large,395.5,0.00506,warm,200
1335,fetchdata,large,78.6,0.074935,warm,200
1336,genmatrix,small,5.0,0.000105,warm,200
1337,graphgen,medium,112.6,0.013576,warm,200
1338,mobilenet,large,43.1,0.033642,warm,200
1339,pagerank,medium,125.6,0.100799,warm,200
1340,pagerank,medium,133.2,0.047672,warm,200
1341,genmatrix,small,4.9,0.000105,warm,200
1342,mobilenet,medium,30.4,0.02362,warm,200
1343,fetchdata,medium,79.0,0.075315,warm,200
1344,genmatrix,large,34.9,0.000773,warm,200
1345,fastfouriertransform,small,17.6,0.004874,warm,200
1346,matrixmul,large,16.5,0.005054,warm,200
1347,graphgen,small,27.3,0.003145,warm,200
1348,genmatrix,small,4.9,0.000105,warm,200
1349,fastfouriertransform,large,17.0,0.00493,warm,200
1350,graphgen,medium,106.6,0.013502,warm,200
1351,resnet,large,145.6,0.141319,warm,200
1352,graphgen,small,27.8,0.004025,warm,200
1353,graphgen,medium,106.8,0.013757,warm,200
1354,mobilenet,small,28.0,0.023243,warm,200
1355,pagerank,small,19.6,0.009942,warm,200
1356,graphgen,small,27.1,0.003204,warm,200
1357,pagerank,medium,66.3,0.045496,warm,200
1358,genmatrix,large,34.9,0.000786,warm,200
1359,resnet,medium,123.5,0.119558,warm,200
1360,resnet,large,205.7,0.131233,warm,200
1361,linpack,small,11.4,0.005086,warm,200
1362,grayscale,small,13.9,0.008348,warm,200
1363,pagerank,small,26.5,0.010351,warm,200
1364,matrixmul,medium,520.0,0.507682,warm,200
1365,grayscale,small,1095.6,0.007976,warm,200
1366,pagerank,large,359.5,0.277745,warm,200
1367,fetchdata,large,79.5,0.075321,warm,200
1368,matrixmul,large,17.7,0.005056,warm,200
1369,mobilenet,small,28.9,0.023104,warm,200
1370,linpack,large,11.3,0.005071,warm,200
1371,matrixmul,large,17.7,0.005077,warm,200
1372,linpack,large,18.6,0.005088,warm,200
1373,matrixmul,medium,546.6,0.533935,warm,200
1374,fetchdata,medium,80.3,0.076489,warm,200
1375,matrixmul,small,16.9,0.005018,warm,200
1376,pagerank,medium,72.2,0.049636,warm,200
1377,genmatrix,small,5.1,0.000106,warm,200
