timestamp,pod,container_id,container_name,node,createdAt,startedAt,1777284191.282967373,resnet-00001-deployment-7fcbc8c8cb-ck6xf,af5d6e275c42e27400c0f1e93556f6dea423ecde696966c8cfb3fd28a8205f5f,queue-proxy,worker11,2026-04-27T04:03:18.40620445-06:00,2026-04-27T04:03:18.564300851-06:00,duration_ms
1777278702.7073855,fastfouriertransform-00001-deployment-6bbbdc9c67-wkzcd,7f872281cfee7cb111d1192c32114251dc2131cfab641505818d945570339fa2,queue-proxy,worker4,2026-04-27 08:31:41.472773642+00:00,2026-04-27 08:31:41.582973198+00:00,,,,,,,,110.199556
1777278702.7073855,mobilenet-00001-deployment-5d6d9ff4b-xjmmt,625eaf0236ecb1c9e94249be8bda277bdcd1468e228699414086ae0d9ac6a8cc,queue-proxy,worker5,2026-04-27 08:31:43.720222655+00:00,2026-04-27 08:31:43.838996923+00:00,,,,,,,,118.774268
1777278702.7073855,resnet-00001-deployment-7fcbc8c8cb-w2znn,3d316953381d4cb916ff308a8c6e97cec324b42558dc4dec1540804ad557416f,queue-proxy,worker6,2026-04-27 08:31:40.131486723+00:00,2026-04-27 08:31:40.229132719+00:00,,,,,,,,97.645996
1777278702.7073855,graphgen-00001-deployment-545ff9c679-5sjt8,202ffed6c8ee97f8f9745a859613cd575a5b0f8b3dcf408da6e2e2a42efe27f9,queue-proxy,worker7,2026-04-27 08:31:40.258090890+00:00,2026-04-27 08:31:40.362275652+00:00,,,,,,,,104.184762
1777278702.7073855,matrixmul-00001-deployment-8468c5dd88-8fb8s,5874eec81e3f41cb76e0d547391363cdc1f7dc246b563613c3ed5bfa8ca856bf,queue-proxy,worker8,2026-04-27 08:31:41.734087485+00:00,2026-04-27 08:31:41.827798458+00:00,,,,,,,,93.71097300000001
1777278702.7073855,linpack-00001-deployment-545d8788cc-pz9t5,c45c00bd968116d2b63e36590d682fafc0239b60bd7b6690faff1283bb756668,queue-proxy,worker10,2026-04-27 08:31:43.830392223+00:00,2026-04-27 08:31:43.923875278+00:00,,,,,,,,93.483055
1777278702.7073855,pagerank-00001-deployment-54689999dc-gmqzc,8101752b7f05982d401e265cac15d492d6619c5c9d21ffb0becdc99868a3a69b,queue-proxy,worker11,2026-04-27 08:31:40.981399666+00:00,2026-04-27 08:31:41.091989556+00:00,,,,,,,,110.58989
1777278702.7073855,genmatrix-00001-deployment-7db687b66-tzd7w,6b625e217074473abac40816d37932ae58f9420eb7470b711dab2396f6537106,queue-proxy,worker12,2026-04-27 08:31:40.051204250+00:00,2026-04-27 08:31:40.140086583+00:00,,,,,,,,88.88233299999999
1777278702.7073855,grayscale-00001-deployment-6c9cd67ccc-gpp5h,ebf2810ae1d80423c67ad392e0c015316a83a0791eea07190614d984bb96873c,queue-proxy,worker13,2026-04-27 08:31:41.517095861+00:00,2026-04-27 08:31:41.613686539+00:00,,,,,,,,96.590678
1777278718.8366632,fetchdata-00001-deployment-7c46bb466c-98tft,6d3e983733bdd3c482b265de6680bfb0ad2b6aff8f3423cce33e530dc05baf80,queue-proxy,worker3,2026-04-27 08:31:47.548451609+00:00,2026-04-27 08:31:47.634298057+00:00,,,,,,,,85.84644800000001
