index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,in_flight
575,575,resnet,small,warm,200,144.41,144.4,0.01,129.76,14.64,3
576,576,resnet,large,warm,200,163.62,163.61,0.0,150.34,13.27,4
577,577,mobilenet,medium,warm,200,32.66,32.65,0.01,18.02,14.63,3
578,578,resnet,large,warm,200,237.01,237.01,0.0,224.94,12.07,2
579,579,resnet,large,warm,200,135.67,135.66,0.0,119.58,16.08,3
580,580,resnet,large,warm,200,190.01,190.0,0.0,123.06,66.94,3
581,581,resnet,small,warm,200,136.26,136.25,0.0,122.87,13.38,4
582,582,mobilenet,medium,warm,200,33.33,33.32,0.01,20.22,13.1,4
583,583,mobilenet,large,warm,200,40.82,40.82,0.0,23.31,17.51,3
584,584,resnet,large,warm,200,135.3,135.3,0.0,122.37,12.93,1
585,585,mobilenet,large,warm,200,30.73,30.72,0.0,17.81,12.91,2
586,586,mobilenet,large,warm,200,61.61,61.61,0.0,17.66,43.95,2
587,587,resnet,large,warm,200,137.99,137.99,0.0,122.45,15.54,2
588,588,resnet,large,warm,200,133.69,133.69,0.0,120.37,13.32,2
589,589,resnet,small,warm,200,134.23,134.23,0.0,119.57,14.66,3
590,590,mobilenet,small,warm,200,30.4,30.4,0.0,17.92,12.47,3
591,591,mobilenet,medium,warm,200,29.09,29.08,0.0,17.62,11.47,2
592,592,resnet,small,warm,200,190.87,190.86,0.0,174.7,16.16,1
593,593,mobilenet,small,warm,200,69.44,69.44,0.0,45.01,24.43,2
594,594,mobilenet,medium,warm,200,32.01,32.0,0.01,17.53,14.47,3
595,595,resnet,medium,warm,200,157.36,157.36,0.0,144.59,12.77,2
596,596,resnet,large,warm,200,215.35,215.35,0.0,154.28,61.07,2
597,597,mobilenet,medium,warm,200,38.01,38.01,0.0,22.54,15.47,3
598,598,mobilenet,medium,warm,200,33.66,33.66,0.0,17.42,16.24,3
599,599,resnet,medium,warm,200,132.61,132.61,0.01,118.73,13.88,2
600,600,mobilenet,large,warm,200,43.11,43.11,0.0,21.49,21.62,3
601,601,resnet,small,warm,200,134.47,134.46,0.0,122.88,11.58,2
602,602,resnet,medium,warm,200,132.72,132.71,0.0,120.35,12.36,2
603,603,mobilenet,medium,warm,200,32.25,32.25,0.0,17.76,14.48,3
604,604,mobilenet,large,warm,200,59.46,59.45,0.0,17.6,41.85,2
605,605,resnet,large,warm,200,133.48,133.48,0.0,121.14,12.34,2
606,606,resnet,small,warm,200,134.06,134.06,0.0,122.09,11.97,2
607,607,resnet,medium,warm,200,136.07,136.07,0.0,119.97,16.1,3
608,608,mobilenet,small,warm,200,46.67,46.66,0.01,25.9,20.76,3
609,609,resnet,small,warm,200,132.62,132.62,0.0,120.21,12.41,2
610,610,mobilenet,large,warm,200,33.48,33.47,0.01,19.29,14.18,2
611,611,mobilenet,small,warm,200,41.23,41.22,0.0,23.31,17.91,2
612,612,resnet,small,warm,200,138.75,138.75,0.01,122.39,16.36,1
613,613,mobilenet,large,warm,200,32.25,32.25,0.0,17.86,14.38,2
614,614,mobilenet,small,warm,200,32.18,32.18,0.0,17.99,14.19,2
615,615,mobilenet,large,warm,200,30.96,30.96,0.0,18.01,12.95,1
616,616,mobilenet,small,warm,200,44.72,44.72,0.01,31.7,13.02,1
617,617,resnet,small,warm,200,133.42,133.42,0.0,120.46,12.96,1
618,618,mobilenet,medium,warm,200,37.44,37.44,0.0,23.68,13.76,2
619,619,mobilenet,small,warm,200,34.24,34.24,0.0,19.61,14.63,2
620,620,resnet,small,warm,200,133.0,132.99,0.0,120.46,12.53,1
621,621,mobilenet,large,warm,200,31.53,31.53,0.0,17.55,13.98,2
622,622,mobilenet,small,warm,200,57.65,57.64,0.0,42.26,15.38,2
623,623,mobilenet,medium,warm,200,31.6,31.6,0.01,17.8,13.8,2
624,624,mobilenet,large,warm,200,37.25,37.24,0.01,23.32,13.92,1
625,625,resnet,small,warm,200,184.6,184.59,0.01,170.57,14.02,1
626,626,mobilenet,medium,warm,200,33.49,33.48,0.0,18.08,15.4,2
627,627,mobilenet,small,warm,200,32.79,32.78,0.01,18.2,14.58,2
628,628,resnet,large,warm,200,136.72,136.71,0.0,121.75,14.97,2
629,629,mobilenet,large,warm,200,37.88,37.87,0.01,23.31,14.56,2
630,630,mobilenet,medium,warm,200,38.62,38.61,0.01,23.33,15.28,2
631,631,resnet,medium,warm,200,149.34,149.33,0.0,134.25,15.08,1
632,632,mobilenet,medium,warm,200,31.16,31.15,0.0,17.75,13.4,2
633,633,mobilenet,large,warm,200,31.7,31.69,0.0,17.67,14.02,2
634,634,mobilenet,large,warm,200,37.21,37.2,0.01,23.16,14.04,2
635,635,resnet,medium,warm,200,154.81,154.81,0.0,139.18,15.63,1
636,636,mobilenet,small,warm,200,34.75,34.75,0.0,22.31,12.44,2
637,637,resnet,medium,warm,200,132.91,132.9,0.0,120.85,12.05,2
638,638,resnet,large,warm,200,150.29,150.29,0.0,137.23,13.06,3
639,639,mobilenet,medium,warm,200,34.26,34.26,0.0,23.2,11.05,3
640,640,resnet,small,warm,200,180.22,180.22,0.0,163.45,16.77,2
641,641,mobilenet,medium,warm,200,33.45,33.44,0.01,20.41,13.03,2
642,642,mobilenet,small,warm,200,31.78,31.77,0.01,17.88,13.89,2
643,643,mobilenet,medium,warm,200,36.0,35.99,0.0,23.63,12.36,2
644,644,resnet,medium,warm,200,136.08,136.08,0.0,121.6,14.48,1
645,645,resnet,medium,warm,200,136.7,136.69,0.0,120.03,16.66,2
646,646,resnet,small,warm,200,135.77,135.76,0.01,121.26,14.5,3
647,647,mobilenet,large,warm,200,32.88,32.87,0.0,17.74,15.14,3
648,648,mobilenet,medium,warm,200,39.09,39.08,0.0,23.68,15.41,2
649,649,resnet,small,warm,200,133.92,133.92,0.0,121.95,11.97,1
650,650,resnet,medium,warm,200,163.52,163.52,0.0,148.89,14.63,2
651,651,resnet,medium,warm,200,140.72,140.71,0.01,125.6,15.11,3
652,652,resnet,large,warm,200,216.5,216.49,0.0,191.09,25.41,3
653,653,mobilenet,medium,warm,200,80.99,80.98,0.01,55.71,25.28,4
654,654,resnet,medium,warm,200,160.32,160.31,0.0,147.22,13.09,3
655,655,resnet,medium,warm,200,186.71,186.7,0.0,174.12,12.58,3
656,656,mobilenet,large,warm,200,69.17,69.16,0.01,53.67,15.49,4
657,657,resnet,small,warm,200,175.18,175.18,0.0,160.73,14.44,4
658,658,mobilenet,small,warm,200,31.41,31.4,0.0,17.88,13.52,3
659,659,mobilenet,medium,warm,200,55.59,55.59,0.0,34.87,20.71,2
660,660,mobilenet,large,warm,200,30.32,30.32,0.0,17.91,12.4,3
661,661,resnet,small,warm,200,135.31,135.3,0.0,119.55,15.75,1
662,662,mobilenet,large,warm,200,31.96,31.96,0.0,17.73,14.23,2
663,663,resnet,large,warm,200,136.99,136.98,0.01,124.56,12.42,2
664,664,mobilenet,medium,warm,200,35.02,35.01,0.0,20.74,14.28,2
665,665,resnet,large,warm,200,132.72,132.71,0.0,120.13,12.58,2
666,666,resnet,large,warm,200,132.47,132.46,0.01,119.98,12.48,2
667,667,mobilenet,medium,warm,200,32.32,32.31,0.01,17.52,14.79,3
668,668,resnet,medium,warm,200,139.92,139.91,0.0,123.73,16.18,2
669,669,mobilenet,large,warm,200,30.93,30.92,0.0,17.6,13.32,2
670,670,mobilenet,small,warm,200,36.55,36.55,0.0,22.82,13.73,2
671,671,resnet,small,warm,200,159.65,159.65,0.0,147.33,12.32,1
672,672,mobilenet,medium,warm,200,30.49,30.48,0.0,17.98,12.5,2
673,673,resnet,small,warm,200,140.33,140.32,0.01,124.86,15.47,2
674,674,resnet,large,warm,200,183.44,183.43,0.01,120.0,63.44,3
675,675,mobilenet,medium,warm,200,29.56,29.55,0.0,17.66,11.89,3
676,676,mobilenet,large,warm,200,34.24,34.24,0.01,17.83,16.41,2
677,677,resnet,small,warm,200,135.51,135.51,0.01,121.31,14.2,2
678,678,mobilenet,medium,warm,200,32.93,32.92,0.01,18.07,14.85,2
679,679,resnet,medium,warm,200,142.03,142.03,0.0,129.59,12.44,2
680,680,resnet,small,warm,200,140.98,140.98,0.01,127.12,13.85,2
681,681,mobilenet,small,warm,200,38.06,38.05,0.0,25.5,12.55,3
682,682,resnet,small,warm,200,131.95,131.94,0.0,119.33,12.62,2
683,683,mobilenet,large,warm,200,34.64,34.64,0.0,17.91,16.73,2
684,684,mobilenet,small,warm,200,34.67,34.66,0.01,20.38,14.29,2
685,685,mobilenet,medium,warm,200,30.53,30.52,0.0,17.46,13.06,1
686,686,resnet,medium,warm,200,131.66,131.66,0.0,120.91,10.75,1
687,687,resnet,small,warm,200,176.57,176.56,0.01,163.54,13.02,2
688,688,resnet,medium,warm,200,133.46,133.45,0.0,121.22,12.23,3
689,689,resnet,large,warm,200,137.31,137.31,0.0,123.59,13.72,3
690,690,mobilenet,small,warm,200,29.14,29.13,0.0,17.83,11.31,4
691,691,mobilenet,small,warm,200,32.65,32.64,0.01,17.61,15.03,2
692,692,mobilenet,large,warm,200,29.71,29.71,0.01,17.58,12.12,1
693,693,mobilenet,medium,warm,200,35.66,35.66,0.0,23.01,12.65,1
694,694,resnet,large,warm,200,131.81,131.81,0.0,120.68,11.13,1
695,695,resnet,medium,warm,200,182.23,182.22,0.0,119.58,62.64,2
696,696,resnet,medium,warm,200,134.44,134.43,0.0,122.14,12.3,3
697,697,resnet,small,warm,200,134.36,134.35,0.01,122.51,11.84,3
698,698,mobilenet,medium,warm,200,39.82,39.82,0.0,24.41,15.41,4
699,699,resnet,small,warm,200,156.0,155.99,0.0,145.87,10.12,2
700,700,resnet,large,warm,200,135.68,135.68,0.01,122.75,12.93,2
701,701,resnet,large,warm,200,138.21,138.2,0.01,126.42,11.79,3
702,702,resnet,small,warm,200,137.8,137.8,0.01,122.02,15.78,4
703,703,mobilenet,medium,warm,200,39.69,39.69,0.0,24.66,15.02,3
704,704,mobilenet,small,warm,200,33.64,33.63,0.0,20.61,13.02,2
705,705,mobilenet,medium,warm,200,38.19,38.19,0.01,20.24,17.95,1
706,706,mobilenet,small,warm,200,33.96,33.96,0.0,18.74,15.22,1
707,707,resnet,medium,warm,200,164.59,164.58,0.0,150.33,14.25,1
708,708,resnet,small,warm,200,134.95,134.94,0.0,121.64,13.3,2
709,709,mobilenet,medium,warm,200,35.48,35.48,0.0,23.53,11.95,3
710,710,resnet,small,warm,200,183.82,183.81,0.01,168.82,14.99,3
711,711,mobilenet,medium,warm,200,71.56,71.56,0.0,46.63,24.93,2
712,712,mobilenet,large,warm,200,37.31,37.31,0.0,24.69,12.62,3
