epoch,iso_time,event,from_mode,to_mode,rate
1784641056.368305,2026-07-21T13:37:36.368328+00:00,CONTROLLER_START,,local1core,
1784641246.182170,2026-07-21T13:40:46.182176+00:00,TRANSITION_START,local1core,apiserver,61.73
1784641247.592227,2026-07-21T13:40:47.592237+00:00,TRANSITION_END,local1core,apiserver,61.73
1784641346.273531,2026-07-21T13:42:26.273536+00:00,TRANSITION_START,apiserver,local1core,0.00
1784641347.398976,2026-07-21T13:42:27.398986+00:00,TRANSITION_END,apiserver,local1core,0.00
1784641811.500679,2026-07-21T13:50:11.500691+00:00,TRANSITION_START,local1core,apiserver,60.12
1784641812.587518,2026-07-21T13:50:12.587529+00:00,TRANSITION_END,local1core,apiserver,60.12
1784641909.707005,2026-07-21T13:51:49.707009+00:00,TRANSITION_START,apiserver,local1core,1.59
1784641910.618788,2026-07-21T13:51:50.618799+00:00,TRANSITION_END,apiserver,local1core,1.59
1784642524.169780,2026-07-21T14:02:04.169785+00:00,TRANSITION_START,local1core,apiserver,79.97
1784642525.302864,2026-07-21T14:02:05.302876+00:00,TRANSITION_END,local1core,apiserver,79.97
1784642622.340844,2026-07-21T14:03:42.340852+00:00,TRANSITION_START,apiserver,local1core,1.28
1784642623.189267,2026-07-21T14:03:43.189277+00:00,TRANSITION_END,apiserver,local1core,1.28
1784643043.496619,2026-07-21T14:10:43.496624+00:00,TRANSITION_START,local1core,apiserver,78.35
1784643044.709382,2026-07-21T14:10:44.709393+00:00,TRANSITION_END,local1core,apiserver,78.35
1784643141.136573,2026-07-21T14:12:21.136579+00:00,TRANSITION_START,apiserver,local1core,1.60
1784643142.096285,2026-07-21T14:12:22.096295+00:00,TRANSITION_END,apiserver,local1core,1.60
1784643656.186756,2026-07-21T14:20:56.186761+00:00,TRANSITION_START,local1core,apiserver,85.40
1784643657.488389,2026-07-21T14:20:57.488399+00:00,TRANSITION_END,local1core,apiserver,85.40
1784643753.891423,2026-07-21T14:22:33.891428+00:00,TRANSITION_START,apiserver,local1core,0.00
1784643754.711675,2026-07-21T14:22:34.711686+00:00,TRANSITION_END,apiserver,local1core,0.00
1784644226.239220,2026-07-21T14:30:26.239231+00:00,TRANSITION_START,local1core,apiserver,71.48
1784644227.557856,2026-07-21T14:30:27.557866+00:00,TRANSITION_END,local1core,apiserver,71.48
1784644324.888165,2026-07-21T14:32:04.888170+00:00,TRANSITION_START,apiserver,local1core,1.00
1784644325.735980,2026-07-21T14:32:05.735994+00:00,TRANSITION_END,apiserver,local1core,1.00
1784644812.441030,2026-07-21T14:40:12.441042+00:00,TRANSITION_START,local1core,apiserver,87.36
1784644813.896087,2026-07-21T14:40:13.896098+00:00,TRANSITION_END,local1core,apiserver,87.36
1784644908.382987,2026-07-21T14:41:48.382992+00:00,TRANSITION_START,apiserver,local1core,0.00
1784644909.275817,2026-07-21T14:41:49.275827+00:00,TRANSITION_END,apiserver,local1core,0.00
1784645437.572996,2026-07-21T14:50:37.573000+00:00,TRANSITION_START,local1core,apiserver,79.19
1784645438.770896,2026-07-21T14:50:38.770907+00:00,TRANSITION_END,local1core,apiserver,79.19
1784645536.725936,2026-07-21T14:52:16.725942+00:00,TRANSITION_START,apiserver,local1core,0.00
1784645537.648054,2026-07-21T14:52:17.648064+00:00,TRANSITION_END,apiserver,local1core,0.00
1784646022.325541,2026-07-21T15:00:22.325547+00:00,TRANSITION_START,local1core,apiserver,98.33
1784646023.621656,2026-07-21T15:00:23.621670+00:00,TRANSITION_END,local1core,apiserver,98.33
1784646118.245958,2026-07-21T15:01:58.245963+00:00,TRANSITION_START,apiserver,local1core,0.00
1784646119.159391,2026-07-21T15:01:59.159401+00:00,TRANSITION_END,apiserver,local1core,0.00
1784646618.494079,2026-07-21T15:10:18.494085+00:00,TRANSITION_START,local1core,apiserver,89.25
1784646619.671915,2026-07-21T15:10:19.671925+00:00,TRANSITION_END,local1core,apiserver,89.25
1784646713.044411,2026-07-21T15:11:53.044418+00:00,TRANSITION_START,apiserver,local1core,0.00
1784646714.037299,2026-07-21T15:11:54.037309+00:00,TRANSITION_END,apiserver,local1core,0.00
1784647272.207582,2026-07-21T15:21:12.207587+00:00,TRANSITION_START,local1core,apiserver,63.47
1784647273.452834,2026-07-21T15:21:13.452844+00:00,TRANSITION_END,local1core,apiserver,63.47
1784647365.763276,2026-07-21T15:22:45.763282+00:00,TRANSITION_START,apiserver,local1core,0.00
1784647366.630726,2026-07-21T15:22:46.630737+00:00,TRANSITION_END,apiserver,local1core,0.00
1784805963.250834,2026-07-23T11:26:03.250848+00:00,CONTROLLER_STOP,,local1core,
1784806342.307741,2026-07-23T11:32:22.307766+00:00,CONTROLLER_START,,local1core,
1784806902.747781,2026-07-23T11:41:42.747786+00:00,TRANSITION_START,local1core,apiserver,64.51
1784806903.810126,2026-07-23T11:41:43.810138+00:00,TRANSITION_END,local1core,apiserver,64.51
1784807033.840058,2026-07-23T11:43:53.840064+00:00,TRANSITION_START,apiserver,local1core,0.91
1784807035.533856,2026-07-23T11:43:55.533866+00:00,TRANSITION_END,apiserver,local1core,0.91
1784807419.894307,2026-07-23T11:50:19.894313+00:00,TRANSITION_START,local1core,apiserver,74.11
1784807420.927414,2026-07-23T11:50:20.927426+00:00,TRANSITION_END,local1core,apiserver,74.11
1784807511.901749,2026-07-23T11:51:51.901757+00:00,TRANSITION_START,apiserver,local1core,0.00
1784807512.822337,2026-07-23T11:51:52.822348+00:00,TRANSITION_END,apiserver,local1core,0.00
1784808020.790905,2026-07-23T12:00:20.790913+00:00,TRANSITION_START,local1core,apiserver,72.31
1784808021.712522,2026-07-23T12:00:21.712534+00:00,TRANSITION_END,local1core,apiserver,72.31
1784808121.316288,2026-07-23T12:02:01.316296+00:00,TRANSITION_START,apiserver,local1core,0.00
1784808122.436744,2026-07-23T12:02:02.436755+00:00,TRANSITION_END,apiserver,local1core,0.00
1784808619.145832,2026-07-23T12:10:19.145841+00:00,TRANSITION_START,local1core,apiserver,56.82
1784808620.369042,2026-07-23T12:10:20.369054+00:00,TRANSITION_END,local1core,apiserver,56.82
1784808746.806198,2026-07-23T12:12:26.806205+00:00,TRANSITION_START,apiserver,local1core,0.49
1784808747.664883,2026-07-23T12:12:27.664893+00:00,TRANSITION_END,apiserver,local1core,0.49
1784809218.637829,2026-07-23T12:20:18.637833+00:00,TRANSITION_START,local1core,apiserver,69.66
1784809219.527342,2026-07-23T12:20:19.527353+00:00,TRANSITION_END,local1core,apiserver,69.66
1784809315.607366,2026-07-23T12:21:55.607373+00:00,TRANSITION_START,apiserver,local1core,0.00
1784809316.589362,2026-07-23T12:21:56.589372+00:00,TRANSITION_END,apiserver,local1core,0.00
1784809818.207660,2026-07-23T12:30:18.207665+00:00,TRANSITION_START,local1core,apiserver,148.73
1784809819.311199,2026-07-23T12:30:19.311209+00:00,TRANSITION_END,local1core,apiserver,148.73
1784809908.669434,2026-07-23T12:31:48.669439+00:00,TRANSITION_START,apiserver,local1core,0.00
1784809909.650228,2026-07-23T12:31:49.650240+00:00,TRANSITION_END,apiserver,local1core,0.00
1784810430.938282,2026-07-23T12:40:30.938295+00:00,TRANSITION_START,local1core,apiserver,68.59
1784810432.335954,2026-07-23T12:40:32.335967+00:00,TRANSITION_END,local1core,apiserver,68.59
1784810528.468164,2026-07-23T12:42:08.468170+00:00,TRANSITION_START,apiserver,local1core,0.00
