index,function,size,latency_ms,execution_time_sec,type,status
1435,graphgen,small,25.7,0.002846,warm,200
1436,matrixmul,small,17.6,0.005006,warm,200
1437,genmatrix,small,6.8,0.000146,warm,200
1438,fetchdata,small,81.9,0.07717,warm,200
1439,genmatrix,large,50.9,0.001253,warm,200
1440,mobilenet,medium,28.6,0.023007,warm,200
1441,graphgen,large,520.4,0.096048,warm,200
1442,resnet,medium,131.1,0.125075,warm,200
1443,mobilenet,small,32.7,0.026321,warm,200
1444,graphgen,large,487.3,0.066532,warm,200
1445,pagerank,medium,146.8,0.064523,warm,200
1446,graphgen,small,25.8,0.002821,warm,200
1447,pagerank,large,374.0,0.276034,warm,200
1448,grayscale,large,2811.0,2.701089,cold,200
1449,grayscale,small,1763.4,0.006855,warm,200
1450,pagerank,large,424.0,0.340652,warm,200
1451,matrixmul,small,23.0,0.007913,warm,200
1452,fastfouriertransform,small,21.4,0.007717,warm,200
1453,pagerank,small,29.8,0.010258,warm,200
1454,genmatrix,small,5.6,0.000108,warm,200
1455,resnet,large,160.2,0.154516,warm,200
1456,grayscale,medium,68.3,0.057446,warm,200
1457,grayscale,medium,68.3,0.057672,warm,200
1458,fastfouriertransform,medium,652.7,0.639566,warm,200
1459,matrixmul,medium,563.4,0.550287,warm,200
1460,resnet,small,130.0,0.125228,warm,200
1461,genmatrix,medium,10.0,0.000208,warm,200
1462,fastfouriertransform,large,21.5,0.004916,warm,200
1463,graphgen,small,38.3,0.004645,warm,200
1464,matrixmul,medium,556.5,0.543766,warm,200
1465,matrixmul,large,18.0,0.005013,warm,200
1466,mobilenet,small,27.8,0.022898,warm,200
1467,graphgen,large,490.3,0.067582,warm,200
1468,fetchdata,small,125.5,0.120872,warm,200
1469,mobilenet,medium,28.2,0.023095,warm,200
1470,linpack,large,15.5,0.008061,warm,200
1471,fastfouriertransform,large,20.4,0.0074,warm,200
1472,graphgen,small,36.7,0.004366,warm,200
1473,genmatrix,large,36.3,0.000795,warm,200
1474,resnet,medium,171.6,0.166539,warm,200
1475,grayscale,small,91.0,0.006878,warm,200
1476,fastfouriertransform,large,21.5,0.004917,warm,200
1477,grayscale,large,2815.2,2.703318,cold,200
1478,resnet,large,128.7,0.123967,warm,200
1479,graphgen,small,246.6,0.004653,warm,200
1480,linpack,small,15.9,0.008049,warm,200
1481,genmatrix,large,36.9,0.000791,warm,200
1482,fetchdata,large,88.0,0.082887,warm,200
1483,matrixmul,small,18.0,0.005031,warm,200
1484,grayscale,small,16.4,0.010762,warm,200
1485,resnet,small,130.6,0.125408,warm,200
1486,resnet,medium,126.1,0.121099,warm,200
1487,pagerank,medium,70.7,0.045368,warm,200
1488,matrixmul,large,23.3,0.007426,warm,200
1489,fetchdata,large,89.1,0.083619,warm,200
1490,fastfouriertransform,large,21.9,0.004906,warm,200
1491,linpack,small,16.5,0.008148,warm,200
1492,fastfouriertransform,medium,619.0,0.602656,warm,200
1493,genmatrix,small,6.5,0.000143,warm,200
1494,linpack,large,15.9,0.008041,warm,200
1495,resnet,large,128.8,0.123936,warm,200
1496,matrixmul,medium,570.7,0.547167,warm,200
1497,graphgen,large,526.4,0.097684,warm,200
1498,grayscale,medium,95.1,0.083276,warm,200
1499,mobilenet,small,23.6,0.018056,warm,200
1500,linpack,large,15.3,0.008094,warm,200
1501,matrixmul,medium,760.6,0.544225,warm,200
1502,fetchdata,large,126.3,0.121835,warm,200
1503,resnet,large,126.8,0.122143,warm,200
1504,matrixmul,small,17.4,0.005011,warm,200
1505,resnet,medium,125.3,0.120622,warm,200
1506,genmatrix,large,49.9,0.001165,warm,200
1507,fastfouriertransform,small,21.1,0.007726,warm,200
1508,grayscale,small,12.5,0.006907,warm,200
1509,matrixmul,large,21.8,0.007441,warm,200
1510,fetchdata,large,87.5,0.082474,warm,200
1511,matrixmul,medium,522.0,0.508996,warm,200
1512,linpack,small,15.9,0.008161,warm,200
1513,fastfouriertransform,small,22.0,0.004916,warm,200
1514,grayscale,medium,104.0,0.092107,warm,200
1515,linpack,medium,1168.4,1.032349,warm,200
1516,fastfouriertransform,small,21.7,0.007737,warm,200
1517,fastfouriertransform,small,20.8,0.00768,warm,200
1518,matrixmul,medium,564.1,0.551273,warm,200
1519,pagerank,large,432.5,0.282385,warm,200
1520,pagerank,medium,67.9,0.046494,warm,200
1521,fastfouriertransform,small,21.5,0.004905,warm,200
1522,fastfouriertransform,medium,621.6,0.604208,warm,200
1523,pagerank,small,19.3,0.01041,warm,200
1524,resnet,large,126.8,0.121436,warm,200
1525,linpack,medium,1072.0,1.064703,warm,200
1526,graphgen,medium,136.6,0.019791,warm,200
1527,matrixmul,medium,554.5,0.540876,warm,200
1528,fastfouriertransform,large,17.1,0.004927,warm,200
1529,pagerank,small,28.0,0.018026,warm,200
1530,resnet,large,192.9,0.186312,warm,200
1531,fetchdata,large,80.4,0.075767,warm,200
1532,matrixmul,small,17.5,0.005013,warm,200
1533,fetchdata,medium,125.8,0.121062,warm,200
1534,grayscale,medium,89.6,0.077928,warm,200
1535,mobilenet,small,28.6,0.023097,warm,200
1536,fastfouriertransform,small,25.1,0.007715,warm,200
1537,matrixmul,medium,574.6,0.56196,warm,200
1538,matrixmul,medium,523.5,0.511381,warm,200
1539,mobilenet,small,22.2,0.017578,warm,200
1540,linpack,medium,1047.8,1.039067,warm,200
1541,genmatrix,large,53.1,0.00122,warm,200
1542,mobilenet,large,30.2,0.023011,warm,200
1543,resnet,small,127.3,0.12208,warm,200
1544,mobilenet,small,28.4,0.022831,warm,200
1545,fetchdata,medium,93.8,0.088376,warm,200
1546,graphgen,medium,167.2,0.057971,warm,200
1547,linpack,large,14.7,0.008106,warm,200
1548,matrixmul,medium,525.1,0.51213,warm,200
1549,mobilenet,medium,27.3,0.017721,warm,200
1550,matrixmul,large,18.1,0.005042,warm,200
1551,resnet,small,126.7,0.121636,warm,200
1552,grayscale,medium,99.3,0.086636,warm,200
1553,resnet,large,127.0,0.121655,warm,200
1554,genmatrix,medium,9.7,0.000207,warm,200
1555,linpack,small,15.5,0.008061,warm,200
1556,matrixmul,medium,520.5,0.508559,warm,200
1557,grayscale,large,2819.5,2.709455,cold,200
1558,mobilenet,large,23.6,0.017556,warm,200
1559,genmatrix,medium,14.3,0.000298,warm,200
1560,matrixmul,medium,521.9,0.509431,warm,200
1561,matrixmul,medium,555.1,0.542449,warm,200
1562,fastfouriertransform,large,21.7,0.008238,warm,200
1563,genmatrix,large,36.7,0.000801,warm,200
1564,pagerank,small,26.0,0.016095,warm,200
1565,pagerank,small,135.7,0.074863,warm,200
1566,mobilenet,large,23.5,0.017554,warm,200
1567,genmatrix,medium,9.8,0.000208,warm,200
1568,grayscale,large,2848.9,2.73731,cold,200
1569,fastfouriertransform,medium,651.8,0.6384,warm,200
1570,mobilenet,small,28.7,0.023322,warm,200
1571,grayscale,small,12.6,0.006825,warm,200
1572,grayscale,large,2786.0,2.675931,cold,200
1573,fetchdata,large,140.0,0.133473,warm,200
1574,matrixmul,medium,556.2,0.543081,warm,200
1575,fastfouriertransform,medium,663.9,0.646816,warm,200
1576,resnet,medium,148.4,0.143378,warm,200
1577,resnet,medium,126.2,0.121339,warm,200
1578,pagerank,large,380.0,0.277088,warm,200
1579,matrixmul,large,17.7,0.005016,warm,200
1580,graphgen,medium,103.6,0.012697,warm,200
1581,pagerank,large,384.5,0.302396,warm,200
1582,fastfouriertransform,small,21.2,0.007706,warm,200
1583,genmatrix,large,40.0,0.000818,warm,200
1584,linpack,small,15.9,0.008132,warm,200
1585,resnet,small,152.9,0.147465,warm,200
1586,resnet,large,150.9,0.146074,warm,200
1587,matrixmul,medium,524.9,0.510926,warm,200
1588,matrixmul,small,18.2,0.005035,warm,200
1589,graphgen,small,27.0,0.002962,warm,200
1590,grayscale,small,17.5,0.010983,warm,200
1591,pagerank,large,424.4,0.272286,warm,200
1592,pagerank,large,364.7,0.279382,warm,200
1593,resnet,large,150.4,0.145423,warm,200
1594,resnet,small,126.3,0.121878,warm,200
1595,mobilenet,medium,23.6,0.017586,warm,200
1596,matrixmul,medium,523.3,0.510133,warm,200
1597,resnet,large,128.6,0.121599,warm,200
1598,pagerank,small,27.4,0.016107,warm,200
1599,linpack,small,16.1,0.008087,warm,200
1600,mobilenet,small,32.1,0.023128,warm,200
1601,grayscale,medium,68.0,0.057415,warm,200
1602,fastfouriertransform,small,17.6,0.004928,warm,200
1603,fetchdata,medium,91.2,0.086447,warm,200
1604,grayscale,medium,69.1,0.057859,warm,200
1605,mobilenet,small,22.9,0.017897,warm,200
1606,pagerank,medium,71.5,0.045978,warm,200
1607,linpack,medium,1055.3,1.046456,warm,200
1608,fastfouriertransform,medium,659.3,0.643292,warm,200
1609,mobilenet,medium,28.7,0.023059,warm,200
1610,fastfouriertransform,medium,635.4,0.619302,warm,200
1611,graphgen,large,527.2,0.089662,warm,200
1612,fastfouriertransform,small,18.2,0.005067,warm,200
1613,linpack,large,16.4,0.00813,warm,200
1614,fastfouriertransform,large,25.4,0.007919,warm,200
1615,fetchdata,large,126.4,0.121425,warm,200
1616,genmatrix,large,51.4,0.001211,warm,200
1617,fetchdata,large,82.7,0.078261,warm,200
1618,fetchdata,medium,91.0,0.08507,warm,200
1619,pagerank,medium,143.9,0.056582,warm,200
1620,mobilenet,small,23.7,0.018672,warm,200
1621,matrixmul,large,17.3,0.005003,warm,200
1622,fetchdata,small,87.4,0.082879,warm,200
1623,matrixmul,medium,522.2,0.508823,warm,200
1624,graphgen,large,484.4,0.06359,warm,200
1625,resnet,small,128.9,0.123942,warm,200
1626,mobilenet,large,31.8,0.023232,warm,200
1627,matrixmul,medium,559.8,0.545839,warm,200
1628,graphgen,large,548.0,0.089038,warm,200
1629,genmatrix,small,6.3,0.000126,warm,200
1630,grayscale,large,2782.2,2.671295,cold,200
1631,fastfouriertransform,large,23.8,0.005059,warm,200
1632,fastfouriertransform,large,22.0,0.005055,warm,200
1633,fetchdata,medium,81.9,0.07721,warm,200
1634,linpack,small,15.8,0.008089,warm,200
1635,mobilenet,small,40.3,0.032873,warm,200
1636,grayscale,large,2817.6,2.707103,cold,200
1637,mobilenet,large,30.2,0.024357,warm,200
1638,linpack,large,16.1,0.008137,warm,200
1639,matrixmul,large,23.6,0.007993,warm,200
1640,matrixmul,large,17.2,0.005021,warm,200
1641,fastfouriertransform,medium,666.7,0.64925,warm,200
1642,linpack,medium,1048.6,1.04064,warm,200
1643,resnet,small,139.0,0.131694,warm,200
1644,grayscale,large,2827.2,2.715476,cold,200
1645,resnet,small,125.7,0.120795,warm,200
1646,fetchdata,medium,134.5,0.128392,warm,200
1647,fastfouriertransform,small,22.1,0.007836,warm,200
1648,grayscale,small,12.3,0.006847,warm,200
1649,fetchdata,medium,88.6,0.083698,warm,200
1650,fetchdata,large,94.4,0.08935,warm,200
1651,matrixmul,medium,522.5,0.509599,warm,200
1652,resnet,small,126.0,0.121301,warm,200
1653,resnet,medium,126.1,0.121485,warm,200
1654,matrixmul,small,23.8,0.007972,warm,200
1655,mobilenet,large,32.2,0.022979,warm,200
1656,pagerank,large,390.8,0.296876,warm,200
1657,fetchdata,large,88.4,0.083374,warm,200
1658,fetchdata,medium,87.5,0.082903,warm,200
1659,grayscale,small,16.6,0.010848,warm,200
1660,fetchdata,medium,79.5,0.075425,warm,200
1661,mobilenet,large,24.1,0.017607,warm,200
1662,graphgen,medium,104.6,0.012722,warm,200
