index,function,size,latency_ms,execution_time_sec,type,status
757,fastfouriertransform,medium,616.9,0.603465,warm,200
758,resnet,small,127.7,0.122739,warm,200
759,matrixmul,large,24.5,0.008003,warm,200
760,resnet,large,126.1,0.121019,warm,200
761,pagerank,small,23.1,0.010448,warm,200
762,resnet,large,146.7,0.1403,warm,200
763,grayscale,small,18.1,0.011261,warm,200
764,fetchdata,medium,91.1,0.084723,warm,200
765,grayscale,medium,111.6,0.094866,warm,200
766,linpack,small,13.9,0.005653,warm,200
767,fetchdata,small,87.9,0.082897,warm,200
768,resnet,large,291.1,0.282002,warm,200
769,matrixmul,small,22.6,0.007472,warm,200
770,fetchdata,large,127.8,0.123293,warm,200
771,graphgen,small,30.5,0.003285,warm,200
772,pagerank,small,23.8,0.010857,warm,200
773,matrixmul,medium,611.7,0.508071,warm,200
774,mobilenet,medium,34.9,0.024375,warm,200
775,fetchdata,medium,88.2,0.082734,warm,200
776,grayscale,large,4526.5,4.33304,cold,200
777,linpack,large,16.7,0.008069,warm,200
778,resnet,small,143.5,0.138474,warm,200
779,graphgen,small,40.3,0.004634,warm,200
780,fetchdata,large,88.2,0.083309,warm,200
781,graphgen,large,515.7,0.089797,warm,200
782,fastfouriertransform,medium,622.5,0.604681,warm,200
783,mobilenet,large,26.3,0.018526,warm,200
784,matrixmul,medium,761.0,0.540151,warm,200
785,resnet,medium,154.2,0.148435,warm,200
786,matrixmul,medium,521.8,0.507989,warm,200
787,genmatrix,large,36.9,0.000815,warm,200
788,fastfouriertransform,medium,647.5,0.629059,warm,200
789,matrixmul,small,24.1,0.007982,warm,200
790,grayscale,large,4520.2,4.329352,cold,200
791,resnet,medium,153.1,0.147376,warm,200
792,pagerank,large,451.5,0.281596,warm,200
793,grayscale,small,1429.5,0.01097,warm,200
794,genmatrix,medium,13.4,0.000318,warm,200
795,resnet,small,130.5,0.121495,warm,200
796,graphgen,small,28.4,0.002864,warm,200
797,grayscale,small,17.5,0.010776,warm,200
798,fetchdata,medium,126.8,0.121696,warm,200
799,grayscale,medium,109.0,0.091797,warm,200
800,fastfouriertransform,small,25.7,0.00774,warm,200
801,mobilenet,large,34.5,0.024583,warm,200
802,matrixmul,small,23.7,0.00795,warm,200
803,fetchdata,medium,131.9,0.127433,warm,200
804,pagerank,large,506.8,0.276336,warm,200
805,genmatrix,large,49.2,0.001158,warm,200
806,pagerank,large,485.5,0.297163,warm,200
807,linpack,small,16.4,0.008073,warm,200
808,matrixmul,large,23.2,0.0064,warm,200
809,graphgen,medium,111.6,0.01426,warm,200
810,graphgen,medium,108.1,0.014106,warm,200
811,fastfouriertransform,medium,651.9,0.634107,warm,200
812,resnet,medium,178.4,0.172493,warm,200
813,resnet,medium,125.5,0.119908,warm,200
814,matrixmul,medium,551.5,0.53757,warm,200
815,fastfouriertransform,medium,645.5,0.631498,warm,200
816,graphgen,medium,139.9,0.020539,warm,200
817,fetchdata,large,87.6,0.082033,warm,200
818,mobilenet,large,23.4,0.01831,warm,200
819,linpack,small,17.5,0.008205,warm,200
820,matrixmul,small,23.1,0.005948,warm,200
821,genmatrix,medium,11.8,0.000221,warm,200
822,resnet,medium,166.1,0.159082,warm,200
823,pagerank,small,22.8,0.01019,warm,200
824,matrixmul,medium,527.9,0.512522,warm,200
825,linpack,small,16.0,0.008098,warm,200
826,linpack,small,14.2,0.006261,warm,200
827,fastfouriertransform,large,22.1,0.007888,warm,200
828,fastfouriertransform,large,20.6,0.007735,warm,200
829,pagerank,small,29.8,0.014622,warm,200
830,linpack,medium,657.1,0.648362,warm,200
831,fetchdata,small,81.0,0.075955,warm,200
832,fastfouriertransform,small,22.7,0.005037,warm,200
833,grayscale,small,18.7,0.011767,warm,200
834,fetchdata,large,125.6,0.120584,warm,200
835,fetchdata,large,87.5,0.082058,warm,200
836,fastfouriertransform,small,26.0,0.00786,warm,200
837,mobilenet,medium,28.9,0.022912,warm,200
838,resnet,large,158.9,0.150678,warm,200
839,mobilenet,large,45.3,0.037182,warm,200
840,resnet,large,213.6,0.204746,warm,200
841,resnet,medium,125.8,0.121083,warm,200
842,linpack,small,13.2,0.005141,warm,200
843,mobilenet,small,26.0,0.017534,warm,200
844,mobilenet,medium,22.8,0.017673,warm,200
845,grayscale,medium,127.3,0.092994,warm,200
846,resnet,small,154.7,0.14624,warm,200
847,linpack,large,59.8,0.010516,warm,200
848,fastfouriertransform,medium,659.8,0.641153,warm,200
849,mobilenet,medium,29.7,0.023037,warm,200
850,graphgen,small,39.1,0.004545,warm,200
851,linpack,medium,655.3,0.646909,warm,200
852,fastfouriertransform,large,18.5,0.004963,warm,200
853,fastfouriertransform,large,20.1,0.005657,warm,200
854,resnet,large,123.9,0.118904,warm,200
855,matrixmul,medium,551.8,0.536798,warm,200
856,resnet,large,125.9,0.119848,warm,200
857,graphgen,medium,110.4,0.014981,warm,200
858,resnet,large,150.4,0.145003,warm,200
859,genmatrix,medium,11.5,0.000205,warm,200
860,resnet,medium,138.8,0.131131,warm,200
861,pagerank,small,29.0,0.015485,warm,200
862,graphgen,medium,128.3,0.02048,warm,200
863,fastfouriertransform,medium,682.3,0.668681,warm,200
864,fastfouriertransform,large,18.1,0.004987,warm,200
865,fetchdata,small,133.0,0.127679,warm,200
866,genmatrix,large,50.3,0.001204,warm,200
867,mobilenet,medium,27.4,0.019846,warm,200
868,pagerank,large,513.7,0.274568,warm,200
869,resnet,small,125.3,0.118783,warm,200
870,linpack,medium,695.6,0.687763,warm,200
871,grayscale,medium,107.3,0.091613,warm,200
872,matrixmul,medium,525.8,0.511441,warm,200
873,resnet,small,143.2,0.137994,warm,200
874,linpack,small,12.6,0.005094,warm,200
875,linpack,small,12.5,0.005095,warm,200
876,pagerank,large,463.3,0.285282,warm,200
877,matrixmul,medium,552.6,0.539521,warm,200
878,grayscale,large,4482.7,4.287475,cold,200
879,resnet,small,151.4,0.145401,warm,200
880,linpack,small,15.8,0.008063,warm,200
881,resnet,large,124.3,0.119141,warm,200
882,fetchdata,medium,79.9,0.075076,warm,200
883,grayscale,large,4518.9,4.326775,cold,200
884,matrixmul,small,26.2,0.00806,warm,200
885,resnet,large,154.5,0.148553,warm,200
886,fastfouriertransform,medium,661.3,0.643849,warm,200
887,pagerank,medium,117.4,0.071029,warm,200
888,linpack,small,12.8,0.0051,warm,200
889,pagerank,small,22.9,0.010748,warm,200
890,matrixmul,large,24.0,0.007966,warm,200
891,linpack,small,16.6,0.008054,warm,200
892,linpack,medium,695.9,0.686445,warm,200
893,fetchdata,small,80.6,0.075586,warm,200
894,linpack,medium,706.8,0.650146,warm,200
895,genmatrix,small,6.6,0.000106,warm,200
896,fetchdata,small,138.2,0.132572,warm,200
897,fastfouriertransform,medium,649.4,0.635481,warm,200
898,fastfouriertransform,large,17.8,0.005116,warm,200
899,pagerank,large,502.5,0.278342,warm,200
900,pagerank,small,22.0,0.010497,warm,200
901,linpack,large,12.7,0.005084,warm,200
902,fetchdata,large,79.8,0.074926,warm,200
903,matrixmul,small,24.1,0.008029,warm,200
904,fetchdata,small,79.1,0.074698,warm,200
905,resnet,small,158.6,0.149658,warm,200
906,mobilenet,small,29.1,0.023204,warm,200
907,matrixmul,medium,523.9,0.509811,warm,200
908,genmatrix,medium,14.6,0.000318,warm,200
909,resnet,medium,123.5,0.118539,warm,200
910,mobilenet,small,27.4,0.022069,warm,200
911,pagerank,small,29.2,0.016472,warm,200
912,grayscale,medium,107.1,0.091664,warm,200
913,genmatrix,medium,12.8,0.000292,warm,200
914,resnet,medium,123.0,0.118486,warm,200
915,mobilenet,medium,22.9,0.017694,warm,200
916,matrixmul,large,19.8,0.005032,warm,200
917,pagerank,medium,89.6,0.045763,warm,200
918,fetchdata,small,80.1,0.075423,warm,200
919,resnet,small,152.2,0.146611,warm,200
920,grayscale,small,16.9,0.010931,warm,200
