index,function,size,latency_ms,execution_time_sec,type,status
1654,matrixmul,small,19.9,0.00506,warm,200
1655,mobilenet,large,44.8,0.02375,warm,200
1656,pagerank,large,370.2,0.283271,warm,200
1657,fetchdata,large,86.9,0.082291,warm,200
1658,fetchdata,medium,119.5,0.080983,warm,200
1659,grayscale,small,1115.6,0.006868,warm,200
1660,fetchdata,medium,99.5,0.078735,warm,200
1661,mobilenet,large,29.0,0.023871,warm,200
1662,graphgen,medium,172.4,0.012711,warm,200
1663,graphgen,medium,227.8,0.017151,warm,200
1664,fetchdata,small,86.2,0.081703,warm,200
1665,matrixmul,large,18.1,0.005043,warm,200
1666,pagerank,large,412.1,0.276757,warm,200
1667,mobilenet,medium,37.0,0.025945,warm,200
1668,mobilenet,medium,28.0,0.022778,warm,200
1669,mobilenet,medium,21.7,0.017625,warm,200
1670,fetchdata,small,86.3,0.08187,warm,200
1671,resnet,small,137.9,0.129808,warm,200
1672,genmatrix,medium,13.3,0.000295,warm,200
1673,graphgen,medium,173.6,0.013256,warm,200
1674,genmatrix,large,57.3,0.001204,warm,200
1675,grayscale,small,497.7,0.006863,warm,200
1676,mobilenet,large,23.5,0.01919,warm,200
1677,mobilenet,large,22.1,0.017635,warm,200
1678,pagerank,small,17.7,0.010212,warm,200
1679,resnet,small,146.9,0.142127,warm,200
1680,grayscale,large,8511.7,2.723317,cold,200
1681,linpack,large,14.7,0.008068,warm,200
1682,graphgen,large,948.4,0.084414,warm,200
1683,mobilenet,large,22.0,0.017709,warm,200
1684,genmatrix,medium,15.0,0.00038,warm,200
1685,fastfouriertransform,large,43.2,0.004897,warm,200
1686,genmatrix,medium,17.7,0.000291,warm,200
1687,graphgen,medium,754.8,0.01609,warm,200
1688,grayscale,medium,2617.1,0.058012,cold,200
1689,fastfouriertransform,medium,638.1,0.604133,warm,200
1690,fastfouriertransform,small,17.9,0.004887,warm,200
1691,genmatrix,large,63.3,0.001459,warm,200
1692,resnet,large,128.4,0.123452,warm,200
1693,linpack,large,23.8,0.007999,warm,200
1694,resnet,large,151.3,0.121289,warm,200
1695,matrixmul,small,18.8,0.005144,warm,200
1696,resnet,small,174.3,0.122075,warm,200
1697,genmatrix,small,7.4,0.000188,warm,200
1698,graphgen,large,860.4,0.08067,warm,200
1699,linpack,large,15.9,0.007981,warm,200
1700,grayscale,large,4925.7,2.680421,cold,200
1701,pagerank,small,25.5,0.010275,warm,200
1702,linpack,large,15.7,0.007974,warm,200
1703,grayscale,medium,2087.4,0.057425,cold,200
1704,resnet,medium,128.7,0.12411,warm,200
1705,pagerank,large,409.4,0.312946,warm,200
1706,fastfouriertransform,small,20.8,0.007894,warm,200
1707,matrixmul,small,20.1,0.005012,warm,200
1708,grayscale,large,7263.4,2.721042,cold,200
1709,fetchdata,large,88.6,0.084133,warm,200
1710,fetchdata,small,123.1,0.082339,warm,200
1711,fetchdata,large,156.4,0.082992,warm,200
1712,linpack,small,16.6,0.008092,warm,200
1713,matrixmul,medium,581.5,0.562693,warm,200
1714,fetchdata,large,100.5,0.080224,warm,200
1715,grayscale,large,7308.3,2.744345,cold,200
1716,matrixmul,medium,1007.5,0.566584,warm,200
1717,mobilenet,small,24.3,0.017889,warm,200
1718,fastfouriertransform,medium,745.4,0.731127,warm,200
1719,pagerank,large,423.2,0.288035,warm,200
1720,grayscale,large,12869.1,2.681204,cold,200
1721,linpack,medium,691.9,0.685289,warm,200
1722,mobilenet,medium,22.4,0.017814,warm,200
1723,resnet,small,133.0,0.128347,warm,200
1724,fastfouriertransform,large,23.6,0.009085,warm,200
1725,mobilenet,large,24.9,0.017914,warm,200
1726,linpack,small,448.7,0.005066,warm,200
1727,pagerank,medium,78.9,0.045957,warm,200
1728,genmatrix,medium,13.1,0.000299,warm,200
1729,genmatrix,medium,12.9,0.000288,warm,200
1730,grayscale,medium,571.9,0.057318,warm,200
1731,grayscale,medium,581.7,0.057697,warm,200
1732,pagerank,large,375.5,0.286368,warm,200
1733,fetchdata,large,87.5,0.083157,warm,200
1734,mobilenet,medium,24.9,0.020341,warm,200
1735,graphgen,small,251.2,0.002951,warm,200
1736,fastfouriertransform,large,19.2,0.004902,warm,200
1737,mobilenet,small,24.7,0.01817,warm,200
1738,fastfouriertransform,small,21.8,0.007816,warm,200
1739,mobilenet,medium,26.4,0.018224,warm,200
1740,graphgen,medium,495.2,0.014729,warm,200
1741,genmatrix,large,62.1,0.002196,warm,200
1742,fetchdata,large,88.2,0.083234,warm,200
1743,grayscale,small,5454.7,0.007466,cold,200
1744,grayscale,small,5411.4,0.006833,cold,200
1745,linpack,medium,655.2,0.646182,warm,200
1746,fastfouriertransform,medium,649.0,0.634766,warm,200
1747,fetchdata,small,88.3,0.083735,warm,200
1748,matrixmul,large,18.8,0.005049,warm,200
1749,grayscale,large,10683.0,2.686181,cold,200
1750,genmatrix,medium,13.2,0.000285,warm,200
1751,fastfouriertransform,large,18.2,0.004911,warm,200
1752,fastfouriertransform,small,18.4,0.0049,warm,200
1753,genmatrix,medium,13.4,0.000286,warm,200
1754,fastfouriertransform,small,18.3,0.004902,warm,200
1755,resnet,small,143.3,0.138258,warm,200
1756,pagerank,large,413.0,0.279929,warm,200
1757,mobilenet,small,23.2,0.017835,warm,200
1758,graphgen,large,822.5,0.065417,warm,200
1759,linpack,small,12.5,0.005086,warm,200
1760,matrixmul,large,18.8,0.005026,warm,200
1761,fetchdata,medium,87.6,0.082241,warm,200
1762,fastfouriertransform,small,18.4,0.00491,warm,200
1763,matrixmul,small,18.9,0.005069,warm,200
1764,fastfouriertransform,small,17.7,0.004992,warm,200
1765,linpack,medium,654.6,0.647189,warm,200
1766,grayscale,small,1342.3,0.006864,warm,200
1767,matrixmul,small,19.5,0.005019,warm,200
1768,fetchdata,small,87.4,0.082476,warm,200
1769,pagerank,large,399.2,0.302964,warm,200
1770,graphgen,large,867.8,0.081929,warm,200
1771,fetchdata,medium,84.4,0.080036,warm,200
1772,linpack,large,311.7,0.005045,warm,200
1773,genmatrix,large,55.6,0.001194,warm,200
1774,fetchdata,medium,87.2,0.081084,warm,200
1775,resnet,large,275.4,0.270666,warm,200
1776,mobilenet,small,24.4,0.019711,warm,200
1777,fastfouriertransform,small,18.3,0.00497,warm,200
1778,fetchdata,small,86.1,0.081701,warm,200
1779,resnet,large,398.5,0.310694,warm,200
1780,matrixmul,medium,533.2,0.509193,warm,200
1781,matrixmul,medium,987.7,0.509645,warm,200
1782,fetchdata,small,87.1,0.082924,warm,200
1783,grayscale,large,9469.1,2.70193,cold,200
1784,fastfouriertransform,small,18.3,0.004972,warm,200
1785,pagerank,large,451.5,0.304279,warm,200
1786,resnet,large,198.5,0.148744,warm,200
1787,resnet,medium,271.3,0.121646,warm,200
1788,graphgen,large,1132.1,0.071277,warm,200
1789,grayscale,small,3168.5,0.00684,cold,200
1790,pagerank,large,540.8,0.284195,warm,200
1791,pagerank,small,166.4,0.011043,warm,200
1792,matrixmul,medium,990.8,0.510554,warm,200
1793,graphgen,small,649.2,0.003612,warm,200
1794,mobilenet,medium,22.9,0.018185,warm,200
1795,fastfouriertransform,small,17.9,0.005035,warm,200
1796,mobilenet,large,34.5,0.026431,warm,200
1797,resnet,small,128.8,0.123541,warm,200
1798,pagerank,small,154.7,0.010541,warm,200
1799,linpack,medium,682.4,0.674981,warm,200
1800,fetchdata,medium,80.3,0.076527,warm,200
1801,resnet,medium,138.8,0.133203,warm,200
1802,linpack,large,539.2,0.005049,warm,200
1803,fetchdata,medium,79.5,0.075362,warm,200
1804,fastfouriertransform,small,22.3,0.005036,warm,200
1805,resnet,small,127.6,0.123296,warm,200
1806,graphgen,medium,508.4,0.017671,warm,200
1807,genmatrix,small,7.9,0.000137,warm,200
1808,graphgen,medium,286.7,0.01756,warm,200
1809,pagerank,medium,140.6,0.060049,warm,200
1810,pagerank,medium,148.1,0.047964,warm,200
1811,matrixmul,large,23.7,0.005044,warm,200
1812,matrixmul,small,27.0,0.005005,warm,200
1813,pagerank,large,375.0,0.281861,warm,200
1814,resnet,small,127.3,0.120119,warm,200
1815,grayscale,small,1661.5,0.006895,warm,200
1816,grayscale,small,1657.1,0.006682,warm,200
1817,pagerank,small,396.6,0.009994,warm,200
1818,fetchdata,large,78.4,0.074638,warm,200
1819,linpack,medium,656.6,0.649437,warm,200
1820,resnet,large,124.7,0.120302,warm,200
1821,fastfouriertransform,medium,640.6,0.626877,warm,200
1822,matrixmul,large,17.7,0.005075,warm,200
1823,genmatrix,small,6.1,0.000138,warm,200
1824,genmatrix,small,5.9,0.00013,warm,200
