index,function,size,latency_ms,execution_time_sec,type,status
0,fastfouriertransform,small,2213.6,0.013092,cold,200
1,grayscale,small,1596.6,0.018696,warm,200
2,genmatrix,small,2354.3,0.007585,cold,200
3,fastfouriertransform,large,4493.9,0.004922,cold,200
4,pagerank,small,2082.6,0.274352,cold,200
5,resnet,medium,4250.7,0.567446,cold,200
6,graphgen,small,3214.5,0.007965,cold,200
7,fastfouriertransform,small,4466.8,0.005039,cold,200
8,genmatrix,large,2768.9,0.000782,cold,200
9,resnet,small,9209.1,1.076315,cold,200
10,pagerank,small,2123.3,0.060521,cold,200
11,pagerank,medium,2276.5,0.047025,cold,200
12,genmatrix,medium,2276.3,0.000257,cold,200
13,resnet,medium,4545.5,0.363442,cold,200
14,graphgen,small,4157.5,0.005248,cold,200
15,matrixmul,medium,3806.2,0.554652,cold,200
16,grayscale,small,1446.5,0.007261,warm,200
17,genmatrix,medium,2234.1,0.000251,cold,200
18,fastfouriertransform,small,4360.2,0.004907,cold,200
19,matrixmul,small,5531.9,0.005577,cold,200
20,linpack,medium,3495.1,0.704688,cold,200
21,resnet,medium,4826.1,0.361898,cold,200
22,graphgen,large,7761.8,0.122224,cold,200
23,mobilenet,large,4300.0,0.058634,cold,200
24,fastfouriertransform,medium,2726.8,0.737255,cold,200
25,fastfouriertransform,large,4277.7,0.004905,cold,200
26,grayscale,large,24676.5,3.032397,cold,200
27,resnet,medium,5566.8,0.439402,cold,200
28,resnet,small,5115.3,0.352555,cold,200
29,fastfouriertransform,small,2719.8,0.005445,cold,200
30,genmatrix,medium,2148.7,0.000218,cold,200
31,fastfouriertransform,small,2699.0,0.005548,cold,200
32,fastfouriertransform,medium,3447.6,0.786627,cold,200
33,grayscale,medium,1419.1,0.060214,warm,200
34,linpack,small,6432.2,0.005644,cold,200
35,linpack,medium,7177.4,0.749435,cold,200
36,genmatrix,large,2172.1,0.000935,cold,200
37,grayscale,large,24669.6,3.830185,cold,200
38,fastfouriertransform,large,3398.2,0.005225,cold,200
39,fetchdata,large,2924.3,0.129873,cold,200
40,genmatrix,small,2000.6,0.000124,cold,200
41,mobilenet,medium,4258.3,0.024643,cold,200
42,grayscale,large,24695.7,3.358735,cold,200
43,pagerank,small,1714.3,0.012049,warm,200
44,linpack,small,4032.8,0.00646,cold,200
45,genmatrix,small,1940.0,0.000139,warm,200
46,linpack,medium,3996.2,0.73919,cold,200
47,grayscale,small,1146.8,0.007026,warm,200
48,genmatrix,large,2125.1,0.00088,cold,200
49,linpack,small,3984.3,0.005407,cold,200
50,mobilenet,medium,4104.8,0.025824,cold,200
51,mobilenet,small,4180.4,0.02827,cold,200
52,grayscale,small,1112.8,0.007221,warm,200
53,genmatrix,large,2167.9,0.000836,cold,200
