index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
1710,1710,fetchdata,small,warm,200,108.75,108.74,0.0,75.89,32.85,False,75.87,0.0,0.02,0.0,,75.89,9
1711,1711,fetchdata,large,warm,200,137.56,137.55,0.0,76.92,60.64,False,76.89,0.0,0.02,0.0,,76.91,9
1712,1712,genmatrix,small,warm,200,10.38,7.85,2.52,0.11,7.75,False,,0.0,0.02,,0.08,0.11,10
1713,1713,matrixmul,medium,warm,200,535.92,531.74,4.18,516.19,15.56,False,,0.0,0.34,3.97,511.86,516.19,9
1714,1714,fetchdata,large,warm,200,82.0,82.0,0.0,76.11,5.89,False,76.09,0.0,0.02,0.0,,76.11,9
1715,1715,genmatrix,large,warm,200,44.92,31.61,13.31,0.84,30.77,False,,0.0,0.02,,0.82,0.84,10
1716,1716,matrixmul,medium,warm,200,535.48,529.53,5.95,513.89,15.64,False,,0.0,0.34,3.95,509.59,513.89,9
1717,1717,matrixmul,small,warm,200,25.04,19.29,5.76,4.9,14.39,False,,0.0,0.35,3.98,0.56,4.89,10
1718,1718,fastfouriertransform,medium,warm,200,1450.71,1450.71,0.0,634.5,816.21,False,,0.0,3.83,0.0,630.66,634.5,8
1719,1719,linpack,large,warm,200,16.79,16.78,0.0,5.09,11.69,False,,0.0,0.34,4.02,0.73,5.09,9
1720,1720,genmatrix,large,warm,200,52.86,33.18,19.68,0.87,32.31,False,,0.0,0.02,,0.85,0.87,9
1721,1721,genmatrix,medium,warm,200,16.63,13.69,2.94,0.21,13.49,False,,0.0,0.02,,0.18,0.21,9
1722,1722,matrixmul,medium,warm,200,536.78,532.69,4.09,515.25,17.43,True,,0.0,0.36,4.12,510.76,515.25,8
1723,1723,linpack,small,warm,200,16.58,16.57,0.0,5.09,11.49,False,,0.0,0.34,4.01,0.73,5.09,9
1724,1724,fastfouriertransform,large,cold,200,1156.53,1156.52,0.0,4.61,1151.91,False,,0.0,3.85,0.0,0.76,4.61,8
1725,1725,matrixmul,large,warm,200,27.32,22.1,5.21,4.9,17.2,False,,0.0,0.36,3.98,0.56,4.9,9
1726,1726,genmatrix,small,warm,200,8.66,7.35,1.31,0.11,7.24,False,,0.0,0.02,,0.08,0.11,9
1727,1727,linpack,medium,warm,200,656.55,656.55,0.0,645.94,10.6,False,,0.0,0.35,3.99,641.6,645.94,8
1728,1728,fetchdata,medium,warm,200,82.65,82.65,0.0,76.29,6.36,False,76.26,0.0,0.02,0.0,,76.28,9
1729,1729,fetchdata,medium,warm,200,110.14,110.13,0.01,76.03,34.1,False,76.01,0.0,0.02,0.0,,76.03,10
1730,1730,genmatrix,medium,warm,200,15.78,12.38,3.4,0.21,12.17,False,,0.0,0.02,,0.19,0.21,10
1731,1731,genmatrix,medium,warm,200,17.48,11.23,6.25,0.21,11.02,False,,0.0,0.02,,0.18,0.21,10
1732,1732,linpack,large,warm,200,412.95,412.95,0.0,5.06,407.88,False,,0.0,0.33,3.98,0.74,5.06,9
1733,1733,fetchdata,large,warm,200,83.73,83.73,0.01,76.77,6.96,False,76.75,0.0,0.02,0.0,,76.77,9
1734,1734,matrixmul,medium,warm,200,540.0,535.86,4.14,513.79,22.07,False,,0.0,0.34,3.98,509.46,513.79,9
1735,1735,fastfouriertransform,small,warm,200,615.91,615.9,0.01,4.62,611.28,False,,0.0,3.85,0.0,0.76,4.61,6
1736,1736,fastfouriertransform,large,warm,200,570.65,570.64,0.01,4.61,566.04,False,,0.0,3.84,0.0,0.76,4.61,7
1737,1737,matrixmul,small,warm,200,25.09,19.53,5.56,4.93,14.6,False,,0.0,0.37,3.97,0.58,4.93,8
