function,payload,cpu_limit,memory_mb,payload_size_mb,output_size_mb,build_time_msec,total_cold_msec,cold_start_msec,execution_time_cold_msec,total_warm_avg_msec,warm_start_avg_msec,execution_time_warm_avg_msec,warm_iterations
aggregate_lines,small,0.5,512,0.010002,.010012,642,634,633.92680549621582031000,.07319450378417969000,139.500000,139.211395,.288605,10
aggregate_lines,medium,0.5,512,0.039779,.039766,642,634,633.92680549621582031000,.07319450378417969000,118.000000,117.865819,.134181,10
aggregate_lines,large,0.5,512,0.218306,.218293,642,634,633.92680549621582031000,.07319450378417969000,163.200000,156.461838,6.738162,10
encrypt,small,0.5,512,0.009564,.012804,533,5295,509.418000,4785.582000,4981.900000,121.223200,4860.676800,10
encrypt,medium,0.5,512,0.038175,.050951,533,5295,509.418000,4785.582000,20242.300000,130.761200,20111.538800,10
encrypt,large,0.5,512,0.209836,.000001,533,5295,509.418000,4785.582000,4746.600000,4746.600000,0,10
merge_aggregate,small,0.5,512,0.009946,.028887,794,584,558.769000,25.231000,156.800000,112.119600,44.680400,10
merge_aggregate,medium,0.5,512,0.039701,.115291,794,584,558.769000,25.231000,1045.100000,165.353200,879.746800,10
merge_aggregate,large,0.5,512,0.218228,.633709,794,584,558.769000,25.231000,24892.500000,140.219600,24752.280400,10
single_string,small,0.5,512,0.028827,.009615,680,578,576.586000,1.414000,126.100000,123.707100,2.392900,10
single_string,medium,0.5,512,0.115230,.038225,680,578,576.586000,1.414000,163.700000,155.680000,8.020000,10
single_string,large,0.5,512,0.633647,.209888,680,578,576.586000,1.414000,225.400000,138.807300,86.592700,10
text_data_gen,small,0.5,512,0.000048,.005039,617,725,723.261000,1.739000,113.400000,109.345300,4.054700,10
text_data_gen,medium,0.5,512,0.000049,.019917,617,725,723.261000,1.739000,117.600000,106.692100,10.907900,10
text_data_gen,large,0.5,512,0.000050,.109179,617,725,723.261000,1.739000,201.500000,133.584400,67.915600,10
text_sort,small,0.5,512,0.004988,.024031,610,808,806.951000,1.049000,114.100000,113.699800,.400200,10
text_sort,medium,0.5,512,0.019865,.095843,610,808,806.951000,1.049000,127.600000,126.329900,1.270100,10
text_sort,large,0.5,512,0.109129,.526713,610,808,806.951000,1.049000,178.400000,158.518300,19.881700,10
textsort1,small,0.5,512,0.010007,.010012,694,629,628.253000,.747000,134.400000,133.549400,.850600,10
textsort1,medium,0.5,512,0.014966,.014971,694,629,628.253000,.747000,139.900000,138.826200,1.073800,10
textsort1,large,0.5,512,0.069516,.069521,694,629,628.253000,.747000,148.700000,136.113900,12.586100,10
trigger,small,0.5,512,0.000046,.005079,815,612,611.651000,.349000,153.500000,153.095900,.404100,10
trigger,medium,0.5,512,0.000047,.019958,815,612,611.651000,.349000,135.100000,132.553300,2.546700,10
trigger,large,0.5,512,0.000048,.109223,815,612,611.651000,.349000,171.600000,155.897900,15.702100,10
aggregate_lines,small,1.0,128,0.010002,.010011,556,668,667.91011619567871094000,.08988380432128906000,110.000000,109.945283,.054717,10
aggregate_lines,medium,1.0,128,0.039779,.039766,556,668,667.91011619567871094000,.08988380432128906000,115.900000,115.777286,.122714,10
aggregate_lines,large,1.0,128,0.218306,.218294,556,668,667.91011619567871094000,.08988380432128906000,128.000000,126.741174,1.258826,10
