index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
1787,1787,linpack,medium,warm,200,652.37,652.36,0.0,642.1,10.27,False,,0.0,0.33,3.99,637.77,642.09,4
1788,1788,fastfouriertransform,large,warm,200,22.11,22.1,0.0,4.55,17.55,False,,0.0,3.81,0.0,0.73,4.55,4
1789,1789,genmatrix,small,warm,200,10.51,8.35,2.16,0.14,8.21,False,,0.0,0.02,,0.11,0.14,4
1790,1790,linpack,large,warm,200,17.0,17.0,0.01,5.08,11.92,False,,0.0,0.33,3.97,0.77,5.08,4
1791,1791,linpack,small,warm,200,16.23,16.23,0.0,5.05,11.17,False,,0.0,0.33,3.98,0.74,5.05,4
1792,1792,matrixmul,medium,warm,200,529.15,522.81,6.34,508.88,13.93,False,,0.0,0.34,4.0,504.54,508.88,4
1793,1793,fastfouriertransform,small,warm,200,23.08,23.08,0.0,4.57,18.51,False,,0.0,3.83,0.0,0.73,4.57,4
1794,1794,matrixmul,medium,warm,200,533.71,525.7,8.01,508.75,16.95,False,,0.0,0.34,3.97,504.44,508.75,3
1795,1795,fastfouriertransform,small,warm,200,21.18,21.18,0.0,4.56,16.61,False,,0.0,3.83,0.0,0.73,4.56,4
1796,1796,matrixmul,large,warm,200,26.94,20.85,6.09,4.96,15.89,False,,0.0,0.35,4.03,0.57,4.96,4
1797,1797,linpack,small,warm,200,15.21,15.21,0.01,5.06,10.14,False,,0.0,0.33,3.97,0.76,5.06,4
1798,1798,linpack,small,warm,200,15.76,15.76,0.01,5.02,10.74,False,,0.0,0.33,3.94,0.73,5.01,4
1799,1799,genmatrix,medium,warm,200,19.44,14.06,5.39,0.32,13.74,False,,0.0,0.03,,0.28,0.31,4
1800,1800,fetchdata,medium,warm,200,90.24,90.23,0.0,83.38,6.86,False,83.34,0.0,0.02,0.0,,83.37,4
1801,1801,linpack,medium,warm,200,653.83,653.82,0.01,643.62,10.2,False,,0.0,0.33,4.01,639.27,643.62,4
1802,1802,genmatrix,large,warm,200,78.89,43.87,35.02,1.13,42.74,False,,0.0,0.02,,1.1,1.13,4
1803,1803,fetchdata,medium,warm,200,87.26,87.26,0.01,80.6,6.65,False,80.57,0.0,0.02,0.0,,80.6,4
1804,1804,fastfouriertransform,small,warm,200,22.31,22.31,0.01,4.57,17.73,False,,0.0,3.84,0.0,0.73,4.57,4
1805,1805,linpack,small,warm,200,16.3,16.29,0.0,5.06,11.24,False,,0.0,0.33,3.99,0.73,5.06,2
1806,1806,fastfouriertransform,medium,warm,200,618.29,618.29,0.01,603.05,15.24,False,,0.0,3.8,0.0,599.24,603.04,2
1807,1807,fetchdata,small,warm,200,91.26,91.26,0.0,84.2,7.06,False,84.17,0.0,0.02,0.0,,84.2,3
1808,1808,fastfouriertransform,medium,warm,200,1119.87,1119.86,0.0,600.32,519.54,False,,0.0,3.82,0.0,596.49,600.32,4
1809,1809,linpack,medium,warm,200,732.47,732.46,0.01,676.27,56.19,False,,0.0,0.52,6.36,669.38,676.27,4
1810,1810,linpack,medium,warm,200,849.51,849.51,0.01,643.61,205.9,False,,0.0,0.32,3.98,639.3,643.61,5
1811,1811,matrixmul,large,warm,200,32.81,27.26,5.55,7.82,19.44,False,,0.0,0.52,6.41,0.88,7.81,6
1812,1812,matrixmul,small,warm,200,26.26,21.43,4.83,5.1,16.33,False,,0.0,0.38,4.1,0.62,5.1,6
