index,function,size,latency_ms,execution_time_sec,type,status
1377,genmatrix,small,5.0,0.000105,warm,200
1378,grayscale,large,2886.3,2.695215,cold,200
1379,fetchdata,medium,81.8,0.077296,warm,200
1380,graphgen,large,558.9,0.093511,warm,200
1381,matrixmul,medium,616.8,0.509706,warm,200
1382,pagerank,large,450.4,0.28738,warm,200
1383,fetchdata,medium,79.1,0.074738,warm,200
1384,genmatrix,medium,12.0,0.0002,warm,200
1385,genmatrix,medium,9.5,0.000195,warm,200
1386,fastfouriertransform,medium,659.8,0.641852,warm,200
1387,linpack,small,15.9,0.008048,warm,200
1388,pagerank,large,389.6,0.284667,warm,200
1389,genmatrix,small,6.5,0.00014,warm,200
1390,grayscale,medium,430.1,0.057574,warm,200
1391,resnet,large,156.3,0.147691,warm,200
1392,graphgen,small,32.3,0.00278,warm,200
1393,genmatrix,large,64.9,0.001245,warm,200
1394,pagerank,small,24.9,0.015559,warm,200
1395,mobilenet,small,35.7,0.0278,warm,200
1396,linpack,medium,652.6,0.645527,warm,200
1397,graphgen,small,27.4,0.002956,warm,200
1398,genmatrix,large,93.7,0.001208,warm,200
1399,fastfouriertransform,large,21.4,0.007682,warm,200
1400,mobilenet,small,23.8,0.01802,warm,200
1401,resnet,large,127.1,0.122046,warm,200
1402,genmatrix,medium,13.0,0.000283,warm,200
1403,genmatrix,large,53.8,0.00121,warm,200
1404,linpack,medium,662.3,0.655519,warm,200
1405,matrixmul,medium,734.4,0.516634,warm,200
1406,pagerank,large,432.7,0.292308,warm,200
1407,linpack,medium,713.8,0.649119,warm,200
1408,grayscale,medium,70.1,0.057421,warm,200
1409,pagerank,medium,69.7,0.047815,warm,200
1410,mobilenet,small,22.6,0.018365,warm,200
1411,mobilenet,medium,24.7,0.017748,warm,200
1412,genmatrix,medium,9.7,0.000212,warm,200
1413,linpack,medium,661.6,0.654914,warm,200
1414,graphgen,large,561.5,0.089117,warm,200
1415,genmatrix,large,39.3,0.000781,warm,200
1416,fetchdata,small,80.1,0.075777,warm,200
1417,grayscale,large,2888.1,2.701742,cold,200
1418,resnet,large,154.9,0.149966,warm,200
1419,matrixmul,medium,548.9,0.536236,warm,200
1420,fetchdata,small,80.9,0.076727,warm,200
1421,linpack,small,16.1,0.008361,warm,200
1422,matrixmul,large,17.4,0.005001,warm,200
1423,genmatrix,medium,9.7,0.000198,warm,200
1424,pagerank,large,399.7,0.290076,warm,200
1425,linpack,medium,681.7,0.674716,warm,200
1426,mobilenet,large,28.9,0.023267,warm,200
1427,mobilenet,medium,29.2,0.023014,warm,200
1428,fetchdata,large,80.1,0.076156,warm,200
1429,linpack,small,12.3,0.005099,warm,200
1430,fetchdata,large,79.2,0.074779,warm,200
1431,pagerank,medium,118.3,0.06355,warm,200
1432,fetchdata,large,79.1,0.074775,warm,200
1433,graphgen,large,537.6,0.06614,warm,200
1434,graphgen,small,281.3,0.002932,warm,200
1435,graphgen,small,103.5,0.002999,warm,200
1436,matrixmul,small,16.7,0.004991,warm,200
1437,genmatrix,small,6.6,0.000137,warm,200
1438,fetchdata,small,79.3,0.075006,warm,200
1439,genmatrix,large,54.8,0.001199,warm,200
1440,mobilenet,medium,40.4,0.032272,warm,200
1441,graphgen,large,609.1,0.120606,warm,200
1442,resnet,medium,130.7,0.125872,warm,200
1443,mobilenet,small,25.3,0.017595,warm,200
1444,graphgen,large,530.5,0.064422,warm,200
1445,pagerank,medium,141.0,0.05609,warm,200
1446,graphgen,small,84.0,0.00278,warm,200
1447,pagerank,large,387.5,0.295016,warm,200
1448,grayscale,large,2882.2,2.693899,cold,200
1449,grayscale,small,2561.0,0.006839,cold,200
1450,pagerank,large,383.9,0.288057,warm,200
1451,matrixmul,small,23.1,0.007906,warm,200
1452,fastfouriertransform,small,21.1,0.00759,warm,200
1453,pagerank,small,18.3,0.01,warm,200
1454,genmatrix,small,5.5,0.000103,warm,200
1455,resnet,large,151.8,0.14488,warm,200
1456,grayscale,medium,1236.9,0.059063,warm,200
1457,grayscale,medium,1098.4,0.058423,warm,200
1458,fastfouriertransform,medium,693.3,0.679244,warm,200
1459,matrixmul,medium,556.9,0.541499,warm,200
1460,resnet,small,172.2,0.165703,warm,200
1461,genmatrix,medium,9.6,0.000217,warm,200
1462,fastfouriertransform,large,27.5,0.004988,warm,200
1463,graphgen,small,26.5,0.002869,warm,200
1464,matrixmul,medium,522.0,0.509553,warm,200
1465,matrixmul,large,332.7,0.00496,warm,200
1466,mobilenet,small,29.1,0.023882,warm,200
1467,graphgen,large,546.7,0.087197,warm,200
1468,fetchdata,small,79.2,0.074681,warm,200
1469,mobilenet,medium,29.0,0.023721,warm,200
1470,linpack,large,16.1,0.008048,warm,200
1471,fastfouriertransform,large,29.2,0.005018,warm,200
1472,graphgen,small,26.5,0.002838,warm,200
1473,genmatrix,large,39.2,0.000808,warm,200
1474,resnet,medium,127.0,0.122899,warm,200
1475,grayscale,small,11.2,0.006811,warm,200
1476,fastfouriertransform,large,18.5,0.005001,warm,200
1477,grayscale,large,2856.3,2.670346,cold,200
1478,resnet,large,127.9,0.122085,warm,200
1479,graphgen,small,27.0,0.00278,warm,200
1480,linpack,small,16.8,0.008115,warm,200
1481,genmatrix,large,54.2,0.001171,warm,200
1482,fetchdata,large,79.0,0.074516,warm,200
1483,matrixmul,small,17.0,0.004984,warm,200
1484,grayscale,small,1339.0,0.006854,warm,200
1485,resnet,small,156.1,0.150023,warm,200
1486,resnet,medium,131.7,0.123661,warm,200
1487,pagerank,medium,93.5,0.067128,warm,200
1488,matrixmul,large,17.2,0.005005,warm,200
1489,fetchdata,large,132.7,0.127783,warm,200
1490,fastfouriertransform,large,21.5,0.007675,warm,200
1491,linpack,small,18.3,0.005179,warm,200
1492,fastfouriertransform,medium,693.7,0.679652,warm,200
1493,genmatrix,small,6.0,0.000137,warm,200
1494,linpack,large,11.8,0.0051,warm,200
1495,resnet,large,127.9,0.120565,warm,200
1496,matrixmul,medium,700.5,0.510043,warm,200
1497,graphgen,large,556.2,0.091544,warm,200
1498,grayscale,medium,71.5,0.05804,warm,200
1499,mobilenet,small,23.0,0.017948,warm,200
1500,linpack,large,12.5,0.005188,warm,200
1501,matrixmul,medium,524.2,0.51233,warm,200
1502,fetchdata,large,86.8,0.082323,warm,200
1503,resnet,large,128.2,0.121616,warm,200
1504,matrixmul,small,16.5,0.004998,warm,200
1505,resnet,medium,139.2,0.131374,warm,200
1506,genmatrix,large,39.2,0.000855,warm,200
1507,fastfouriertransform,small,18.3,0.005,warm,200
1508,grayscale,small,11.4,0.006829,warm,200
1509,matrixmul,large,16.6,0.004985,warm,200
1510,fetchdata,large,78.7,0.074945,warm,200
1511,matrixmul,medium,557.1,0.54507,warm,200
1512,linpack,small,15.1,0.008147,warm,200
1513,fastfouriertransform,small,18.1,0.004907,warm,200
1514,grayscale,medium,70.9,0.057896,warm,200
1515,linpack,medium,694.9,0.687708,warm,200
1516,fastfouriertransform,small,18.6,0.004906,warm,200
1517,fastfouriertransform,small,37.3,0.004926,warm,200
1518,matrixmul,medium,525.3,0.513269,warm,200
1519,pagerank,large,442.6,0.28054,warm,200
1520,pagerank,medium,298.8,0.046336,warm,200
1521,fastfouriertransform,small,21.5,0.007638,warm,200
1522,fastfouriertransform,medium,698.5,0.684379,warm,200
1523,pagerank,small,18.8,0.010279,warm,200
1524,resnet,large,153.4,0.148237,warm,200
1525,linpack,medium,705.0,0.665774,warm,200
1526,graphgen,medium,148.2,0.019486,warm,200
1527,matrixmul,medium,526.2,0.513991,warm,200
1528,fastfouriertransform,large,26.5,0.004959,warm,200
1529,pagerank,small,18.7,0.010165,warm,200
1530,resnet,large,124.7,0.120462,warm,200
1531,fetchdata,large,86.5,0.081927,warm,200
1532,matrixmul,small,16.9,0.004976,warm,200
1533,fetchdata,medium,87.4,0.082829,warm,200
1534,grayscale,medium,90.7,0.076901,warm,200
1535,mobilenet,small,28.5,0.018551,warm,200
1536,fastfouriertransform,small,18.3,0.005001,warm,200
1537,matrixmul,medium,562.5,0.550277,warm,200
1538,matrixmul,medium,879.7,0.511398,warm,200
1539,mobilenet,small,22.7,0.017901,warm,200
1540,linpack,medium,686.8,0.680333,warm,200
1541,genmatrix,large,54.5,0.00118,warm,200
1542,mobilenet,large,22.0,0.017672,warm,200
1543,resnet,small,126.0,0.121807,warm,200
1544,mobilenet,small,22.1,0.017798,warm,200
1545,fetchdata,medium,87.8,0.08347,warm,200
1546,graphgen,medium,111.2,0.013448,warm,200
1547,linpack,large,11.9,0.005137,warm,200
1548,matrixmul,medium,521.1,0.509102,warm,200
1549,mobilenet,medium,22.0,0.017799,warm,200
1550,matrixmul,large,131.8,0.004987,warm,200
