request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
268,fetchdata,medium,cold,200,1625.37,1625.37,0.01,125.74,1499.63,True,125.7,0.0,0.02,0.0,,125.73,1
269,linpack,large,warm,200,19.43,19.42,0.01,8.01,11.42,False,,0.0,0.51,6.35,1.14,8.0,1
270,linpack,small,warm,200,21.04,21.03,0.01,8.02,13.01,False,,0.0,0.51,6.37,1.14,8.02,1
271,linpack,medium,warm,200,694.54,694.53,0.01,681.09,13.44,False,,0.0,0.52,6.45,674.11,681.09,1
272,fetchdata,small,warm,200,87.6,87.59,0.01,80.36,7.23,False,80.32,0.0,0.03,0.0,,80.36,1
273,fetchdata,large,warm,200,87.47,87.46,0.01,80.74,6.72,False,80.7,0.0,0.03,0.0,,80.74,1
274,linpack,large,warm,200,20.85,20.84,0.01,8.04,12.81,False,,0.0,0.51,6.37,1.15,8.03,1
275,genmatrix,medium,warm,200,13.94,10.56,3.39,0.2,10.35,False,,0.0,0.02,,0.18,0.2,1
276,linpack,small,warm,200,21.68,21.67,0.01,8.04,13.63,False,,0.0,0.51,6.4,1.13,8.04,1
277,fetchdata,small,warm,200,135.8,135.79,0.01,128.41,7.38,False,128.36,0.0,0.03,0.0,,128.41,1
278,fetchdata,medium,warm,200,86.61,86.6,0.01,79.98,6.62,False,79.94,0.0,0.03,0.0,,79.98,1
279,fetchdata,large,warm,200,87.62,87.61,0.01,80.97,6.64,False,80.93,0.0,0.03,0.0,,80.97,1
280,fastfouriertransform,small,cold,200,2111.56,2111.55,0.01,5.99,2105.56,True,,0.0,3.86,0.0,2.12,5.99,1
281,genmatrix,small,warm,200,8.12,6.55,1.57,0.1,6.45,False,,0.0,0.02,,0.08,0.1,1
282,linpack,large,warm,200,21.67,21.67,0.01,8.0,13.67,False,,0.0,0.51,6.34,1.14,8.0,1
283,genmatrix,large,warm,200,45.35,31.02,14.33,0.8,30.22,False,,0.0,0.02,,0.77,0.8,1
284,genmatrix,small,warm,200,8.0,6.49,1.51,0.1,6.39,False,,0.0,0.02,,0.08,0.1,1
285,linpack,medium,warm,200,687.05,687.04,0.01,673.09,13.95,False,,0.0,0.51,6.45,666.12,673.09,1
286,fetchdata,large,warm,200,135.31,135.31,0.01,128.1,7.21,False,128.06,0.0,0.03,0.0,,128.1,1
287,linpack,medium,warm,200,690.45,690.44,0.01,677.78,12.66,False,,0.0,0.51,6.36,670.9,677.78,1
288,fastfouriertransform,small,warm,200,26.51,26.5,0.01,7.26,19.25,False,,0.0,6.1,0.0,1.14,7.26,1
289,linpack,medium,warm,200,685.78,685.77,0.01,673.08,12.7,False,,0.0,0.51,6.37,666.2,673.08,1
290,fastfouriertransform,large,warm,200,24.6,24.59,0.01,7.22,17.37,False,,0.0,6.08,0.0,1.14,7.22,1
291,linpack,medium,warm,200,688.41,688.41,0.01,675.31,13.09,False,,0.0,0.51,6.36,668.44,675.31,1
292,fastfouriertransform,medium,warm,200,652.38,652.37,0.01,635.22,17.15,False,,0.0,6.08,0.0,629.12,635.22,1
293,fetchdata,medium,warm,200,135.72,135.72,0.01,128.39,7.32,False,128.35,0.0,0.03,0.0,,128.39,1
294,linpack,large,warm,200,20.26,20.25,0.01,8.08,12.17,False,,0.0,0.51,6.38,1.19,8.08,1
295,genmatrix,medium,warm,200,18.25,14.03,4.22,0.29,13.74,False,,0.0,0.03,,0.26,0.29,1
296,genmatrix,medium,warm,200,14.14,10.03,4.11,0.2,9.82,False,,0.0,0.02,,0.18,0.2,1
