function,payload,cpu_limit,memory_mb,payload_size_mb,output_size_mb,build_time_msec,total_cold_msec,cold_start_msec,execution_time_cold_msec,total_warm_avg_msec,warm_start_avg_msec,execution_time_warm_avg_msec,warm_iterations
gen_int,large,0.5,256,0.000043,.000092,586,978,968.36000,9.64000,463.500000,450.765900,12.734100,10
gen_list,small,0.5,256,0.000041,.193576,646,976,967.214000,8.786000,495.500000,486.259000,9.241000,10
gen_list,medium,0.5,256,0.000041,.193575,646,976,967.214000,8.786000,492.600000,469.037100,23.562900,10
gen_list,large,0.5,256,0.000042,.193576,646,976,967.214000,8.786000,506.400000,486.227100,20.172900,10
gen_matrix_a,small,0.5,256,0.000041,.023843,578,893,869.376000,23.624000,446.100000,428.033000,18.067000,10
gen_matrix_a,medium,0.5,256,0.000041,.100433,578,893,869.376000,23.624000,464.200000,447.222800,16.977200,10
gen_matrix_a,large,0.5,256,0.000042,.559068,578,893,869.376000,23.624000,486.500000,466.649500,19.850500,10
gen_matrix_b,small,0.5,256,0.000041,.023853,789,998,985.235000,12.765000,472.700000,459.057100,13.642900,10
gen_matrix_b,medium,0.5,256,0.000041,.100466,789,998,985.235000,12.765000,448.600000,431.314100,17.285900,10
gen_matrix_b,large,0.5,256,0.000042,.559045,789,998,985.235000,12.765000,481.800000,454.676500,27.123500,10
linpack,small,0.5,256,0.200836,.000098,617,955,949.665000,5.335000,488.300000,470.176900,18.123100,10
linpack,medium,0.5,256,0.200742,.000097,617,955,949.665000,5.335000,1120.300000,414.987300,705.312700,10
linpack,large,0.5,256,0.200804,.000098,617,955,949.665000,5.335000,466.500000,450.183900,16.316100,10
matrix_multiplication,small,0.5,256,0.200836,.097340,502,849,842.816000,6.184000,448.500000,437.664700,10.835300,10
matrix_multiplication,medium,0.5,256,0.200742,.097318,502,849,842.816000,6.184000,982.900000,398.497700,584.402300,10
matrix_multiplication,large,0.5,256,0.200804,.097273,502,849,842.816000,6.184000,421.900000,411.982500,9.917500,10
sine,small,0.5,256,0.000028,.000107,730,555,554.807000,.193000,130.100000,129.907500,.192500,10
sine,medium,0.5,256,0.000031,.000106,730,555,554.807000,.193000,1979.600000,120.919100,1858.680900,10
sine,large,0.5,256,0.000028,.000107,730,555,554.807000,.193000,111.200000,111.019000,.181000,10
source,small,0.5,256,0.000044,.000106,519,646,645.949000,.051000,146.100000,146.052900,.047100,10
source,medium,0.5,256,0.000044,.000105,519,646,645.949000,.051000,130.100000,130.058400,.041600,10
source,large,0.5,256,0.000045,.000107,519,646,645.949000,.051000,113.700000,113.664400,.035600,10
