index,function,size,latency_ms,execution_time_sec,type,status
875,linpack,small,13.3,0.005062,warm,200
876,pagerank,large,427.4,0.32191,warm,200
877,matrixmul,medium,522.3,0.507929,warm,200
878,grayscale,large,2932.5,2.719559,cold,200
879,resnet,small,125.3,0.120915,warm,200
880,linpack,small,12.9,0.005098,warm,200
881,resnet,large,126.8,0.122512,warm,200
882,fetchdata,medium,86.6,0.082143,warm,200
883,grayscale,large,3428.0,2.674431,cold,200
884,matrixmul,small,20.3,0.005153,warm,200
885,resnet,large,126.1,0.121916,warm,200
886,fastfouriertransform,medium,694.4,0.630901,warm,200
887,pagerank,medium,71.7,0.04656,warm,200
888,linpack,small,13.1,0.005054,warm,200
889,pagerank,small,18.1,0.010265,warm,200
890,matrixmul,large,18.0,0.005008,warm,200
891,linpack,small,13.2,0.005059,warm,200
892,linpack,medium,650.5,0.642455,warm,200
893,fetchdata,small,87.3,0.082852,warm,200
894,linpack,medium,654.0,0.644639,warm,200
895,genmatrix,small,4.9,0.000106,warm,200
896,fetchdata,small,86.4,0.081417,warm,200
897,fastfouriertransform,medium,649.6,0.631916,warm,200
898,fastfouriertransform,large,610.7,0.009382,warm,200
899,pagerank,large,437.4,0.279491,warm,200
900,pagerank,small,70.6,0.061107,warm,200
901,linpack,large,310.8,0.005104,warm,200
902,fetchdata,large,87.5,0.082664,warm,200
903,matrixmul,small,19.0,0.005132,warm,200
904,fetchdata,small,86.5,0.082464,warm,200
905,resnet,small,131.1,0.123092,warm,200
906,mobilenet,small,32.8,0.028147,warm,200
907,matrixmul,medium,525.2,0.510891,warm,200
908,genmatrix,medium,10.3,0.000207,warm,200
909,resnet,medium,158.2,0.153452,warm,200
910,mobilenet,small,22.3,0.017887,warm,200
911,pagerank,small,19.4,0.010746,warm,200
912,grayscale,medium,97.5,0.086898,warm,200
913,genmatrix,medium,9.6,0.000203,warm,200
914,resnet,medium,130.9,0.121651,warm,200
915,mobilenet,medium,22.2,0.017657,warm,200
916,matrixmul,large,17.1,0.005025,warm,200
917,pagerank,medium,70.6,0.045614,warm,200
918,fetchdata,small,84.1,0.079865,warm,200
919,resnet,small,125.5,0.121254,warm,200
920,grayscale,small,690.7,0.006918,warm,200
921,mobilenet,medium,22.7,0.01826,warm,200
922,pagerank,small,18.4,0.009964,warm,200
