index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
843,843,matrixmul,small,cold,200,2936.16,2932.54,3.62,5.15,2927.4,False,,0.0,0.47,4.1,0.56,5.15,99
844,844,matrixmul,medium,warm,200,1448.95,1448.94,0.01,512.52,936.42,False,,0.0,0.37,4.03,508.12,512.52,100
845,845,genmatrix,medium,warm,200,62.32,47.26,15.06,0.2,47.06,False,,0.0,0.02,,0.18,0.2,98
846,846,linpack,small,warm,200,50.38,50.37,0.0,5.16,45.21,False,,0.0,0.37,4.01,0.78,5.16,99
847,847,genmatrix,large,warm,200,108.59,49.64,58.95,0.81,48.84,False,,0.0,0.02,,0.78,0.81,100
848,848,fastfouriertransform,medium,cold,200,1970.32,1970.32,0.0,633.41,1336.91,False,,0.0,3.91,0.0,629.49,633.41,95
849,849,matrixmul,medium,cold,200,3444.46,3444.46,0.0,529.17,2915.29,False,,0.0,0.64,4.5,524.02,529.17,96
850,850,fastfouriertransform,small,cold,200,4122.28,4122.28,0.0,4.83,4117.44,False,,0.0,3.98,0.0,0.84,4.83,97
851,851,genmatrix,medium,warm,200,40.55,21.6,18.95,0.37,21.23,False,,0.0,0.02,,0.34,0.37,98
852,852,fastfouriertransform,large,cold,200,5716.13,5716.12,0.01,5.03,5711.09,False,,0.0,4.06,0.0,0.96,5.03,99
853,853,fastfouriertransform,large,cold,200,4112.27,4112.26,0.01,4.7,4107.56,False,,0.0,3.88,0.0,0.81,4.7,100
854,854,linpack,large,warm,200,39.21,39.2,0.01,5.12,34.07,False,,0.0,0.35,4.05,0.72,5.12,100
855,855,matrixmul,medium,warm,200,1060.49,1026.01,34.48,533.02,492.99,False,,0.0,0.39,4.0,528.62,533.02,98
856,856,linpack,large,warm,200,70.37,70.37,0.0,5.07,65.3,False,,0.0,0.35,3.98,0.73,5.07,99
857,857,fastfouriertransform,medium,warm,200,1342.65,1342.64,0.0,674.52,668.13,False,,0.0,3.92,0.0,670.59,674.52,100
858,858,linpack,large,warm,200,52.11,52.1,0.0,5.11,46.99,False,,0.0,0.37,4.01,0.73,5.11,99
859,859,fetchdata,medium,warm,200,327.9,327.89,0.01,94.26,233.64,True,94.22,0.0,0.03,0.0,,94.25,100
860,860,linpack,medium,warm,200,1266.89,1266.88,0.01,673.61,593.27,False,,0.0,0.41,3.98,669.22,673.61,100
861,861,linpack,small,warm,200,44.02,44.02,0.0,5.09,38.93,False,,0.0,0.34,4.0,0.74,5.08,99
862,862,fastfouriertransform,medium,cold,200,5038.85,5038.85,0.01,710.23,4328.61,False,,0.0,4.02,0.0,706.2,710.23,100
863,863,fastfouriertransform,medium,cold,200,5692.03,5692.02,0.01,661.57,5030.45,False,,0.0,3.99,0.0,657.57,661.57,98
864,864,fastfouriertransform,large,cold,200,1897.69,1897.69,0.01,5.49,1892.2,False,,0.0,4.12,0.01,1.35,5.49,99
865,865,fetchdata,small,warm,200,95.06,95.05,0.0,81.15,13.91,False,81.12,0.0,0.02,0.0,,81.15,100
866,866,fetchdata,large,warm,200,95.52,95.52,0.0,80.35,15.17,False,80.31,0.0,0.03,0.0,,80.35,99
867,867,matrixmul,medium,warm,200,561.69,559.56,2.12,537.73,21.84,True,,0.0,0.36,4.06,533.29,537.72,100
868,868,linpack,large,warm,200,30.64,30.63,0.01,5.27,25.36,False,,0.0,0.41,4.1,0.76,5.27,98
869,869,linpack,small,warm,200,21.61,21.61,0.0,5.08,16.53,False,,0.0,0.35,4.0,0.73,5.07,99
870,870,genmatrix,medium,warm,200,18.69,13.6,5.09,0.2,13.41,False,,0.0,0.02,,0.17,0.2,100
871,871,genmatrix,medium,warm,200,45.2,17.97,27.24,0.28,17.68,False,,0.0,0.02,,0.25,0.28,99
872,872,matrixmul,medium,cold,200,1834.64,1834.64,0.0,529.83,1304.81,False,,0.0,0.34,3.99,525.49,529.83,100
873,873,linpack,small,warm,200,27.24,27.24,0.0,5.09,22.14,False,,0.0,0.35,4.02,0.72,5.09,99
874,874,genmatrix,small,warm,200,16.86,16.85,0.01,0.12,16.73,False,,0.0,0.02,,0.09,0.12,100
875,875,genmatrix,small,warm,200,10.38,10.37,0.01,0.1,10.27,False,,0.0,0.02,,0.08,0.1,100
876,876,linpack,large,warm,200,25.03,25.02,0.0,5.06,19.97,False,,0.0,0.35,3.98,0.72,5.06,100
877,877,matrixmul,medium,warm,200,621.44,621.44,0.0,525.44,95.99,False,,0.0,0.4,4.0,521.05,525.44,99
878,878,genmatrix,large,warm,200,303.35,44.21,259.14,0.89,43.32,False,,0.0,0.02,,0.86,0.89,100
879,879,linpack,small,warm,200,180.75,180.75,0.0,5.12,175.63,False,,0.0,0.34,4.01,0.75,5.11,99
880,880,genmatrix,small,warm,200,15.86,15.85,0.0,0.11,15.75,False,,0.0,0.02,,0.08,0.11,100
881,881,linpack,large,warm,200,28.31,28.31,0.0,6.31,22.0,False,,0.0,0.65,4.67,0.98,6.3,99
882,882,fetchdata,medium,warm,200,358.89,358.89,0.0,341.05,17.84,True,341.01,0.0,0.03,0.0,,341.05,100
883,883,genmatrix,large,warm,200,106.74,39.68,67.07,0.89,38.79,False,,0.0,0.02,,0.86,0.89,99
884,884,matrixmul,small,warm,200,619.09,619.08,0.01,5.23,613.85,False,,0.0,0.46,4.17,0.6,5.23,100
885,885,linpack,large,warm,200,26.18,26.18,0.0,5.21,20.96,False,,0.0,0.36,4.08,0.77,5.21,99
886,886,fastfouriertransform,medium,cold,200,6314.29,6314.28,0.0,774.24,5540.04,False,,0.0,4.1,0.0,770.12,774.24,100
887,887,linpack,medium,warm,200,1066.07,1066.06,0.0,1038.57,27.49,False,,0.0,0.84,7.94,1029.78,1038.57,100
888,888,genmatrix,small,warm,200,11.11,11.11,0.01,0.11,11.0,False,,0.0,0.02,,0.08,0.11,98
