entity_id,state,last_changed
sensor.bandeau_d_alimentation_antela_puissance,63.7,2026-07-22T22:00:00.000Z
sensor.bandeau_d_alimentation_antela_puissance,64.4,2026-07-22T22:30:43.356Z
sensor.bandeau_d_alimentation_antela_puissance,63.2,2026-07-22T23:30:45.720Z
sensor.bandeau_d_alimentation_antela_puissance,64.4,2026-07-23T00:30:47.956Z
sensor.bandeau_d_alimentation_antela_puissance,61.9,2026-07-23T01:30:50.266Z
sensor.bandeau_d_alimentation_antela_puissance,63.5,2026-07-23T02:30:52.662Z
sensor.bandeau_d_alimentation_antela_puissance,64.2,2026-07-23T03:30:54.972Z
sensor.bandeau_d_alimentation_antela_puissance,62.4,2026-07-23T04:30:57.371Z
sensor.bandeau_d_alimentation_antela_puissance,64.9,2026-07-23T05:30:59.698Z
sensor.bandeau_d_alimentation_antela_puissance,63.9,2026-07-23T06:31:01.918Z
sensor.bandeau_d_alimentation_antela_puissance,63.8,2026-07-23T07:31:04.249Z
sensor.bandeau_d_alimentation_antela_puissance,64.1,2026-07-23T07:56:56.488Z
sensor.bandeau_d_alimentation_antela_puissance,unavailable,2026-07-23T08:23:26.956Z
sensor.bandeau_d_alimentation_antela_puissance,64.1,2026-07-23T08:27:40.452Z
sensor.bandeau_d_alimentation_antela_puissance,65.7,2026-07-23T08:27:41.345Z
sensor.bandeau_d_alimentation_antela_puissance,64.3,2026-07-23T08:31:06.718Z
sensor.bandeau_d_alimentation_antela_puissance,68.2,2026-07-23T09:31:08.940Z
sensor.bandeau_d_alimentation_antela_puissance,64.2,2026-07-23T10:31:11.209Z
sensor.bandeau_d_alimentation_antela_puissance,67.7,2026-07-23T10:40:16.890Z
sensor.bandeau_d_alimentation_antela_puissance,65.0,2026-07-23T10:40:22.160Z
sensor.bandeau_d_alimentation_antela_puissance,65.9,2026-07-23T10:40:32.048Z
sensor.bandeau_d_alimentation_antela_puissance,65.0,2026-07-23T10:40:40.177Z
sensor.bandeau_d_alimentation_antela_puissance,65.5,2026-07-23T10:40:45.287Z
